onset	duration	trial_type	condition	block	trial	difficulty_level	expression	correct_answer	user_answer	response_time_ms	is_correct	is_timeout
0.0	2.152	FLOW_B	B	1	1	1	105 + 6	111	111.0	2151.9	1	0
6.19	1.789	FLOW_B	B	1	2	1	9 + 102	111	111.0	1789.4	1	0
12.006	2.552	FLOW_B	B	1	3	1	9 + 107	116	116.0	2552.2	1	0
18.585	2.064	FLOW_B	B	1	4	1	3 + 106	109	109.0	2064.5	1	0
24.678	1.638	FLOW_B	B	1	5	1	101 + 1	102	102.0	1638.5	1	0
30.339	3.368	FLOW_B	B	1	6	1	6 + 104	110	110.0	3368.5	1	0
37.729	1.454	FLOW_B	B	1	7	1	102 + 9	111	111.0	1453.6	1	0
43.196	1.861	FLOW_B	B	1	8	1	101 + 1	102	102.0	1860.6	1	0
49.076	2.307	FLOW_B	B	1	9	1	5 + 104	109	109.0	2307.0	1	0
55.389	1.982	FLOW_B	B	1	10	1	104 + 1	105	105.0	1982.2	1	0
61.378	2.717	FLOW_B	B	1	11	1	1 + 106	107	107.0	2717.4	1	0
68.102	3.072	FLOW_B	B	1	12	1	100 + 3	103	103.0	3072.2	1	0
75.177	1.891	FLOW_B	B	1	13	1	2 + 103	105	105.0	1891.0	1	0
81.072	2.335	FLOW_B	B	1	14	1	105 + 3	108	108.0	2334.7	1	0
87.418	1.82	FLOW_B	B	1	15	1	109 + 2	111	111.0	1819.6	1	0
93.239	2.205	FLOW_B	B	1	16	1	4 + 108	112	112.0	2205.1	1	0
99.496	1.971	FLOW_B	B	1	17	1	107 + 6	113	113.0	1970.7	1	0
105.517	2.169	FLOW_B	B	1	18	1	101 + 8	109	109.0	2169.0	1	0
111.688	2.112	FLOW_B	B	1	19	1	103 + 6	109	109.0	2111.5	1	0
117.803	2.722	FLOW_B	B	1	20	1	100 + 7	107	107.0	2722.3	1	0
124.576	2.256	FLOW_B	B	1	21	1	9 + 103	112	112.0	2256.4	1	0
130.888	2.489	FLOW_B	B	1	22	1	3 + 102	105	105.0	2489.4	1	0
137.432	1.586	FLOW_B	B	1	23	1	100 + 2	102	102.0	1586.3	1	0
143.022	2.17	FLOW_B	B	1	24	1	7 + 100	107	107.0	2170.1	1	0
149.245	1.692	FLOW_B	B	1	25	1	109 + 7	116	116.0	1691.8	1	0
