trial_index	trial_type	block_number	accuracy_binary
55	nogo	4	1
56	go	4	1
57	go	4	1
58	go	4	1
59	go	4	1
60	go	4	1
61	go	4	1
62	go	4	1
63	go	4	1
64	go	4	1
65	nogo	4	1
66	go	4	1
67	go	4	1
68	go	4	1
69	go	4	1
70	nogo	4	0
71	go	4	1
72	go	4	1
73	nogo	4	1
74	go	4	1
75	go	4	1
76	nogo	4	1
77	go	4	0
78	go	4	1
79	nogo	4	0
80	go	4	1
81	go	4	1
82	nogo	4	1
83	go	4	1
84	go	4	1
85	go	4	1
86	go	4	1
87	go	4	1
88	go	4	1
89	go	4	1
90	go	4	1
91	go	4	1
92	go	4	1
93	go	4	1
94	nogo	4	0
95	go	4	1
96	go	4	1
97	nogo	4	1
98	go	4	1
99	go	4	0
100	nogo	4	0
101	go	4	1
102	go	4	1
103	go	4	0
104	go	4	1
105	go	4	1
106	go	4	1
107	go	4	1
108	go	4	1
109	nogo	4	0
110	go	4	1
111	nogo	4	1
112	go	4	1
113	go	4	1
114	go	4	1
115	go	5	1
116	go	5	1
117	go	5	1
118	go	5	1
119	nogo	5	0
120	go	5	1
121	go	5	1
122	go	5	1
123	nogo	5	1
124	go	5	1
125	nogo	5	1
126	go	5	1
127	go	5	1
128	go	5	1
129	go	5	1
130	go	5	1
131	go	5	1
132	go	5	1
133	nogo	5	0
134	go	5	1
135	nogo	5	0
136	go	5	1
137	nogo	5	1
138	go	5	1
139	go	5	1
140	go	5	1
141	go	5	1
142	go	5	1
143	nogo	5	0
144	go	5	1
145	go	5	1
146	go	5	1
147	nogo	5	1
148	go	5	1
149	nogo	5	1
150	go	5	1
151	nogo	5	1
152	go	5	1
153	go	5	0
154	go	5	1
155	go	5	1
156	go	5	1
157	go	5	0
158	go	5	1
159	nogo	5	0
160	go	5	1
161	go	5	1
162	nogo	5	1
163	go	5	1
164	go	5	1
165	go	5	1
166	go	5	1
167	go	5	1
168	go	5	1
169	go	5	1
170	go	5	1
171	go	5	1
172	go	5	1
