trial_index	trial_type	block_number	accuracy_binary
55	go	4	1
56	go	4	1
57	nogo	4	0
58	go	4	1
59	nogo	4	1
60	go	4	1
61	go	4	1
62	go	4	1
63	nogo	4	1
64	go	4	1
65	go	4	1
66	go	4	1
67	nogo	4	1
68	go	4	1
69	nogo	4	1
70	go	4	1
71	go	4	1
72	go	4	1
73	nogo	4	1
74	go	4	1
75	go	4	1
76	go	4	1
77	go	4	1
78	go	4	1
79	go	4	1
80	nogo	4	1
81	go	4	1
82	go	4	1
83	go	4	1
84	go	4	1
85	go	4	1
86	go	4	1
87	nogo	4	0
88	go	4	1
89	go	4	1
90	nogo	4	1
91	go	4	1
92	go	4	1
93	go	4	1
94	go	4	1
95	go	4	1
96	go	4	1
97	go	4	1
98	go	4	1
99	go	4	1
100	go	4	1
101	go	4	1
102	go	4	1
103	nogo	4	1
104	go	4	1
105	go	4	1
106	go	4	1
107	nogo	4	1
108	go	4	1
109	go	4	1
110	go	4	1
111	nogo	4	1
112	go	4	1
113	go	4	1
114	go	4	1
115	nogo	5	0
116	go	5	1
117	nogo	5	1
118	go	5	1
119	go	5	1
120	go	5	1
121	go	5	1
122	go	5	1
123	go	5	1
124	go	5	1
125	nogo	5	1
126	go	5	1
127	go	5	1
128	go	5	1
129	go	5	1
130	nogo	5	1
131	go	5	1
132	go	5	1
133	go	5	1
134	go	5	1
135	go	5	1
136	go	5	1
137	nogo	5	1
138	go	5	1
139	go	5	1
140	go	5	1
141	go	5	1
142	go	5	1
143	go	5	1
144	nogo	5	1
145	go	5	1
146	go	5	1
147	go	5	1
148	nogo	5	1
149	go	5	1
150	nogo	5	1
151	go	5	1
152	go	5	1
153	go	5	1
154	go	5	1
155	nogo	5	1
156	go	5	1
157	go	5	1
158	go	5	1
159	go	5	1
160	go	5	1
161	go	5	1
162	go	5	1
163	go	5	1
164	nogo	5	1
165	go	5	1
166	go	5	1
167	go	5	1
168	go	5	1
169	nogo	5	1
170	go	5	1
171	go	5	1
172	nogo	5	1
173	go	5	1
174	go	5	1
193	nogo	7	0
194	go	7	1
195	go	7	1
196	go	7	1
197	nogo	7	1
198	go	7	1
199	go	7	1
200	nogo	7	1
201	go	7	1
202	go	7	1
203	nogo	7	1
204	go	7	1
205	go	7	1
206	go	7	1
207	go	7	1
208	go	7	1
209	go	7	1
210	nogo	7	0
211	go	7	1
212	go	7	1
213	go	7	1
214	go	7	1
215	nogo	7	1
216	go	7	1
217	go	7	1
218	go	7	1
219	go	7	1
220	go	7	1
221	nogo	7	1
222	go	7	1
223	nogo	7	1
224	go	7	1
225	go	7	1
226	go	7	1
227	go	7	1
228	go	7	1
229	nogo	7	1
230	go	7	1
231	go	7	1
232	go	7	1
233	go	7	1
234	go	7	1
235	go	7	1
236	nogo	7	1
237	go	7	1
238	go	7	1
239	go	7	1
240	go	7	1
241	go	7	1
242	go	7	1
243	go	7	1
244	go	7	1
245	go	7	1
246	go	7	1
247	nogo	7	0
248	go	7	1
249	go	7	1
250	go	7	1
251	go	7	1
252	nogo	7	1
253	go	8	0
254	go	8	1
255	go	8	1
256	go	8	1
257	go	8	1
258	nogo	8	1
259	go	8	1
260	go	8	1
261	nogo	8	1
262	go	8	1
