trial_index	block_number	block_type	is_practice	trials_count	digit	trial_type	correct_response	mouse_resp.x	mouse_resp.y	mouse_resp.leftButton	mouse_resp.midButton	mouse_resp.rightButton	mouse_resp.time	click_pos_x	click_pos_y	iti_duration	participant
1	1	go_only	1	18	7	go	click	[46.0, 46.0, 46.0, 51.0, 52.0, 54.0, 60.0, 71.0, 88.0, 110.0, 141.0, 157.0, 171.0, 182.0, 191.0, 197.0, 203.0, 211.0, 216.0, 222.0, 229.0]	[-219.0, -219.0, -197.0, -157.0, -128.0, -108.0, -85.0, -54.0, -21.0, 9.0, 48.0, 74.0, 102.0, 125.0, 143.0, 158.0, 172.0, 190.0, 205.0, 222.0, 240.0]	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[0.00015159999020397663, 0.007975799962878227, 0.024304599966853857, 0.04130979999899864, 0.058384599979035556, 0.0747376000508666, 0.09159440000075847, 0.10806130000855774, 0.1246658000163734, 0.14148780005052686, 0.15803609997965395, 0.1748280000174418, 0.19156619999557734, 0.20798990002367646, 0.2247194000519812, 0.2413436999777332, 0.2580507999518886, 0.2748130999971181, 0.2914658000227064, 0.30795120005495846, 0.3246913000475615]	233.0	255.0	0.8	19a
2	1	go_only	1	18	3	go	click	[38.0, 38.0, 83.0, 131.0, 178.0]	[-177.0, -177.0, -61.0, 64.0, 180.0]	[1, 1, 1, 1, 1]	[0, 0, 0, 0, 0]	[0, 0, 0, 0, 0]	[0.00015089998487383127, 0.009376000030897558, 0.026402999996207654, 0.04248309996910393, 0.05908949999138713]	208.0	267.0	0.8	19a
3	1	go_only	1	18	4	go	click	[1.0, 14.0, 37.0, 74.0, 94.0, 116.0, 136.0, 166.0]	[-296.0, -243.0, -177.0, -78.0, -26.0, 40.0, 110.0, 223.0]	[1, 1, 1, 1, 1, 1, 1, 1]	[0, 0, 0, 0, 0, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 0]	[7.229996845126152e-05, 0.010383300017565489, 0.027551500010304153, 0.043719999957829714, 0.06048240000382066, 0.0770149000454694, 0.09375630004797131, 0.11035390000324696]	202.0	342.0	0.7	19a
4	1	go_only	1	18	4	go	click	[17.0, 17.0, 49.0, 85.0, 134.0, 173.0, 198.0, 217.0, 226.0, 230.0, 231.0, 231.0, 231.0, 231.0, 231.0, 231.0, 231.0, 231.0, 231.0, 231.0, 232.0, 232.0, 233.0, 233.0, 235.0, 235.0, 235.0, 235.0, 235.0, 234.0, 231.0]	[-190.0, -190.0, -42.0, 119.0, 255.0, 351.0, 419.0, 464.0, 489.0, 497.0, 500.0, 501.0, 501.0, 501.0, 501.0, 501.0, 499.0, 483.0, 459.0, 441.0, 430.0, 421.0, 409.0, 396.0, 384.0, 370.0, 369.0, 368.0, 366.0, 362.0, 354.0]	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[0.00020650005899369717, 0.013135100016370416, 0.029327900032512844, 0.04612990003079176, 0.06276260002050549, 0.0794363000895828, 0.09661440004128963, 0.11252730002161115, 0.1296861000591889, 0.1459258000832051, 0.16271200007759035, 0.1794092000927776, 0.19627790001686662, 0.2126369000179693, 0.22951319999992847, 0.2460377000970766, 0.2626206000568345, 0.2792670000344515, 0.29582940007094294, 0.3125165000092238, 0.32925589999649674, 0.3463830000255257, 0.36264330008998513, 0.37932599999476224, 0.3958740000380203, 0.4128483000677079, 0.4294188000494614, 0.4464498000452295, 0.4632654000306502, 0.47939120000228286, 0.4960761000402272]	228.0	346.0	0.6	19a
5	1	go_only	1	18	8	go	click	[100.0, 100.0, 126.0, 149.0, 159.0, 173.0, 179.0, 184.0, 188.0, 193.0]	[-124.0, -124.0, -54.0, 42.0, 90.0, 153.0, 184.0, 209.0, 231.0, 248.0]	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[0.0001583000412210822, 0.009346700040623546, 0.025682899984531105, 0.04246540006715804, 0.05923790007364005, 0.07590940000955015, 0.09263169998303056, 0.10927950008772314, 0.12597460008691996, 0.14266010001301765]	195.0	263.0	0.7	19a
6	1	go_only	1	18	3	go	click	[46.0, 46.0, 68.0, 78.0, 86.0, 95.0, 103.0, 111.0, 121.0, 131.0, 139.0, 145.0, 151.0, 158.0, 170.0, 178.0, 186.0, 196.0, 204.0, 207.0]	[-263.0, -263.0, -226.0, -206.0, -189.0, -165.0, -136.0, -100.0, -65.0, -36.0, -9.0, 16.0, 42.0, 73.0, 118.0, 143.0, 170.0, 197.0, 222.0, 245.0]	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[0.00015360000543296337, 0.009019500110298395, 0.02560680010356009, 0.04209360003005713, 0.05907760001718998, 0.07542700006160885, 0.09227740007918328, 0.10937890002969652, 0.12572720006573945, 0.14238110010046512, 0.15899030002765357, 0.17565360001754016, 0.19223640009295195, 0.20902030006982386, 0.22557590005453676, 0.24215600010938942, 0.25906170008238405, 0.2759676000569016, 0.29207740002311766, 0.30881260009482503]	209.0	260.0	0.9	19a
7	1	go_only	1	18	6	go	click	[37.0, 37.0, 43.0, 63.0, 86.0, 104.0, 119.0, 131.0, 133.0, 133.0, 133.0, 134.0, 135.0, 137.0, 141.0, 142.0, 142.0, 142.0, 149.0, 158.0, 170.0, 183.0, 188.0, 190.0, 190.0, 190.0, 190.0, 190.0, 190.0]	[-174.0, -174.0, -88.0, 58.0, 140.0, 191.0, 226.0, 254.0, 258.0, 260.0, 260.0, 261.0, 264.0, 270.0, 280.0, 282.0, 282.0, 282.0, 285.0, 291.0, 302.0, 310.0, 314.0, 314.0, 314.0, 314.0, 314.0, 314.0, 314.0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[0.00018900004215538502, 0.009411000064574182, 0.026050299988128245, 0.04331820004153997, 0.05939589999616146, 0.07607090007513762, 0.09280480002053082, 0.10936630005016923, 0.125917199999094, 0.14248769998084754, 0.15937140001915395, 0.17616560007445514, 0.19281450007110834, 0.2095237000612542, 0.22591979999560863, 0.2423113000113517, 0.25916560005862266, 0.2761201000539586, 0.2927859000628814, 0.30959850002545863, 0.3268982000881806, 0.34272940002847463, 0.3591678000520915, 0.37609130004420877, 0.3924695000750944, 0.4090499000158161, 0.4257944000419229, 0.44247300003189594, 0.45949410006869584]	190.0	314.0	0.9	19a
8	1	go_only	1	18	2	go	click	[103.0, 103.0, 141.0, 207.0, 256.0, 295.0, 305.0, 310.0, 312.0, 312.0, 312.0, 312.0, 312.0, 312.0, 312.0, 312.0, 312.0, 307.0, 300.0, 291.0, 276.0, 264.0, 254.0, 245.0, 241.0, 239.0, 239.0, 239.0, 239.0, 239.0, 239.0]	[-134.0, -134.0, -32.0, 156.0, 266.0, 343.0, 366.0, 379.0, 385.0, 386.0, 386.0, 386.0, 386.0, 388.0, 391.0, 391.0, 391.0, 387.0, 378.0, 368.0, 356.0, 345.0, 335.0, 327.0, 322.0, 320.0, 319.0, 319.0, 319.0, 319.0, 319.0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[0.00018900004215538502, 0.009706500102765858, 0.02692830003798008, 0.0431101000867784, 0.059703300008550286, 0.07654900010675192, 0.09336470009293407, 0.11017370002809912, 0.12656490004155785, 0.14283330005127937, 0.15945710008963943, 0.1763554000062868, 0.19286800001282245, 0.2097022000234574, 0.22629630006849766, 0.24288090004120022, 0.2598727000877261, 0.27722680009901524, 0.2936396000441164, 0.3100259000202641, 0.3264783000340685, 0.34332930005621165, 0.3597529000835493, 0.3765558000886813, 0.3931772999931127, 0.40997610008344054, 0.42627950001042336, 0.44281030003912747, 0.45968110009562224, 0.4761384000303224, 0.4932758000213653]	239.0	319.0	0.5	19a
9	1	go_only	1	18	8	go	click	[22.0, 22.0, 35.0, 45.0, 53.0, 63.0, 78.0, 91.0, 102.0, 110.0, 123.0, 146.0, 160.0, 167.0, 173.0, 177.0, 180.0, 185.0, 186.0, 189.0, 191.0, 193.0, 193.0, 198.0, 204.0, 206.0, 206.0, 206.0, 206.0, 206.0, 206.0, 206.0, 206.0, 206.0, 206.0, 207.0]	[-238.0, -238.0, -185.0, -156.0, -122.0, -85.0, -50.0, -19.0, 3.0, 22.0, 55.0, 107.0, 140.0, 165.0, 180.0, 195.0, 220.0, 241.0, 261.0, 272.0, 282.0, 290.0, 296.0, 315.0, 329.0, 333.0, 333.0, 333.0, 333.0, 333.0, 333.0, 333.0, 333.0, 333.0, 333.0, 333.0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[7.289997301995754e-05, 0.010142700048163533, 0.026542500010691583, 0.04332920000888407, 0.06004939996637404, 0.07640829996671528, 0.09339169994927943, 0.10996320005506277, 0.12679170002229512, 0.14324040000792593, 0.16004930005874485, 0.1771864000475034, 0.19403889996465296, 0.20993959996849298, 0.22685209999326617, 0.24313189997337759, 0.26007059996481985, 0.27682290005031973, 0.2931516000535339, 0.3097600999753922, 0.3262502000434324, 0.3432566999690607, 0.35995589999947697, 0.37645370000973344, 0.39317579998169094, 0.4096295000053942, 0.426332899951376, 0.4433017000555992, 0.4597910000011325, 0.47663439996540546, 0.49323919997550547, 0.5099142000544816, 0.5268087000586092, 0.5432190999854356, 0.55983629997354, 0.5765422000549734]	207.0	333.0	0.8	19a
10	1	go_only	1	18	4	go	click	[34.0, 34.0, 57.0, 74.0, 83.0, 93.0, 101.0, 105.0, 108.0, 109.0, 114.0, 128.0, 136.0, 141.0, 144.0, 145.0, 148.0, 152.0, 155.0, 156.0, 159.0, 164.0, 172.0, 179.0, 185.0, 188.0, 191.0, 193.0, 198.0, 202.0, 203.0, 203.0]	[-262.0, -262.0, -192.0, -149.0, -118.0, -88.0, -61.0, -45.0, -39.0, -34.0, -19.0, 25.0, 54.0, 75.0, 93.0, 106.0, 119.0, 140.0, 159.0, 173.0, 192.0, 219.0, 244.0, 267.0, 282.0, 293.0, 300.0, 307.0, 322.0, 334.0, 338.0, 338.0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[0.00019409996457397938, 0.011616699979640543, 0.027792399981990457, 0.04480379994492978, 0.06143559992779046, 0.07808769994881004, 0.09442979993764311, 0.11125819990411401, 0.1280324999243021, 0.14483050000853837, 0.16184699989389628, 0.17809599998872727, 0.1958068999228999, 0.21145919989794493, 0.22853069996926934, 0.24450489995069802, 0.2613910000072792, 0.27786009991541505, 0.29467489989474416, 0.311220399918966, 0.32790379994548857, 0.3447283999994397, 0.36125069996342063, 0.3777530000079423, 0.39471319993026555, 0.4111958999419585, 0.427974299993366, 0.44466739997733384, 0.46137219993397593, 0.47806160000618547, 0.49459179991390556, 0.5115730999968946]	203.0	338.0	0.5	19a
