trial_index	trial_type	block_number	mean_acceleration
55	go	4	15156.864570
56	go	4	11522.861658
57	nogo	4	8915.203423
58	go	4	14685.090641
59	go	4	10810.493981
60	go	4	14820.587809
61	go	4	8130.445198
62	go	4	13848.623432
63	nogo	4	8499.744137
64	go	4	9631.830850
65	go	4	8483.980315
66	go	4	11511.435719
67	go	4	12457.369897
68	go	4	11904.631096
69	nogo	4	12659.175250
70	go	4	15671.903965
71	go	4	10069.231740
72	nogo	4	10880.080672
73	go	4	8335.373404
74	go	4	9085.147531
75	go	4	8465.222332
76	go	4	12899.288905
77	go	4	24817.097601
78	go	4	10131.318114
79	go	4	n/a
80	go	4	12542.102259
81	go	4	8616.760186
82	go	4	8118.300046
83	nogo	4	16060.793560
84	go	4	11132.052186
85	go	4	14440.928213
86	go	4	11106.381791
87	go	4	8680.816808
88	go	4	7759.928038
89	go	4	13119.929440
90	go	4	8194.357205
91	nogo	4	11039.435293
92	go	4	10720.524836
93	go	4	8683.265240
94	go	4	7468.514261
95	go	4	7298.875489
96	go	4	8679.722625
97	nogo	4	9519.627618
98	go	4	15963.357820
99	nogo	4	9285.245089
100	go	4	9260.941018
101	go	4	7792.996579
102	go	4	7689.814674
103	go	4	9968.200709
104	nogo	4	9372.939063
105	go	4	14077.080331
106	nogo	4	11115.994767
107	go	4	12468.793479
108	go	4	10593.256741
109	nogo	4	10402.639474
110	go	4	13186.960085
111	go	4	12703.358843
112	go	4	13117.847361
113	nogo	4	14467.897519
114	go	4	14949.147780
115	go	5	14219.626870
116	go	5	14282.535750
117	go	5	15759.518928
118	nogo	5	12001.647403
119	go	5	14416.649584
120	nogo	5	11112.894946
121	go	5	11996.033646
122	go	5	12633.512441
123	go	5	11808.984160
124	go	5	11178.078097
125	nogo	5	13828.907398
126	go	5	11526.745895
127	go	5	11097.179205
128	go	5	12576.247966
129	nogo	5	6895.885337
130	go	5	13367.062845
131	go	5	13214.309938
132	nogo	5	15007.527730
133	go	5	9667.669397
134	go	5	8701.863475
135	go	5	11037.565855
136	go	5	16671.985418
137	go	5	12121.914668
138	nogo	5	12168.172119
139	go	5	10752.090936
140	nogo	5	8324.840849
141	go	5	8153.038484
142	go	5	8417.064568
143	go	5	10328.695093
144	go	5	12307.331016
145	go	5	10065.608903
146	go	5	10256.881339
147	nogo	5	13764.529928
148	go	5	13332.169530
149	go	5	15486.738897
150	go	5	10844.284703
151	go	5	16604.646546
152	nogo	5	13161.801991
153	go	5	12908.151058
154	go	5	8211.316287
155	nogo	5	14568.000413
156	go	5	9390.768359
157	nogo	5	6295.526562
158	go	5	10215.178684
159	go	5	10342.452609
160	go	5	n/a
161	go	5	9262.140801
162	go	5	8348.115449
163	go	5	10862.356790
164	go	5	7408.133458
