trial_index	trial_type	block_number	mean_velocity
55	nogo	4	780.770815
56	go	4	962.047977
57	go	4	n/a
58	nogo	4	1159.401283
59	go	4	1071.053943
60	go	4	957.807540
61	go	4	1032.819168
62	nogo	4	637.238968
63	go	4	1308.745122
64	go	4	1014.393087
65	go	4	876.215294
66	go	4	1037.996565
67	go	4	1302.642909
68	go	4	1101.671767
69	nogo	4	636.189822
70	go	4	1239.289087
71	go	4	968.876630
72	go	4	1050.331501
73	go	4	1012.415781
74	go	4	914.569577
75	go	4	929.543680
76	go	4	781.698168
77	nogo	4	737.132522
78	go	4	988.136156
79	nogo	4	1105.383896
80	go	4	1036.986093
81	go	4	983.056695
82	go	4	853.302095
83	nogo	4	846.216674
84	go	4	1103.500018
85	nogo	4	856.598451
86	go	4	1149.014600
87	go	4	1058.073882
88	go	4	1297.329161
89	go	4	1100.233564
90	go	4	1080.062610
91	nogo	4	1061.823068
92	go	4	1222.830667
93	go	4	857.889352
94	go	4	1135.036301
95	go	4	1221.084574
96	go	4	1266.633730
97	go	4	1348.277511
98	nogo	4	988.252207
99	go	4	1267.833262
100	go	4	1396.669725
101	nogo	4	809.590433
102	go	4	953.393195
103	go	4	1179.391714
104	go	4	1455.649249
105	go	4	1108.024507
106	nogo	4	921.743396
107	go	4	1105.621070
108	go	4	1143.504133
109	go	4	1155.408114
110	go	4	885.261022
111	go	4	976.424152
112	go	4	964.887320
113	go	4	1083.086615
114	go	4	989.301863
115	go	5	n/a
116	nogo	5	820.701364
117	go	5	1042.471407
118	go	5	1177.002399
119	nogo	5	n/a
120	go	5	1068.383978
121	go	5	952.757418
122	go	5	986.913323
123	go	5	n/a
124	go	5	1044.150535
125	go	5	1106.633896
126	go	5	1189.476985
127	go	5	1208.692615
128	nogo	5	1169.156052
129	go	5	1019.601604
130	go	5	1202.256921
131	nogo	5	819.412653
132	go	5	1274.025032
133	nogo	5	973.000922
134	go	5	1448.705836
135	go	5	921.047589
136	nogo	5	770.181483
137	go	5	1260.406817
138	nogo	5	598.853543
139	go	5	1090.245625
140	go	5	612.889136
141	go	5	1046.827611
142	go	5	996.479215
143	go	5	848.682497
144	go	5	907.384908
145	go	5	811.210074
146	go	5	1012.530364
147	go	5	992.522928
148	go	5	1109.732050
149	go	5	1198.992157
150	go	5	1005.739839
151	go	5	1131.231336
152	go	5	1284.243556
153	go	5	1109.462838
154	nogo	5	798.444080
155	go	5	1384.781346
156	go	5	1250.196018
157	go	5	1138.755288
158	nogo	5	1142.162739
159	go	5	1228.455182
160	go	5	1031.158260
161	nogo	5	832.503056
162	go	5	1101.719664
163	go	5	1128.230184
164	go	5	980.108198
165	go	5	1084.402123
166	nogo	5	829.383268
167	go	5	1243.385467
168	go	5	1321.482175
169	go	5	867.368205
170	nogo	5	1078.701983
171	go	5	1112.906892
172	go	5	1164.841878
173	go	5	n/a
174	go	5	1061.356986
193	nogo	7	820.392839
194	go	7	1250.904751
195	go	7	n/a
196	nogo	7	651.730917
197	go	7	1170.891684
198	go	7	1027.286917
199	go	7	1179.116524
200	nogo	7	562.118188
201	go	7	1204.091575
202	go	7	1286.674384
203	go	7	1071.880196
204	nogo	7	498.182034
205	go	7	1312.389616
206	nogo	7	1125.956839
207	go	7	1378.641366
208	go	7	1028.597657
209	go	7	n/a
210	go	7	1372.372623
211	go	7	1470.694271
212	go	7	1623.976850
213	go	7	1062.726354
214	go	7	1327.692205
215	go	7	1803.219459
216	go	7	990.420817
217	nogo	7	1070.473545
218	go	7	1167.362934
219	go	7	1239.992038
220	go	7	1068.361272
221	go	7	949.590352
222	go	7	1028.363401
223	go	7	1359.018327
224	nogo	7	730.500182
225	go	7	1173.920964
226	go	7	1381.443694
227	go	7	986.212953
228	go	7	990.222773
229	go	7	1223.699863
230	go	7	1342.378890
231	nogo	7	820.709053
232	go	7	1230.539766
233	go	7	1064.991198
234	nogo	7	n/a
235	go	7	1471.874606
236	nogo	7	1283.432200
237	go	7	952.335785
238	go	7	1084.196918
239	go	7	1230.528437
240	go	7	1085.745275
241	go	7	1104.661210
242	go	7	1315.228290
243	nogo	7	820.966034
244	go	7	1308.285605
245	go	7	1058.880269
246	nogo	7	961.413538
247	go	7	1551.432784
248	go	7	1606.033256
249	go	7	1111.146693
250	go	7	1101.364002
251	go	7	1126.889063
252	go	7	1038.579969
253	go	8	987.982376
254	nogo	8	982.897483
255	go	8	1402.899097
256	go	8	1351.267390
257	nogo	8	919.404390
258	go	8	1307.101190
259	go	8	1365.661405
260	go	8	894.782120
261	go	8	1199.734484
262	go	8	990.604629
263	nogo	8	825.232091
264	go	8	1233.547617
265	nogo	8	846.480765
266	go	8	1139.346922
267	go	8	1089.399120
268	go	8	977.239546
269	go	8	1200.797211
270	go	8	1252.110027
271	go	8	1365.845196
272	nogo	8	1113.572294
273	go	8	1631.202158
274	go	8	1250.556461
275	go	8	1099.592154
276	go	8	1033.600195
277	go	8	975.196768
278	nogo	8	1076.961927
279	go	8	1319.665563
280	go	8	992.287070
281	go	8	1045.905497
282	go	8	1119.687670
283	go	8	1021.875741
284	go	8	1195.451435
285	go	8	1179.964994
286	go	8	1206.998465
287	go	8	1285.467901
288	go	8	1062.590623
289	nogo	8	865.028008
290	go	8	1159.223721
291	go	8	1042.788606
292	go	8	1323.070723
293	go	8	941.179792
294	go	8	1125.360645
295	go	8	1067.190863
296	go	8	845.661851
297	nogo	8	822.009843
298	go	8	1373.624748
299	nogo	8	1294.292802
300	go	8	1184.177400
301	nogo	8	796.733671
302	go	8	889.957760
303	nogo	8	1071.753291
