trial_index	trial_type	block_number	mean_acceleration
55	go	4	28177.044464
56	go	4	22990.428586
57	go	4	26276.488063
58	nogo	4	25969.263032
59	go	4	31926.573745
60	go	4	33784.154854
61	go	4	n/a
62	go	4	27300.764022
63	nogo	4	n/a
64	go	4	30737.089615
65	go	4	16886.627728
66	go	4	25955.456964
67	go	4	28298.450452
68	go	4	20789.232615
69	go	4	30515.854277
70	go	4	18507.757666
71	nogo	4	n/a
72	go	4	21989.653252
73	go	4	19655.438329
74	go	4	25579.235360
75	go	4	27893.284204
76	nogo	4	35503.853281
77	go	4	18064.379701
78	go	4	17549.458816
79	go	4	22696.290754
80	go	4	19570.245958
81	nogo	4	19411.082820
82	go	4	24968.523609
83	go	4	17598.947725
84	nogo	4	n/a
85	go	4	25639.233356
86	go	4	28634.404242
87	go	4	30815.290200
88	nogo	4	20914.459397
89	go	4	25272.858931
90	go	4	26315.528087
91	nogo	4	n/a
92	go	4	33378.275204
93	go	4	10358.682997
94	nogo	4	16753.685051
95	go	4	27883.143447
96	go	4	31933.150987
97	go	4	26639.632855
98	go	4	28317.809203
99	go	4	23767.944304
100	go	4	36105.216442
101	go	4	30451.000692
102	go	4	30568.229606
103	nogo	4	45240.925778
104	go	4	16268.988064
105	go	4	38481.351635
106	go	4	36009.950585
107	go	4	18371.790177
108	nogo	4	n/a
109	go	4	25136.775479
110	go	4	23749.395133
111	go	4	34288.541288
112	go	4	17694.106424
113	nogo	4	n/a
114	go	4	22510.110427
115	go	5	39763.084667
116	go	5	21921.019123
117	nogo	5	n/a
118	go	5	14693.986489
119	nogo	5	28344.353912
120	go	5	30668.897389
121	nogo	5	15826.959606
122	go	5	18048.876640
123	go	5	31667.992465
124	nogo	5	18505.175794
125	go	5	14220.434598
126	go	5	28459.439633
127	go	5	10678.198005
128	nogo	5	19426.823238
129	go	5	8444.980705
130	go	5	17200.285880
131	nogo	5	n/a
132	go	5	19069.144627
133	go	5	22718.167748
134	go	5	22196.478887
135	go	5	21931.266680
136	go	5	24409.490619
137	nogo	5	n/a
138	go	5	16197.554732
139	go	5	15248.807648
140	nogo	5	2477.119287
