trial_index	trial_type	block_number	accuracy_binary
55	go	4	1
56	go	4	1
57	go	4	1
58	nogo	4	1
59	go	4	1
60	go	4	1
61	go	4	0
62	go	4	1
63	nogo	4	0
64	go	4	1
65	go	4	1
66	go	4	1
67	go	4	1
68	go	4	1
69	go	4	1
70	go	4	1
71	nogo	4	0
72	go	4	1
73	go	4	1
74	go	4	1
75	go	4	1
76	nogo	4	1
77	go	4	1
78	go	4	1
79	go	4	1
80	go	4	1
81	nogo	4	1
82	go	4	1
83	go	4	1
84	nogo	4	0
85	go	4	1
86	go	4	1
87	go	4	1
88	nogo	4	1
89	go	4	1
90	go	4	1
91	nogo	4	0
92	go	4	1
93	go	4	1
94	nogo	4	1
95	go	4	1
96	go	4	1
97	go	4	1
98	go	4	1
99	go	4	1
100	go	4	1
101	go	4	1
102	go	4	1
103	nogo	4	1
104	go	4	1
105	go	4	1
106	go	4	1
107	go	4	1
108	nogo	4	0
109	go	4	1
110	go	4	1
111	go	4	1
112	go	4	1
113	nogo	4	0
114	go	4	1
115	go	5	1
116	go	5	1
117	nogo	5	0
118	go	5	1
119	nogo	5	1
120	go	5	1
121	nogo	5	1
122	go	5	1
123	go	5	1
124	nogo	5	1
125	go	5	1
126	go	5	1
127	go	5	1
128	nogo	5	1
129	go	5	1
130	go	5	1
131	nogo	5	0
132	go	5	1
133	go	5	1
134	go	5	1
135	go	5	1
136	go	5	1
137	nogo	5	0
138	go	5	1
139	go	5	1
140	nogo	5	1
141	go	5	1
142	nogo	5	1
143	go	5	1
144	go	5	1
145	go	5	1
146	nogo	5	0
147	go	5	1
148	go	5	1
149	go	5	1
150	go	5	1
151	go	5	1
152	go	5	1
153	go	5	1
154	go	5	1
155	nogo	5	0
156	go	5	1
157	go	5	1
158	go	5	1
159	go	5	1
160	go	5	1
161	go	5	1
162	go	5	1
163	go	5	1
164	go	5	1
165	go	5	1
166	go	5	1
167	go	5	1
168	go	5	0
169	go	5	1
170	go	5	1
171	go	5	1
172	go	5	1
173	nogo	5	1
174	go	5	1
193	go	7	1
194	go	7	1
195	go	7	1
196	go	7	1
197	nogo	7	1
198	go	7	1
199	go	7	1
200	go	7	1
201	go	7	0
202	go	7	1
203	go	7	1
204	go	7	1
205	go	7	1
206	go	7	1
207	nogo	7	1
208	go	7	0
209	nogo	7	1
210	go	7	1
211	go	7	1
212	go	7	1
213	go	7	1
214	go	7	1
215	nogo	7	0
216	go	7	1
217	go	7	1
218	go	7	1
219	go	7	1
220	go	7	1
221	go	7	1
222	go	7	1
223	go	7	1
224	go	7	1
225	nogo	7	1
226	go	7	1
227	go	7	1
228	go	7	1
229	go	7	1
230	go	7	1
231	go	7	1
232	nogo	7	0
233	go	7	1
234	go	7	1
235	nogo	7	1
236	go	7	1
237	go	7	1
238	nogo	7	1
239	go	7	1
240	nogo	7	1
241	go	7	1
242	go	7	1
243	go	7	1
244	go	7	1
245	nogo	7	1
246	go	7	1
247	go	7	1
248	nogo	7	1
249	go	7	1
250	go	7	1
251	go	7	1
252	nogo	7	1
253	nogo	8	0
254	go	8	1
255	go	8	1
256	go	8	1
257	go	8	1
258	nogo	8	0
259	go	8	1
260	go	8	1
261	go	8	1
262	nogo	8	0
