onset	duration	accuracy	trial_type	learning_stage	stimulus	coherence	signal_detection_theory
0.000	8.599	correct	learning	LS1	PICTURE_212.jpg	c	hit
8.599	11.209	incorrect	learning	LS1	PICTURE_654.jpg	i	false alarm
19.808	12.381	correct	learning	LS1	PICTURE_212.jpg	i	correct rejection
32.189	12.594	correct	learning	LS1	PICTURE_659.jpg	i	correct rejection
44.783	11.052	correct	learning	LS1	PICTURE_38.jpg	c	hit
55.835	13.031	correct	learning	LS1	PICTURE_659.jpg	c	hit
68.866	11.487	incorrect	learning	LS1	PICTURE_26.jpg	i	false alarm
80.353	12.964	correct	learning	LS1	PICTURE_654.jpg	c	hit
93.317	11.726	correct	learning	LS1	PICTURE_38.jpg	i	correct rejection
105.043	10.487	correct	learning	LS1	PICTURE_26.jpg	c	hit
115.530	10.278	correct	learning	LS2	PICTURE_38.jpg	c	hit
125.808	10.802	correct	learning	LS2	PICTURE_26.jpg	i	correct rejection
136.610	8.449	correct	learning	LS2	PICTURE_654.jpg	c	hit
145.059	10.579	correct	learning	LS2	PICTURE_38.jpg	i	correct rejection
155.638	10.475	correct	learning	LS2	PICTURE_212.jpg	c	hit
166.113	10.208	correct	learning	LS2	PICTURE_659.jpg	i	correct rejection
176.321	14.418	correct	learning	LS2	PICTURE_212.jpg	i	correct rejection
190.739	10.474	correct	learning	LS2	PICTURE_26.jpg	c	hit
201.213	10.686	correct	learning	LS2	PICTURE_654.jpg	i	correct rejection
211.899	10.899	correct	learning	LS2	PICTURE_659.jpg	c	hit
222.798	9.113	correct	learning	LS3	PICTURE_659.jpg	c	hit
231.911	9.643	correct	learning	LS3	PICTURE_38.jpg	i	correct rejection
241.554	8.582	correct	learning	LS3	PICTURE_212.jpg	c	hit
250.136	8.793	correct	learning	LS3	PICTURE_38.jpg	c	hit
258.929	7.886	correct	learning	LS3	PICTURE_654.jpg	c	hit
266.815	7.625	correct	learning	LS3	PICTURE_26.jpg	c	hit
274.440	6.877	correct	learning	LS3	PICTURE_659.jpg	i	correct rejection
281.317	8.695	correct	learning	LS3	PICTURE_212.jpg	i	correct rejection
290.012	8.915	correct	learning	LS3	PICTURE_654.jpg	i	correct rejection
298.927	8.800	correct	learning	LS3	PICTURE_26.jpg	i	correct rejection
307.727	12.112	correct	learning	LS4	PICTURE_659.jpg	i	correct rejection
319.839	7.993	correct	learning	LS4	PICTURE_654.jpg	i	correct rejection
327.832	8.830	correct	learning	LS4	PICTURE_38.jpg	i	correct rejection
336.662	8.069	correct	learning	LS4	PICTURE_212.jpg	c	hit
344.731	8.595	correct	learning	LS4	PICTURE_38.jpg	c	hit
353.326	8.800	correct	learning	LS4	PICTURE_26.jpg	i	correct rejection
362.126	9.492	correct	learning	LS4	PICTURE_659.jpg	c	hit
