onset	duration	accuracy	trial_type	learning_stage	stimulus	response_port
1148.723	1.886	correct	learning	LS1	h29_p3_k_down_left.jpg	98
1196.217	1.167	incorrect	learning	LS1	h53_p35_i_down_left.jpg	98
1243.711	0.912	incorrect	learning	LS1	h32_p13_i_down_left.jpg	98
1290.872	1.171	incorrect	learning	LS1	h117_p31_i_up_left.jpg	98
1338.199	1.092	incorrect	learning	LS1	h94_p33_i_up_left.jpg	98
1385.526	1.478	correct	learning	LS1	h53_p33_k_down_right.jpg	98
1432.686	1.688	incorrect	learning	LS1	h94_p2_k_up_left.jpg	97
1480.014	1.897	correct	learning	LS1	h32_p31_k_down_right.jpg	98
1527.008	1.212	incorrect	learning	LS1	h29_p49_i_down_right.jpg	98
1573.835	2.0	incorrect	learning	LS1	h117_p6_k_up_left.jpg	97
1665.989	1.853	incorrect	learning	LS2	h29_p3_k_down_left.jpg	97
1713.483	1.342	correct	learning	LS2	h53_p25_i_down_right.jpg	97
1760.81	1.664	correct	learning	LS2	h117_p13_i_up_right.jpg	97
1808.138	1.09	correct	learning	LS2	h32_p31_k_down_right.jpg	98
1855.465	1.427	correct	learning	LS2	h94_p31_i_up_left.jpg	97
1902.625	1.525	correct	learning	LS2	h29_p10_i_down_right.jpg	97
1949.786	1.128	correct	learning	LS2	h94_p2_k_up_left.jpg	98
1996.946	1.322	correct	learning	LS2	h53_p33_k_down_right.jpg	98
2044.107	1.996	correct	learning	LS2	h32_p10_i_down_right.jpg	97
2091.267	0.975	correct	learning	LS2	h117_p6_k_up_left.jpg	98
2183.589	1.035	correct	learning	LS3	h32_p31_k_down_right.jpg	98
2230.749	1.213	correct	learning	LS3	h53_p35_i_down_left.jpg	97
2277.91	0.944	correct	learning	LS3	h94_p2_k_up_left.jpg	98
2324.904	1.043	correct	learning	LS3	h117_p31_i_up_left.jpg	97
2372.231	1.156	correct	learning	LS3	h29_p49_i_down_right.jpg	97
2419.391	1.062	correct	learning	LS3	h32_p13_i_down_left.jpg	97
2466.385	0.826	correct	learning	LS3	h29_p3_k_down_left.jpg	98
2513.546	0.988	correct	learning	LS3	h117_p6_k_up_left.jpg	98
2560.54	1.23	correct	learning	LS3	h94_p33_i_up_left.jpg	97
2607.533	1.393	correct	learning	LS3	h53_p33_k_down_right.jpg	98
2699.521	1.343	correct	learning	LS4	h117_p13_i_up_right.jpg	97
2746.349	1.043	correct	learning	LS4	h53_p33_k_down_right.jpg	98
2793.343	1.078	correct	learning	LS4	h29_p10_i_down_right.jpg	97
2840.67	1.127	correct	learning	LS4	h32_p31_k_down_right.jpg	98
2887.997	1.161	correct	learning	LS4	h94_p2_k_up_left.jpg	98
2935.324	0.859	correct	learning	LS4	h32_p10_i_down_right.jpg	97
2982.485	0.765	correct	learning	LS4	h29_p3_k_down_left.jpg	98
3029.812	1.006	correct	learning	LS4	h94_p31_i_up_left.jpg	97
3077.139	1.088	correct	learning	LS4	h53_p25_i_down_right.jpg	97
3124.299	1.042	correct	learning	LS4	h117_p6_k_up_left.jpg	98
3397.431	1.128	correct	learning	LS1	h85_p11_k_up_left.jpg	98
3444.591	0.714	incorrect	learning	LS1	h107_p25_i_up_left.jpg	98
3491.752	1.132	correct	learning	LS1	h116_p21_i_up_right.jpg	97
3538.745	1.055	correct	learning	LS1	h42_p34_i_down_left.jpg	97
3585.739	1.058	correct	learning	LS1	h35_p50_k_down_right.jpg	98
3632.9	1.332	correct	learning	LS1	h85_p43_i_up_right.jpg	97
3679.727	1.448	correct	learning	LS1	h35_p43_i_down_left.jpg	97
3726.554	1.356	incorrect	learning	LS1	h116_p28_k_up_right.jpg	97
3773.548	1.375	incorrect	learning	LS1	h107_p42_k_up_right.jpg	97
3820.542	1.202	correct	learning	LS1	h42_p5_k_down_left.jpg	98
