onset	duration	accuracy	trial_type	learning_stage	stimulus	coherence	signal_detection_theory
0.000	17.153	correct	learning	LS1	PICTURE_165.jpg	c	hit
17.153	6.821	correct	learning	LS1	PICTURE_202.jpg	c	hit
23.974	7.204	incorrect	learning	LS1	PICTURE_148.jpg	c	miss
31.178	7.268	correct	learning	LS1	PICTURE_358.jpg	i	correct rejection
38.446	5.579	incorrect	learning	LS1	PICTURE_165.jpg	i	false alarm
44.025	12.368	incorrect	learning	LS1	PICTURE_453.jpg	c	miss
56.393	11.646	correct	learning	LS1	PICTURE_358.jpg	c	hit
68.039	11.404	incorrect	learning	LS1	PICTURE_453.jpg	i	false alarm
79.443	13.560	correct	learning	LS1	PICTURE_202.jpg	i	correct rejection
93.003	13.637	correct	learning	LS1	PICTURE_148.jpg	i	correct rejection
106.640	13.658	correct	learning	LS2	PICTURE_148.jpg	i	correct rejection
120.298	12.623	correct	learning	LS2	PICTURE_202.jpg	c	hit
132.921	8.543	correct	learning	LS2	PICTURE_148.jpg	c	hit
141.464	7.026	correct	learning	LS2	PICTURE_358.jpg	c	hit
148.490	7.429	incorrect	learning	LS2	PICTURE_165.jpg	i	false alarm
155.919	10.226	incorrect	learning	LS2	PICTURE_453.jpg	c	miss
166.145	17.668	correct	learning	LS2	PICTURE_165.jpg	c	hit
183.813	7.995	correct	learning	LS2	PICTURE_358.jpg	i	correct rejection
191.808	9.192	correct	learning	LS2	PICTURE_453.jpg	i	correct rejection
201.000	8.316	correct	learning	LS2	PICTURE_202.jpg	i	correct rejection
209.316	13.295	correct	learning	LS3	PICTURE_202.jpg	i	correct rejection
222.611	7.936	correct	learning	LS3	PICTURE_358.jpg	c	hit
230.547	9.918	correct	learning	LS3	PICTURE_148.jpg	c	hit
240.465	18.619	correct	learning	LS3	PICTURE_453.jpg	c	hit
259.084	7.967	correct	learning	LS3	PICTURE_358.jpg	i	correct rejection
267.051	19.854	correct	learning	LS3	PICTURE_165.jpg	c	hit
286.905	8.729	correct	learning	LS3	PICTURE_453.jpg	i	correct rejection
295.634	8.479	correct	learning	LS3	PICTURE_148.jpg	i	correct rejection
304.113	9.830	correct	learning	LS3	PICTURE_165.jpg	i	correct rejection
313.943	10.548	incorrect	learning	LS3	PICTURE_202.jpg	c	miss
324.491	14.096	correct	learning	LS4	PICTURE_358.jpg	c	hit
338.587	7.768	correct	learning	LS4	PICTURE_148.jpg	i	correct rejection
346.355	8.005	correct	learning	LS4	PICTURE_453.jpg	i	correct rejection
354.360	8.725	correct	learning	LS4	PICTURE_202.jpg	i	correct rejection
363.085	n/a	n/a	learning	LS4	PICTURE_453.jpg	c	late
