onset	duration	trial_type	condition	block	trial	difficulty_level	expression	correct_answer	user_answer	response_time_ms	is_correct	is_timeout
0.0	3.42	FLOW_B	B	1	1	1	1 + 109	110	110.0	3419.8	1	0
7.466	3.078	FLOW_B	B	1	2	1	7 + 102	109	109.0	3078.3	1	0
14.571	3.151	FLOW_B	B	1	3	1	104 + 1	105	105.0	3151.1	1	0
21.776	2.986	FLOW_B	B	1	4	1	108 + 5	113	113.0	2986.2	1	0
28.774	2.659	FLOW_B	B	1	5	1	4 + 109	113	103.0	2658.8	0	0
35.438	2.138	FLOW_B	B	1	6	1	101 + 5	106	106.0	2138.1	1	0
41.628	4.59	FLOW_B	B	1	7	1	6 + 109	115	105.0	4590.1	0	0
50.268	4.833	FLOW_B	B	1	8	1	3 + 102	105	105.0	4832.9	1	0
59.156	1.798	FLOW_B	B	1	9	1	101 + 1	102	102.0	1797.8	1	0
64.958	2.066	FLOW_B	B	1	10	1	3 + 101	104	104.0	2065.6	1	0
71.072	5.223	FLOW_B	B	1	11	1	107 + 8	115	115.0	5223.3	1	0
80.352	4.795	FLOW_B	B	1	12	1	108 + 5	113	113.0	4795.4	1	0
89.202	2.901	FLOW_B	B	1	13	1	8 + 105	113	113.0	2900.9	1	0
96.107	11.214	FLOW_B	B	1	14	1	7 + 106	113	113.0	11213.6	1	0
111.342	2.351	FLOW_B	B	1	15	1	103 + 5	108	108.0	2350.7	1	0
117.697	2.926	FLOW_B	B	1	16	1	106 + 5	111	111.0	2925.7	1	0
124.629	6.732	FLOW_B	B	1	17	1	3 + 108	111	111.0	6732.1	1	0
135.363	2.904	FLOW_B	B	1	18	1	109 + 5	114	104.0	2904.1	0	0
142.28	1.992	FLOW_B	B	1	19	1	107 + 7	114	114.0	1991.8	1	0
148.322	2.451	FLOW_B	B	1	20	1	2 + 102	104	104.0	2450.6	1	0
154.826	2.399	FLOW_B	B	1	21	1	103 + 6	109	109.0	2399.2	1	0
161.279	2.454	FLOW_B	B	1	22	1	1 + 105	106	106.0	2454.0	1	0
167.743	1.874	FLOW_B	B	1	23	1	7 + 104	111	111.0	1873.5	1	0
208.435	18.022	FLOW_F	F	2	1	6	95 + 104 + 96 + 90	385	n/a	18022.1	0	1
230.458	10.65	FLOW_F	F	2	2	6	20 + 107 + 46 + 82	255	255.0	10649.7	1	0
245.11	15.932	FLOW_F	F	2	3	6	80 + 57 + 104 + 40	281	381.0	15932.4	0	0
265.05	17.885	FLOW_F	F	2	4	6	77 + 106 + 81 + 42	306	306.0	17885.0	1	0
286.942	9.555	FLOW_F	F	2	5	6	16 + 32 + 67 + 100	215	315.0	9554.8	0	0
300.501	18.021	FLOW_F	F	2	6	6	48 + 104 + 64 + 81	297	n/a	18020.7	0	1
322.573	12.854	FLOW_F	F	2	7	5	108 + 49 + 35 + 5	197	297.0	12854.0	0	0
339.452	11.483	FLOW_F	F	2	8	5	32 + 69 + 101 + 4	206	206.0	11483.1	1	0
354.99	16.32	FLOW_F	F	2	9	5	83 + 109 + 80 + 3	275	375.0	16320.0	0	0
375.359	3.088	FLOW_F	F	2	10	5	99 + 103 + 71 + 1	274	n/a	3088.2	0	1
414.306	18.016	FLOW_O	O	3	1	9	4 + 44 + 93 + 55 + 65 + 108	369	n/a	18015.6	0	1
436.333	18.007	FLOW_O	O	3	2	9	36 + 33 + 80 + 6 + 105 + 12	272	n/a	18007.3	0	1
458.393	18.008	FLOW_O	O	3	3	9	28 + 7 + 102 + 15 + 94 + 52	298	n/a	18008.4	0	1
480.453	18.018	FLOW_O	O	3	4	9	57 + 1 + 95 + 101 + 86 + 70	410	n/a	18017.8	0	1
502.522	15.854	FLOW_O	O	3	5	9	60 + 103 + 84 + 11 + 2 + 83	343	363.0	15853.5	0	0
522.419	18.001	FLOW_O	O	3	6	9	26 + 32 + 108 + 2 + 63 + 38	269	n/a	18000.9	0	1
544.473	18.012	FLOW_O	O	3	7	9	59 + 93 + 100 + 13 + 8 + 40	313	n/a	18011.7	0	1
566.527	17.802	FLOW_O	O	3	8	9	39 + 71 + 63 + 104 + 9 + 48	334	n/a	17802.5	0	1
616.436	2.904	FLOW_B	B	4	1	1	100 + 9	109	109.0	2904.2	1	0
623.388	3.342	FLOW_B	B	4	2	1	109 + 7	116	116.0	3341.6	1	0
630.785	3.118	FLOW_B	B	4	3	1	102 + 5	107	107.0	3117.8	1	0
637.958	3.037	FLOW_B	B	4	4	1	108 + 3	111	111.0	3036.7	1	0
645.049	2.717	FLOW_B	B	4	5	1	103 + 4	107	107.0	2716.8	1	0
651.82	2.877	FLOW_B	B	4	6	1	101 + 2	103	103.0	2877.0	1	0
658.749	2.344	FLOW_B	B	4	7	1	107 + 9	116	106.0	2343.5	0	0
665.139	2.791	FLOW_B	B	4	8	1	103 + 5	108	108.0	2790.8	1	0
671.977	3.479	FLOW_B	B	4	9	1	9 + 102	111	111.0	3478.6	1	0
679.501	4.087	FLOW_B	B	4	10	1	6 + 108	114	114.0	4086.6	1	0
687.635	4.621	FLOW_B	B	4	11	1	5 + 101	106	106.0	4621.1	1	0
696.305	4.235	FLOW_B	B	4	12	1	3 + 105	108	108.0	4234.7	1	0
704.588	6.204	FLOW_B	B	4	13	1	7 + 105	112	112.0	6203.9	1	0
714.84	2.719	FLOW_B	B	4	14	1	104 + 3	107	107.0	2718.8	1	0
721.605	2.478	FLOW_B	B	4	15	1	6 + 105	111	111.0	2477.9	1	0
728.128	2.735	FLOW_B	B	4	16	1	100 + 8	108	108.0	2735.3	1	0
734.906	3.465	FLOW_B	B	4	17	1	5 + 100	105	105.0	3465.3	1	0
742.406	4.162	FLOW_B	B	4	18	1	8 + 105	113	113.0	4162.2	1	0
750.619	2.552	FLOW_B	B	4	19	1	6 + 106	112	112.0	2552.5	1	0
757.218	2.639	FLOW_B	B	4	20	1	108 + 2	110	110.0	2638.8	1	0
763.883	1.969	FLOW_B	B	4	21	1	3 + 106	109	109.0	1968.7	1	0
769.883	2.218	FLOW_B	B	4	22	1	100 + 9	109	109.0	2218.2	1	0
776.126	2.707	FLOW_B	B	4	23	1	3 + 108	111	111.0	2707.4	1	0
782.879	3.565	FLOW_B	B	4	24	1	4 + 102	106	n/a	3565.4	0	1
820.602	11.247	FLOW_F	F	5	1	6	52 + 107 + 63 + 40	262	262.0	11246.9	1	0
835.903	18.016	FLOW_F	F	5	2	6	69 + 102 + 44 + 29	244	n/a	18015.5	0	1
857.962	18.022	FLOW_F	F	5	3	6	84 + 44 + 98 + 106	332	n/a	18021.7	0	1
880.028	16.244	FLOW_F	F	5	4	5	105 + 67 + 5 + 18	195	195.0	16244.2	1	0
900.318	13.85	FLOW_F	F	5	5	5	7 + 66 + 109 + 21	203	203.0	13850.0	1	0
918.213	18.005	FLOW_F	F	5	6	6	92 + 108 + 49 + 95	344	n/a	18005.0	0	1
940.254	10.809	FLOW_F	F	5	7	6	23 + 29 + 91 + 103	246	346.0	10808.9	0	0
955.084	13.95	FLOW_F	F	5	8	5	7 + 107 + 36 + 57	207	307.0	13950.5	0	0
973.036	16.474	FLOW_F	F	5	9	5	104 + 85 + 8 + 55	252	352.0	16473.5	0	0
1029.71	3.972	FLOW_B	B	6	1	1	3 + 100	103	103.0	3971.6	1	0
1037.73	1.67	FLOW_B	B	6	2	1	100 + 1	101	101.0	1670.5	1	0
1043.45	2.21	FLOW_B	B	6	3	1	103 + 5	108	108.0	2210.2	1	0
1049.71	2.876	FLOW_B	B	6	4	1	9 + 106	115	115.0	2875.6	1	0
1056.636	1.738	FLOW_B	B	6	5	1	105 + 4	109	109.0	1738.4	1	0
1062.426	3.107	FLOW_B	B	6	6	1	8 + 105	113	113.0	3107.1	1	0
1069.587	2.444	FLOW_B	B	6	7	1	4 + 106	110	110.0	2444.4	1	0
1076.054	2.297	FLOW_B	B	6	8	1	106 + 1	107	107.0	2297.0	1	0
1082.383	1.937	FLOW_B	B	6	9	1	6 + 106	112	112.0	1936.7	1	0
1088.325	1.886	FLOW_B	B	6	10	1	7 + 105	112	112.0	1885.9	1	0
1094.212	2.094	FLOW_B	B	6	11	1	6 + 101	107	107.0	2093.7	1	0
1100.36	2.257	FLOW_B	B	6	12	1	6 + 105	111	111.0	2256.8	1	0
1106.666	1.877	FLOW_B	B	6	13	1	1 + 108	109	109.0	1877.1	1	0
1112.596	2.228	FLOW_B	B	6	14	1	106 + 3	109	109.0	2228.5	1	0
1118.876	5.564	FLOW_B	B	6	15	1	105 + 8	113	113.0	5564.5	1	0
1128.493	1.89	FLOW_B	B	6	16	1	109 + 3	112	112.0	1890.5	1	0
1134.432	4.868	FLOW_B	B	6	17	1	5 + 107	112	112.0	4867.7	1	0
1143.342	3.503	FLOW_B	B	6	18	1	101 + 6	107	107.0	3503.4	1	0
1150.893	2.821	FLOW_B	B	6	19	1	108 + 1	109	109.0	2820.7	1	0
1157.754	2.377	FLOW_B	B	6	20	1	107 + 6	113	113.0	2377.2	1	0
1164.177	5.436	FLOW_B	B	6	21	1	5 + 101	106	106.0	5436.1	1	0
1173.615	5.346	FLOW_B	B	6	22	1	3 + 104	107	107.0	5346.4	1	0
1182.963	4.272	FLOW_B	B	6	23	1	108 + 2	110	110.0	4272.5	1	0
1191.29	4.683	FLOW_B	B	6	24	1	108 + 1	109	109.0	4682.9	1	0
1231.02	18.02	FLOW_O	O	7	1	9	3 + 67 + 22 + 46 + 100 + 85	323	n/a	18020.2	0	1
1253.085	14.206	FLOW_O	O	7	2	9	7 + 20 + 31 + 108 + 66 + 44	276	286.0	14205.7	0	0
1271.337	17.57	FLOW_O	O	7	3	9	67 + 61 + 107 + 55 + 80 + 9	379	379.0	17569.7	1	0
1292.949	18.0	FLOW_O	O	7	4	9	89 + 85 + 53 + 100 + 5 + 35	367	n/a	18000.1	0	1
1314.997	18.02	FLOW_O	O	7	5	9	40 + 61 + 36 + 104 + 86 + 8	335	n/a	18020.5	0	1
1337.073	16.716	FLOW_O	O	7	6	9	12 + 109 + 4 + 88 + 35 + 82	330	320.0	16716.5	0	0
1357.838	18.005	FLOW_O	O	7	7	9	56 + 100 + 13 + 10 + 3 + 48	230	n/a	18005.3	0	1
1379.886	18.006	FLOW_O	O	7	8	9	65 + 93 + 101 + 5 + 79 + 56	399	n/a	18005.5	0	1
1433.554	18.004	FLOW_F	F	8	1	6	32 + 28 + 109 + 89	258	n/a	18003.9	0	1
1455.56	12.891	FLOW_F	F	8	2	6	15 + 108 + 24 + 80	227	227.0	12891.3	1	0
1472.47	18.007	FLOW_F	F	8	3	6	95 + 84 + 109 + 52	340	n/a	18007.3	0	1
1494.52	16.718	FLOW_F	F	8	4	6	97 + 104 + 14 + 19	234	244.0	16717.6	0	0
1515.288	18.005	FLOW_F	F	8	5	5	9 + 88 + 97 + 101	295	n/a	18004.8	0	1
1537.341	18.005	FLOW_F	F	8	6	5	107 + 75 + 45 + 7	234	n/a	18005.1	0	1
1559.349	11.296	FLOW_F	F	8	7	4	100 + 94 + 63	257	357.0	11295.9	0	0
1574.653	18.011	FLOW_F	F	8	8	4	93 + 99 + 106	298	n/a	18010.7	0	1
1596.67	5.994	FLOW_F	F	8	9	3	32 + 104 + 3	139	139.0	5993.9	1	0
1638.512	18.0	FLOW_O	O	9	1	9	103 + 14 + 35 + 4 + 98 + 13	267	n/a	18000.1	0	1
1660.562	16.587	FLOW_O	O	9	2	9	105 + 78 + 8 + 36 + 24 + 52	303	303.0	16587.2	1	0
1681.191	13.458	FLOW_O	O	9	3	9	44 + 56 + 4 + 106 + 91 + 49	350	350.0	13458.5	1	0
1698.705	18.017	FLOW_O	O	9	4	10	83 + 10 + 50 + 21 + 100 + 77	341	n/a	18017.4	0	1
