trial_index	trial_type	block_number	response_time_ms
55	go	4	556.664
56	nogo	4	411.661
57	go	4	477.301
58	go	4	427.356
59	go	4	362.699
60	go	4	542.978
61	go	4	544.335
62	go	4	494.955
63	go	4	562.213
64	go	4	444.148
65	nogo	4	628.265
66	go	4	394.262
67	go	4	395.187
68	nogo	4	458.866
69	go	4	458.865
70	go	4	526.160
71	go	4	478.222
72	go	4	728.133
73	go	4	360.544
74	go	4	544.044
75	go	4	792.841
76	nogo	4	476.588
77	go	4	409.762
78	go	4	443.519
79	go	4	577.669
80	go	4	476.891
81	nogo	4	443.613
82	go	4	525.602
83	go	4	542.326
84	go	4	525.835
85	nogo	4	442.382
86	go	4	494.237
87	nogo	4	477.863
88	go	4	578.058
89	go	4	511.960
90	go	4	476.253
91	nogo	4	411.196
92	go	4	526.363
93	go	4	745.520
94	go	4	461.356
95	go	4	445.023
96	go	4	558.963
97	go	4	628.139
98	nogo	4	378.087
99	go	4	462.114
100	go	4	396.055
101	go	4	377.846
102	go	4	593.271
103	nogo	4	493.064
104	go	4	378.959
105	nogo	4	358.423
106	go	4	576.311
107	go	4	559.805
108	go	4	643.684
109	go	4	610.862
110	go	4	675.591
111	go	4	542.500
112	nogo	4	426.122
113	go	4	476.742
114	go	4	611.399
115	go	5	627.421
116	go	5	626.100
117	go	5	543.684
118	nogo	5	411.239
119	go	5	577.546
120	go	5	410.734
121	go	5	n/a
122	nogo	5	458.749
123	go	5	595.273
124	go	5	460.529
125	go	5	n/a
126	nogo	5	477.417
127	go	5	n/a
128	go	5	529.560
129	nogo	5	628.333
130	go	5	391.648
131	go	5	559.699
132	go	5	562.527
133	go	5	395.028
134	go	5	694.141
135	go	5	443.816
136	go	5	410.950
137	go	5	527.456
138	go	5	495.210
139	go	5	459.220
140	go	5	459.924
141	nogo	5	545.236
142	go	5	476.386
143	nogo	5	460.690
144	go	5	677.847
145	go	5	595.774
146	nogo	5	292.637
147	go	5	395.099
148	nogo	5	n/a
149	go	5	629.100
150	go	5	579.127
151	go	5	461.520
152	go	5	696.001
153	go	5	545.125
154	go	5	513.178
155	go	5	546.459
156	go	5	476.076
157	go	5	511.704
158	go	5	544.558
159	go	5	477.201
160	go	5	392.544
161	nogo	5	392.180
162	go	5	543.182
163	go	5	592.265
164	go	5	461.465
165	go	5	n/a
166	go	5	593.572
167	nogo	5	476.995
168	go	5	576.661
169	go	5	511.514
170	go	5	511.342
171	nogo	5	559.020
172	go	5	527.920
173	nogo	5	461.675
174	go	5	425.789
193	go	7	593.850
194	go	7	511.626
195	go	7	592.962
196	go	7	446.086
197	go	7	529.265
198	go	7	576.705
199	nogo	7	427.858
200	go	7	426.602
201	go	7	475.885
202	go	7	543.850
203	go	7	509.905
204	go	7	594.939
205	nogo	7	511.603
206	go	7	442.132
207	go	7	559.750
208	nogo	7	493.503
209	go	7	559.833
210	go	7	645.162
211	nogo	7	427.794
212	go	7	509.044
213	nogo	7	458.066
214	go	7	n/a
215	go	7	644.661
216	nogo	7	426.310
217	go	7	427.635
218	go	7	609.320
219	go	7	459.531
220	go	7	578.003
221	go	7	460.743
222	go	7	528.715
223	go	7	n/a
224	go	7	544.683
225	go	7	478.104
226	go	7	577.833
227	go	7	529.750
228	go	7	495.077
229	go	7	443.608
230	go	7	542.391
231	go	7	460.498
232	go	7	379.017
233	go	7	326.304
234	nogo	7	561.222
235	go	7	360.264
236	go	7	443.682
237	go	7	458.919
238	go	7	494.657
239	go	7	460.994
240	nogo	7	477.458
241	go	7	542.499
242	nogo	7	461.546
243	go	7	443.616
244	go	7	594.876
245	go	7	627.900
246	nogo	7	309.039
247	go	7	395.022
248	go	7	627.929
249	nogo	7	576.063
250	go	7	693.452
