onset	duration	response_time_ms	trial_type	learning_stage	stimulus	coherence	response_port
0.000	13.282	13282.0	learning	LS1	PICTURE_659.jpg	i	n/a
13.282	11.127	11127.0	learning	LS1	PICTURE_212.jpg	i	n/a
24.409	10.730	10730.0	learning	LS1	PICTURE_38.jpg	i	n/a
35.139	15.127	15127.0	learning	LS1	PICTURE_659.jpg	c	n/a
50.266	12.152	12152.0	learning	LS1	PICTURE_654.jpg	i	n/a
62.418	11.249	11249.0	learning	LS1	PICTURE_26.jpg	i	n/a
73.667	11.953	11953.0	learning	LS1	PICTURE_212.jpg	c	n/a
85.620	14.257	14257.0	learning	LS1	PICTURE_26.jpg	c	n/a
99.877	12.088	12088.0	learning	LS1	PICTURE_38.jpg	c	n/a
111.965	12.638	12638.0	learning	LS1	PICTURE_654.jpg	c	n/a
124.603	10.414	10414.0	learning	LS2	PICTURE_212.jpg	c	n/a
135.017	9.371	9371.0	learning	LS2	PICTURE_659.jpg	i	n/a
144.388	9.129	9129.0	learning	LS2	PICTURE_38.jpg	c	n/a
153.517	11.126	11126.0	learning	LS2	PICTURE_654.jpg	i	n/a
164.643	12.803	12803.0	learning	LS2	PICTURE_26.jpg	c	n/a
177.446	9.362	9362.0	learning	LS2	PICTURE_212.jpg	i	n/a
186.808	8.646	8646.0	learning	LS2	PICTURE_38.jpg	i	n/a
195.454	n/a	n/a	learning	LS2	PICTURE_654.jpg	c	n/a
220.454	8.175	8175.0	learning	LS2	PICTURE_26.jpg	i	n/a
228.629	8.738	8738.0	learning	LS2	PICTURE_659.jpg	c	n/a
237.367	11.005	11005.0	learning	LS3	PICTURE_26.jpg	c	n/a
248.372	7.570	7570.0	learning	LS3	PICTURE_212.jpg	i	n/a
255.942	8.126	8126.0	learning	LS3	PICTURE_38.jpg	i	n/a
264.068	9.330	9330.0	learning	LS3	PICTURE_659.jpg	c	n/a
273.398	9.247	9247.0	learning	LS3	PICTURE_212.jpg	c	n/a
282.645	8.845	8845.0	learning	LS3	PICTURE_654.jpg	i	n/a
291.490	8.908	8908.0	learning	LS3	PICTURE_38.jpg	c	n/a
300.398	9.291	9291.0	learning	LS3	PICTURE_654.jpg	c	n/a
309.689	8.875	8875.0	learning	LS3	PICTURE_26.jpg	i	n/a
318.564	8.300	8300.0	learning	LS3	PICTURE_659.jpg	i	n/a
326.864	8.141	8141.0	learning	LS4	PICTURE_26.jpg	i	n/a
335.005	8.371	8371.0	learning	LS4	PICTURE_654.jpg	i	n/a
343.376	11.327	11327.0	learning	LS4	PICTURE_659.jpg	c	n/a
354.703	12.524	12524.0	learning	LS4	PICTURE_38.jpg	c	n/a
