onset	duration	accuracy	trial_type	learning_stage	stimulus	response_port
242.305	1.839	correct	learning	LS1	h51_p24_k_up_q3_right.jpg	98
289.465	1.105	incorrect	learning	LS1	h101_p37_i_down_left.jpg	98
336.626	1.043	correct	learning	LS1	h27_p8_k_up_q1_left.jpg	98
383.787	0.741	correct	learning	LS1	h101_p49_k_down_q2_right.jpg	98
431.114	0.807	incorrect	learning	LS1	h77_p35_i_down_left.jpg	98
478.441	0.84	correct	learning	LS1	h93_p27_k_down_q1_left.jpg	98
525.768	1.241	correct	learning	LS1	h27_p34_i_up_right.jpg	97
572.929	1.436	incorrect	learning	LS1	h93_p48_i_down_left.jpg	98
620.09	0.91	correct	learning	LS1	h51_p17_i_up_left.jpg	97
667.417	1.887	correct	learning	LS1	h77_p42_k_down_q1_left.jpg	98
759.572	0.828	correct	learning	LS2	h51_p24_k_up_q3_right.jpg	98
806.399	1.055	correct	learning	LS2	h77_p16_i_down_right.jpg	97
853.56	0.914	correct	learning	LS2	h51_p13_i_up_right.jpg	97
900.387	1.253	correct	learning	LS2	h93_p35_i_down_left.jpg	97
947.214	1.4	incorrect	learning	LS2	h101_p49_k_down_q2_right.jpg	97
994.042	1.1	incorrect	learning	LS2	h27_p10_i_up_left.jpg	98
1041.036	1.07	correct	learning	LS2	h77_p42_k_down_q1_left.jpg	98
1088.03	1.057	incorrect	learning	LS2	h93_p27_k_down_q1_left.jpg	97
1134.857	1.364	correct	learning	LS2	h101_p21_i_down_left.jpg	97
1181.684	1.096	correct	learning	LS2	h27_p8_k_up_q1_left.jpg	98
1274.339	1.059	correct	learning	LS3	h77_p42_k_down_q1_left.jpg	98
1321.666	1.092	correct	learning	LS3	h27_p8_k_up_q1_left.jpg	98
1368.827	0.95	correct	learning	LS3	h101_p37_i_down_left.jpg	97
1416.154	1.176	correct	learning	LS3	h77_p35_i_down_left.jpg	97
1463.315	1.194	correct	learning	LS3	h27_p34_i_up_right.jpg	97
1510.642	0.667	correct	learning	LS3	h51_p24_k_up_q3_right.jpg	98
1557.803	1.101	correct	learning	LS3	h101_p49_k_down_q2_right.jpg	98
1604.963	1.311	incorrect	learning	LS3	h93_p48_i_down_left.jpg	98
1652.124	0.833	correct	learning	LS3	h51_p17_i_up_left.jpg	97
1699.284	1.107	correct	learning	LS3	h93_p27_k_down_q1_left.jpg	98
1791.606	1.072	correct	learning	LS4	h27_p10_i_up_left.jpg	97
1838.6	0.738	correct	learning	LS4	h101_p49_k_down_q2_right.jpg	98
1885.594	1.429	correct	learning	LS4	h93_p27_k_down_q1_left.jpg	98
1932.588	1.096	correct	learning	LS4	h77_p42_k_down_q1_left.jpg	98
1979.582	1.53	correct	learning	LS4	h93_p35_i_down_left.jpg	97
2026.576	0.829	correct	learning	LS4	h101_p21_i_down_left.jpg	97
2073.403	0.625	correct	learning	LS4	h51_p24_k_up_q3_right.jpg	98
2120.397	0.819	correct	learning	LS4	h27_p8_k_up_q1_left.jpg	98
2167.391	0.966	correct	learning	LS4	h77_p16_i_down_right.jpg	97
2214.385	0.889	correct	learning	LS4	h51_p13_i_up_right.jpg	97
2487.85	0.939	incorrect	learning	LS1	h74_p48_i_up_right.jpg	98
2535.011	0.717	incorrect	learning	LS1	h50_p37_i_up_right.jpg	98
2582.504	0.814	incorrect	learning	LS1	h75_p16_i_down_right.jpg	98
2629.832	0.879	correct	learning	LS1	h69_p34_k_down_q1_left.jpg	98
2676.992	1.169	correct	learning	LS1	h50_p45_k_up_q3_right.jpg	98
2724.153	1.011	correct	learning	LS1	h61_p5_k_up_q2_right.jpg	98
2771.314	0.981	correct	learning	LS1	h74_p16_k_up_q1_left.jpg	98
