trial_index	trial_type	block_number	response_time_ms
55	go	4	493.755
56	nogo	4	358.857
57	go	4	462.754
58	go	4	345.141
59	go	4	361.632
60	go	4	342.851
61	nogo	4	411.403
62	go	4	409.690
63	go	4	544.576
64	nogo	4	360.446
65	go	4	461.724
66	go	4	459.855
67	go	4	410.198
68	go	4	379.419
69	go	4	393.128
70	go	4	443.645
71	go	4	609.954
72	go	4	n/a
73	nogo	4	393.604
74	go	4	345.031
75	go	4	493.562
76	go	4	526.763
77	go	4	361.400
78	nogo	4	310.853
79	go	4	445.362
80	go	4	378.750
81	go	4	410.174
82	go	4	377.234
83	nogo	4	473.177
84	go	4	444.954
85	go	4	461.905
86	go	4	379.196
87	go	4	344.646
88	go	4	359.256
89	go	4	362.172
90	nogo	4	309.665
91	go	4	445.118
92	go	4	394.960
93	go	4	477.229
94	go	4	445.583
95	nogo	4	460.872
96	go	4	361.516
97	nogo	4	360.646
98	go	4	395.755
99	go	4	577.216
100	go	4	562.054
101	go	4	593.688
102	go	4	442.586
103	nogo	4	393.516
104	go	4	462.057
105	go	4	410.844
106	nogo	4	593.641
107	go	4	426.798
108	go	4	496.140
109	go	4	394.085
110	go	4	493.216
111	go	4	395.372
112	go	4	561.754
113	go	4	460.037
114	nogo	4	392.157
115	go	5	410.628
116	go	5	476.495
117	go	5	378.139
118	go	5	479.007
119	nogo	5	393.247
120	go	5	378.440
121	go	5	493.235
122	go	5	395.534
123	nogo	5	n/a
124	go	5	508.689
125	nogo	5	377.024
126	go	5	478.205
127	go	5	476.555
128	nogo	5	393.349
129	go	5	n/a
130	go	5	394.779
131	nogo	5	357.196
132	go	5	443.154
133	go	5	376.423
134	go	5	n/a
135	go	5	512.639
136	go	5	377.528
137	nogo	5	426.518
138	go	5	510.115
139	nogo	5	359.021
140	go	5	476.204
141	go	5	476.426
142	go	5	345.587
143	nogo	5	476.457
144	go	5	393.664
145	go	5	529.940
146	go	5	496.039
147	go	5	392.260
148	go	5	459.375
149	nogo	5	377.726
150	go	5	342.868
151	go	5	460.463
152	go	5	377.955
153	go	5	377.715
154	nogo	5	493.089
155	go	5	428.454
156	go	5	394.852
157	go	5	396.027
158	go	5	363.019
159	go	5	395.105
160	go	5	460.012
161	go	5	477.806
162	go	5	460.724
163	go	5	395.323
164	go	5	n/a
165	go	5	626.976
166	go	5	393.809
167	go	5	361.662
168	go	5	377.517
169	go	5	393.879
170	go	5	493.888
171	nogo	5	360.685
172	go	5	511.263
173	nogo	5	377.457
174	go	5	477.943
193	nogo	7	244.192
194	go	7	442.809
195	nogo	7	361.294
196	go	7	394.634
197	nogo	7	411.441
198	go	7	493.589
199	go	7	410.571
200	go	7	495.591
201	go	7	394.486
202	go	7	393.715
203	nogo	7	158.711
204	go	7	443.964
205	go	7	478.663
206	go	7	n/a
207	go	7	409.925
208	go	7	395.739
209	nogo	7	245.272
210	go	7	428.896
211	go	7	411.805
212	go	7	361.224
213	go	7	528.406
214	go	7	526.491
215	go	7	443.280
216	nogo	7	477.529
217	go	7	479.176
218	go	7	594.654
219	go	7	360.352
220	go	7	510.368
221	go	7	527.534
222	go	7	545.526
223	nogo	7	341.959
224	go	7	394.803
225	go	7	409.844
226	nogo	7	361.149
227	go	7	445.352
228	go	7	344.194
229	go	7	494.785
230	go	7	463.433
231	go	7	376.843
232	go	7	377.406
233	nogo	7	377.572
234	go	7	495.329
235	go	7	394.019
236	go	7	410.941
237	go	7	542.344
238	go	7	362.542
239	go	7	378.514
240	go	7	409.747
241	go	7	510.649
242	go	7	412.022
243	nogo	7	n/a
244	go	7	509.501
245	go	7	659.869
246	go	7	394.298
247	go	7	377.858
248	go	7	511.908
249	nogo	7	358.549
250	go	7	393.128
251	go	7	344.079
252	nogo	7	409.052
253	nogo	8	226.841
254	go	8	377.860
255	nogo	8	n/a
256	go	8	459.280
257	go	8	560.481
258	go	8	477.923
259	go	8	409.970
260	nogo	8	325.845
261	go	8	460.558
262	go	8	379.240
263	nogo	8	243.200
264	go	8	475.863
265	go	8	510.479
266	go	8	477.980
267	nogo	8	327.847
268	go	8	445.500
269	go	8	n/a
270	go	8	528.252
271	nogo	8	511.505
272	go	8	376.675
273	go	8	495.237
274	go	8	444.820
275	go	8	443.544
276	go	8	511.831
277	go	8	509.782
278	go	8	496.195
279	go	8	510.506
280	go	8	426.959
281	go	8	395.520
282	go	8	490.920
283	go	8	428.855
