trial_index	trial_type	block_number	response_time_ms
55	go	4	628.289
56	nogo	4	660.340
57	go	4	626.125
58	go	4	627.639
59	go	4	544.350
60	nogo	4	793.793
61	go	4	592.071
62	nogo	4	561.138
63	go	4	761.520
64	nogo	4	710.605
65	go	4	611.963
66	go	4	493.871
67	go	4	495.887
68	go	4	545.186
69	nogo	4	1243.515
70	go	4	627.093
71	go	4	n/a
72	go	4	577.676
73	go	4	493.689
74	go	4	527.891
75	go	4	558.696
76	go	4	509.895
77	go	4	659.757
78	go	4	829.508
79	go	4	n/a
80	nogo	4	410.603
81	go	4	476.572
82	go	4	709.680
83	go	4	544.588
84	go	4	558.573
85	nogo	4	511.467
86	go	4	544.805
87	go	4	626.900
88	go	4	395.005
89	go	4	444.258
90	nogo	4	376.333
91	go	4	393.819
92	go	4	660.893
93	go	4	378.592
94	go	4	527.926
95	go	4	745.797
96	go	4	477.381
97	go	4	477.103
98	nogo	4	592.965
99	go	4	610.594
100	nogo	4	876.400
101	go	4	445.223
102	go	4	544.653
103	go	4	n/a
104	go	4	460.067
105	go	4	493.701
106	go	4	592.611
107	go	4	527.171
108	nogo	4	609.747
109	go	4	545.465
110	go	4	576.471
111	go	4	595.603
112	nogo	4	n/a
113	go	4	477.192
114	go	4	462.221
115	nogo	5	n/a
116	go	5	610.611
117	go	5	595.044
118	go	5	678.018
119	nogo	5	676.881
120	go	5	593.896
121	nogo	5	409.639
122	go	5	559.781
123	nogo	5	358.977
124	go	5	593.130
125	go	5	611.270
126	go	5	542.995
127	go	5	661.490
128	nogo	5	626.653
129	go	5	728.682
130	go	5	695.529
131	go	5	695.394
132	go	5	628.342
133	go	5	562.099
134	go	5	528.944
135	go	5	645.389
136	go	5	528.130
137	go	5	495.809
138	go	5	411.499
139	nogo	5	744.041
140	go	5	625.093
141	go	5	609.824
142	go	5	544.808
143	go	5	561.994
144	go	5	512.066
145	nogo	5	726.361
146	go	5	593.780
147	nogo	5	627.545
148	go	5	744.204
149	nogo	5	494.733
150	go	5	492.530
151	go	5	694.179
152	go	5	445.378
