trial_index	trial_type	block_number	block_type	is_practice	kin_parse_failed	kin_n_samples	duration	path_length	max_velocity	mean_velocity	max_acceleration	mean_acceleration
1	go	1	go_only	1	0	52	0.838783	1228.569156	10267.412457	1464.705105	577878.618495	48700.443545
2	go	1	go_only	1	0	57	0.923166	901.607998	4864.916651	976.648175	87593.603075	25225.004152
4	go	1	go_only	1	0	36	0.576130	1106.316120	14387.966300	1920.254650	390381.430626	67769.768100
5	go	1	go_only	1	0	34	0.542124	832.031015	9373.319368	1534.760599	281209.631038	46262.208490
6	go	1	go_only	1	0	33	0.525802	554.458369	3361.696079	1054.500505	122149.972314	27228.291334
7	go	1	go_only	1	0	30	0.477357	715.139928	8212.516469	1498.123894	326715.494741	41076.661682
8	go	1	go_only	1	0	32	0.510819	558.323131	8970.843097	1092.995158	285913.273609	37198.750704
9	go	1	go_only	1	0	27	0.425046	572.242808	8489.661602	1346.307313	307217.829214	43622.178797
11	go	1	go_only	1	0	32	0.509602	611.578706	4543.436147	1200.109312	180517.972099	31982.873280
12	go	1	go_only	1	0	41	0.662493	821.094726	7441.323453	1239.401360	223985.471735	29848.387075
13	go	1	go_only	1	0	40	0.646041	841.354870	10083.543507	1302.325070	362409.808360	32855.733678
14	go	1	go_only	1	0	34	0.545268	676.616763	5154.192502	1240.888222	284856.148074	29230.439328
15	go	1	go_only	1	0	37	0.591742	495.499831	7759.461224	837.357605	367673.204096	33181.549390
16	go	1	go_only	1	0	40	0.644571	734.626682	13003.783392	1139.714669	584448.059868	54893.786507
17	go	1	go_only	1	0	42	0.677114	766.615927	10487.141410	1132.181641	501178.157986	48629.899467
18	go	1	go_only	1	0	38	0.609638	712.599227	15853.190763	1168.888548	608266.539356	59816.284050
19	go	2	go_nogo_prac	1	0	40	0.645828	938.358608	9669.960618	1452.955034	385544.489085	46324.176477
20	nogo	2	go_nogo_prac	1	0	20	0.309722	567.129516	17417.536671	1831.093310	743914.038770	116619.122430
21	go	2	go_nogo_prac	1	0	30	0.478106	519.320207	10352.726539	1086.203983	343723.633713	45838.364676
22	go	2	go_nogo_prac	1	0	34	0.543788	750.241607	12282.322335	1379.658515	732782.993333	57334.141929
23	go	2	go_nogo_prac	1	0	31	0.494132	477.456472	7896.637754	966.253865	471697.325360	39583.452965
24	go	2	go_nogo_prac	1	0	34	0.544087	642.838777	5082.431207	1181.500409	314709.421187	28825.245078
25	go	2	go_nogo_prac	1	0	30	0.475428	548.725278	10401.941928	1154.170415	337367.253749	47778.691252
26	go	2	go_nogo_prac	1	0	29	0.461390	561.172099	9411.282026	1216.265166	581054.531026	51911.122780
27	go	2	go_nogo_prac	1	0	36	0.577286	876.976824	11855.670175	1519.138313	360366.803471	57871.683161
28	nogo	2	go_nogo_prac	1	0	51	0.826962	753.991550	9032.420400	911.760267	360877.624081	30473.749449
29	nogo	2	go_nogo_prac	1	0	74	1.211006	905.524284	9440.431555	747.745683	556120.974231	28879.221847
30	go	2	go_nogo_prac	1	0	31	0.493975	646.558596	11131.659962	1308.890367	366496.900063	51556.892034
31	go	2	go_nogo_prac	1	0	46	0.743392	812.940048	8714.392822	1093.555601	414772.560783	52150.187822
32	go	2	go_nogo_prac	1	0	43	0.694531	675.975985	5857.541677	973.284389	230224.608519	31763.685344
