onset	duration	accuracy_binary	trial_type	learning_stage	stimulus	coherence
0.000	17.153	1	learning	LS1	PICTURE_165.jpg	c
17.153	6.821	1	learning	LS1	PICTURE_202.jpg	c
23.974	7.204	0	learning	LS1	PICTURE_148.jpg	c
31.178	7.268	1	learning	LS1	PICTURE_358.jpg	i
38.446	5.579	0	learning	LS1	PICTURE_165.jpg	i
44.025	12.368	0	learning	LS1	PICTURE_453.jpg	c
56.393	11.646	1	learning	LS1	PICTURE_358.jpg	c
68.039	11.404	0	learning	LS1	PICTURE_453.jpg	i
79.443	13.560	1	learning	LS1	PICTURE_202.jpg	i
93.003	13.637	1	learning	LS1	PICTURE_148.jpg	i
106.640	13.658	1	learning	LS2	PICTURE_148.jpg	i
120.298	12.623	1	learning	LS2	PICTURE_202.jpg	c
132.921	8.543	1	learning	LS2	PICTURE_148.jpg	c
141.464	7.026	1	learning	LS2	PICTURE_358.jpg	c
148.490	7.429	0	learning	LS2	PICTURE_165.jpg	i
155.919	10.226	0	learning	LS2	PICTURE_453.jpg	c
166.145	17.668	1	learning	LS2	PICTURE_165.jpg	c
183.813	7.995	1	learning	LS2	PICTURE_358.jpg	i
191.808	9.192	1	learning	LS2	PICTURE_453.jpg	i
201.000	8.316	1	learning	LS2	PICTURE_202.jpg	i
209.316	13.295	1	learning	LS3	PICTURE_202.jpg	i
222.611	7.936	1	learning	LS3	PICTURE_358.jpg	c
230.547	9.918	1	learning	LS3	PICTURE_148.jpg	c
240.465	18.619	1	learning	LS3	PICTURE_453.jpg	c
259.084	7.967	1	learning	LS3	PICTURE_358.jpg	i
267.051	19.854	1	learning	LS3	PICTURE_165.jpg	c
286.905	8.729	1	learning	LS3	PICTURE_453.jpg	i
295.634	8.479	1	learning	LS3	PICTURE_148.jpg	i
304.113	9.830	1	learning	LS3	PICTURE_165.jpg	i
313.943	10.548	0	learning	LS3	PICTURE_202.jpg	c
324.491	14.096	1	learning	LS4	PICTURE_358.jpg	c
338.587	7.768	1	learning	LS4	PICTURE_148.jpg	i
346.355	8.005	1	learning	LS4	PICTURE_453.jpg	i
354.360	8.725	1	learning	LS4	PICTURE_202.jpg	i
363.085	n/a	n/a	learning	LS4	PICTURE_453.jpg	c
388.085	11.933	1	learning	LS4	PICTURE_202.jpg	c
400.018	10.892	1	learning	LS4	PICTURE_165.jpg	i
