onset	duration	trial_type	condition	block	trial	difficulty_level	expression	correct_answer	user_answer	response_time_ms	is_correct	is_timeout
0.0	2.837	FLOW_B	B	1	1	1	8 + 100	108	108.0	2836.9	1	0
6.881	3.304	FLOW_B	B	1	2	1	108 + 5	113	113.0	3303.8	1	0
14.201	6.107	FLOW_B	B	1	3	1	108 + 6	114	114.0	6107.0	1	0
24.357	2.902	FLOW_B	B	1	4	1	2 + 105	107	107.0	2902.0	1	0
31.299	2.664	FLOW_B	B	1	5	1	4 + 101	105	105.0	2663.9	1	0
37.977	3.22	FLOW_B	B	1	6	1	103 + 3	106	106.0	3219.9	1	0
45.242	1.787	FLOW_B	B	1	7	1	109 + 1	110	110.0	1787.1	1	0
51.061	2.293	FLOW_B	B	1	8	1	101 + 6	107	107.0	2292.8	1	0
57.392	6.155	FLOW_B	B	1	9	1	8 + 104	112	112.0	6155.1	1	0
67.598	4.339	FLOW_B	B	1	10	1	5 + 106	111	111.0	4339.3	1	0
75.982	2.52	FLOW_B	B	1	11	1	102 + 5	107	107.0	2520.3	1	0
82.518	2.415	FLOW_B	B	1	12	1	2 + 106	108	108.0	2414.6	1	0
88.97	4.707	FLOW_B	B	1	13	1	7 + 109	116	116.0	4707.2	1	0
97.682	2.126	FLOW_B	B	1	14	1	1 + 108	109	110.0	2125.8	0	0
103.826	6.065	FLOW_B	B	1	15	1	9 + 108	117	117.0	6064.8	1	0
113.912	4.043	FLOW_B	B	1	16	1	2 + 101	103	103.0	4043.3	1	0
121.992	3.753	FLOW_B	B	1	17	1	2 + 102	104	104.0	3753.3	1	0
129.789	4.212	FLOW_B	B	1	18	1	109 + 5	114	114.0	4212.4	1	0
138.056	4.376	FLOW_B	B	1	19	1	2 + 104	106	106.0	4376.3	1	0
146.455	7.949	FLOW_B	B	1	20	1	104 + 9	113	113.0	7949.2	1	0
158.431	3.02	FLOW_B	B	1	21	1	106 + 2	108	108.0	3020.3	1	0
165.494	2.259	FLOW_B	B	1	22	1	101 + 9	110	110.0	2259.4	1	0
210.331	18.01	FLOW_F	F	2	1	5	79 + 8 + 79 + 102	268	n/a	18010.4	0	1
232.36	18.005	FLOW_F	F	2	2	5	33 + 9 + 109 + 25	176	n/a	18005.4	0	1
254.417	17.677	FLOW_F	F	2	3	4	107 + 49 + 37	193	193.0	17676.8	1	0
276.13	18.01	FLOW_F	F	2	4	4	105 + 52 + 76	233	n/a	18010.5	0	1
298.182	12.929	FLOW_F	F	2	5	4	69 + 33 + 100	202	203.0	12929.4	0	0
315.152	14.498	FLOW_F	F	2	6	3	109 + 2 + 22	133	133.0	14497.6	1	0
333.699	9.569	FLOW_F	F	2	7	3	56 + 101 + 8	165	165.0	9569.4	1	0
347.279	7.374	FLOW_F	F	2	8	4	25 + 105 + 73	203	203.0	7373.7	1	0
358.689	9.702	FLOW_F	F	2	9	4	106 + 24 + 31	161	161.0	9701.9	1	0
372.396	7.957	FLOW_F	F	2	10	5	76 + 35 + 107 + 3	221	n/a	7956.9	0	1
416.482	18.009	FLOW_O	O	3	1	8	59 + 24 + 64 + 82 + 106	335	n/a	18009.2	0	1
438.547	18.019	FLOW_O	O	3	2	8	25 + 32 + 102 + 95 + 26	280	n/a	18018.6	0	1
460.621	18.017	FLOW_O	O	3	3	8	102 + 36 + 49 + 67 + 63	317	n/a	18017.4	0	1
482.669	18.014	FLOW_O	O	3	4	8	91 + 107 + 90 + 30 + 79	397	n/a	18014.2	0	1
504.731	18.02	FLOW_O	O	3	5	8	47 + 78 + 30 + 108 + 39	302	n/a	18020.2	0	1
526.789	18.004	FLOW_O	O	3	6	8	13 + 25 + 95 + 109 + 71	313	n/a	18003.7	0	1
548.835	16.184	FLOW_O	O	3	7	8	63 + 41 + 73 + 55 + 103	335	335.0	16184.2	1	0
569.034	17.47	FLOW_O	O	3	8	8	30 + 56 + 10 + 22 + 104	222	n/a	17470.0	0	1
618.033	5.396	FLOW_B	B	4	1	1	6 + 103	109	109.0	5396.2	1	0
627.431	3.094	FLOW_B	B	4	2	1	8 + 108	116	116.0	3093.8	1	0
634.572	2.724	FLOW_B	B	4	3	1	105 + 2	107	107.0	2723.7	1	0
641.349	3.258	FLOW_B	B	4	4	1	100 + 6	106	106.0	3257.8	1	0
648.634	3.08	FLOW_B	B	4	5	1	101 + 6	107	107.0	3080.2	1	0
655.769	2.936	FLOW_B	B	4	6	1	103 + 5	108	108.0	2936.1	1	0
662.757	4.343	FLOW_B	B	4	7	1	1 + 103	104	104.0	4343.3	1	0
671.129	3.029	FLOW_B	B	4	8	1	9 + 109	118	118.0	3028.6	1	0
678.158	3.175	FLOW_B	B	4	9	1	100 + 6	106	106.0	3174.6	1	0
685.334	3.41	FLOW_B	B	4	10	1	1 + 109	110	110.0	3410.0	1	0
692.794	3.417	FLOW_B	B	4	11	1	104 + 2	106	106.0	3416.7	1	0
700.216	4.913	FLOW_B	B	4	12	1	109 + 7	116	116.0	4912.7	1	0
709.148	2.507	FLOW_B	B	4	13	1	9 + 100	109	109.0	2507.1	1	0
715.708	3.138	FLOW_B	B	4	14	1	3 + 103	106	106.0	3138.2	1	0
722.897	2.903	FLOW_B	B	4	15	1	9 + 102	111	111.0	2903.1	1	0
729.853	3.598	FLOW_B	B	4	16	1	103 + 2	105	105.0	3597.5	1	0
