trial_index	trial_type	block_number	accuracy_binary
55	nogo	4	0
56	go	4	1
57	go	4	1
58	go	4	1
59	go	4	1
60	go	4	1
61	nogo	4	1
62	go	4	1
63	go	4	1
64	go	4	1
65	go	4	1
66	go	4	1
67	go	4	0
68	go	4	1
69	go	4	1
70	go	4	1
71	nogo	4	1
72	go	4	1
73	go	4	1
74	go	4	1
75	go	4	1
76	go	4	1
77	go	4	1
78	go	4	1
79	go	4	1
80	nogo	4	1
81	go	4	1
82	go	4	1
83	go	4	1
84	go	4	1
85	go	4	1
86	go	4	1
87	go	4	1
88	nogo	4	1
89	go	4	1
90	go	4	1
91	nogo	4	1
92	go	4	1
93	go	4	1
94	go	4	1
95	go	4	1
96	nogo	4	1
97	go	4	1
98	go	4	1
99	go	4	1
100	nogo	4	1
101	go	4	1
102	go	4	1
103	nogo	4	1
104	go	4	1
105	go	4	1
106	go	4	1
107	go	4	1
108	nogo	4	1
109	go	4	1
110	nogo	4	1
111	go	4	1
112	nogo	4	1
113	go	4	1
114	go	4	1
115	go	5	1
116	nogo	5	1
117	go	5	1
118	go	5	1
119	go	5	1
120	go	5	1
121	go	5	1
122	go	5	1
123	go	5	1
124	nogo	5	1
125	go	5	1
126	go	5	1
127	nogo	5	1
128	go	5	1
129	go	5	1
130	go	5	1
131	go	5	1
132	nogo	5	1
133	go	5	1
134	go	5	1
135	nogo	5	1
136	go	5	1
137	go	5	1
138	go	5	1
139	nogo	5	0
140	go	5	1
141	go	5	1
142	go	5	1
143	go	5	1
144	nogo	5	1
145	go	5	1
146	go	5	1
147	go	5	1
148	go	5	1
149	nogo	5	1
150	go	5	1
151	nogo	5	1
152	go	5	1
153	go	5	1
154	nogo	5	1
155	go	5	1
156	go	5	1
157	go	5	1
158	go	5	1
159	go	5	1
160	go	5	1
161	go	5	1
162	nogo	5	1
163	go	5	1
164	go	5	1
165	go	5	1
166	go	5	1
167	nogo	5	1
168	go	5	1
169	go	5	1
170	go	5	1
171	go	5	1
172	go	5	1
173	go	5	1
174	go	5	1
193	nogo	7	1
194	go	7	1
195	go	7	1
196	go	7	1
197	go	7	1
198	nogo	7	1
199	go	7	1
200	go	7	1
201	go	7	0
202	go	7	1
203	go	7	1
204	go	7	1
205	go	7	1
206	go	7	1
207	go	7	1
208	nogo	7	0
209	go	7	1
210	go	7	1
211	go	7	1
212	go	7	1
213	go	7	1
214	nogo	7	1
215	go	7	0
216	go	7	1
217	go	7	1
218	nogo	7	1
219	go	7	1
220	go	7	1
221	go	7	1
222	nogo	7	1
223	go	7	1
224	go	7	1
225	go	7	1
226	go	7	1
227	go	7	1
228	go	7	1
229	nogo	7	1
230	go	7	1
231	go	7	1
232	nogo	7	1
233	go	7	1
234	nogo	7	1
235	go	7	1
236	go	7	1
237	nogo	7	1
238	go	7	1
239	go	7	1
240	go	7	1
241	go	7	1
242	go	7	1
243	go	7	1
244	go	7	1
245	go	7	1
246	go	7	1
247	nogo	7	1
248	go	7	1
249	go	7	1
250	nogo	7	1
251	go	7	0
252	go	7	1
253	go	8	1
254	go	8	1
255	nogo	8	1
256	go	8	1
257	go	8	1
258	go	8	1
259	go	8	1
260	go	8	1
261	go	8	1
262	go	8	1
263	go	8	1
264	nogo	8	1
265	go	8	1
266	go	8	1
267	go	8	1
268	nogo	8	1
269	go	8	1
270	go	8	1
271	go	8	1
272	go	8	1
273	nogo	8	1
274	go	8	1
275	go	8	1
276	go	8	1
277	go	8	1
278	go	8	1
279	go	8	1
280	go	8	1
281	nogo	8	1
282	go	8	1
283	go	8	1
284	go	8	1
285	go	8	1
286	nogo	8	1
287	go	8	1
288	nogo	8	1
289	go	8	1
290	nogo	8	1
291	go	8	1
292	nogo	8	1
293	go	8	1
294	go	8	1
295	go	8	1
296	go	8	1
297	nogo	8	1
298	go	8	1
299	go	8	1
300	nogo	8	1
301	go	8	1
302	go	8	1
303	go	8	1
304	go	8	1
305	nogo	8	1
306	go	8	1
307	go	8	1
308	go	8	1
309	go	8	1
310	go	8	1
311	go	8	1
312	go	8	1
331	go	10	1
332	go	10	1
333	nogo	10	1
334	go	10	1
335	go	10	1
336	go	10	1
337	nogo	10	0
338	go	10	1
339	nogo	10	1
340	go	10	1
341	go	10	1
342	go	10	1
343	nogo	10	1
344	go	10	1
345	go	10	1
346	go	10	1
347	go	10	1
348	go	10	1
349	go	10	1
350	go	10	1
351	go	10	0
352	go	10	1
353	go	10	1
354	go	10	1
355	go	10	1
356	go	10	1
357	go	10	1
358	go	10	1
359	go	10	1
360	go	10	1
361	nogo	10	1
362	go	10	1
363	go	10	1
364	nogo	10	1
365	go	10	1
366	go	10	1
367	go	10	1
368	nogo	10	1
369	go	10	1
370	go	10	1
371	go	10	1
372	nogo	10	1
373	go	10	1
374	go	10	1
375	nogo	10	1
376	go	10	1
377	go	10	0
378	nogo	10	1
379	go	10	1
380	nogo	10	0
381	go	10	1
382	go	10	1
383	go	10	1
384	go	10	1
385	go	10	1
386	go	10	1
387	nogo	10	1
388	go	10	1
389	go	10	1
390	go	10	1
391	go	11	1
392	go	11	1
393	go	11	1
394	nogo	11	1
395	go	11	1
396	go	11	1
397	nogo	11	0
398	go	11	1
399	nogo	11	1
400	go	11	1
401	go	11	1
402	nogo	11	1
403	go	11	1
404	go	11	1
405	go	11	1
406	nogo	11	1
407	go	11	1
408	go	11	1
409	go	11	1
410	nogo	11	1
411	go	11	1
412	go	11	1
413	nogo	11	1
414	go	11	1
415	go	11	1
416	go	11	1
417	go	11	1
418	go	11	1
419	go	11	1
420	go	11	1
421	go	11	1
422	go	11	1
423	go	11	1
424	go	11	1
425	go	11	1
426	go	11	1
427	go	11	1
428	go	11	1
429	nogo	11	1
430	go	11	1
431	go	11	1
432	go	11	1
433	go	11	0
434	go	11	1
435	go	11	1
436	go	11	1
437	go	11	1
438	nogo	11	1
439	go	11	1
440	go	11	1
441	go	11	1
442	go	11	1
443	go	11	1
444	go	11	1
445	nogo	11	1
446	go	11	1
447	go	11	1
448	nogo	11	1
449	go	11	1
450	nogo	11	1
469	go	13	0
470	nogo	13	1
471	go	13	1
472	nogo	13	1
473	go	13	1
474	go	13	0
475	go	13	1
476	nogo	13	1
477	go	13	1
478	nogo	13	1
479	go	13	1
480	go	13	1
481	nogo	13	1
482	go	13	1
483	nogo	13	1
484	go	13	1
485	go	13	1
486	nogo	13	1
487	go	13	1
488	go	13	1
489	go	13	1
490	go	13	1
491	go	13	1
492	go	13	1
493	nogo	13	0
494	go	13	1
495	go	13	1
496	go	13	1
497	go	13	1
498	go	13	1
499	go	13	1
500	nogo	13	1
501	go	13	1
502	go	13	1
503	nogo	13	0
504	go	13	1
505	go	13	1
506	go	13	1
507	go	13	0
508	nogo	13	1
509	go	13	1
510	go	13	1
511	go	13	1
512	go	13	1
513	go	13	1
514	go	13	1
515	nogo	13	1
516	go	13	1
517	go	13	1
518	go	13	1
519	go	13	1
520	go	13	1
521	go	13	1
522	go	13	1
523	go	13	1
524	go	13	1
525	go	13	1
526	go	13	1
527	go	13	1
528	go	13	1
529	nogo	14	1
530	go	14	1
531	nogo	14	1
532	go	14	1
533	nogo	14	1
534	go	14	1
535	go	14	1
536	go	14	1
537	go	14	1
538	nogo	14	0
539	go	14	1
540	go	14	1
541	go	14	1
542	nogo	14	1
543	go	14	1
544	go	14	1
545	go	14	1
546	go	14	1
547	go	14	1
548	go	14	1
549	go	14	1
550	go	14	1
