onset	duration	response_time_ms	trial_type	learning_stage	stimulus	coherence	response_port
0.000	7.074	7074.0	learning	LS1	PICTURE_23.jpg	c	n/a
7.074	6.157	6157.0	learning	LS1	PICTURE_235.jpg	i	n/a
13.231	7.944	7944.0	learning	LS1	PICTURE_297.jpg	c	n/a
21.175	8.943	8943.0	learning	LS1	PICTURE_235.jpg	c	n/a
30.118	7.543	7543.0	learning	LS1	PICTURE_297.jpg	i	n/a
37.661	8.703	8703.0	learning	LS1	PICTURE_720.jpg	i	n/a
46.364	8.911	8911.0	learning	LS1	PICTURE_746.jpg	c	n/a
55.275	11.517	11517.0	learning	LS1	PICTURE_720.jpg	c	n/a
66.792	8.056	8056.0	learning	LS1	PICTURE_23.jpg	i	n/a
74.848	9.710	9710.0	learning	LS1	PICTURE_746.jpg	i	n/a
84.558	7.290	7290.0	learning	LS2	PICTURE_235.jpg	c	n/a
91.848	6.384	6384.0	learning	LS2	PICTURE_746.jpg	c	n/a
98.232	11.876	11876.0	learning	LS2	PICTURE_235.jpg	i	n/a
110.108	7.293	7293.0	learning	LS2	PICTURE_720.jpg	c	n/a
117.401	8.793	8793.0	learning	LS2	PICTURE_746.jpg	i	n/a
126.194	7.094	7094.0	learning	LS2	PICTURE_297.jpg	c	n/a
133.288	8.434	8434.0	learning	LS2	PICTURE_23.jpg	i	n/a
141.722	8.167	8167.0	learning	LS2	PICTURE_297.jpg	i	n/a
149.889	7.423	7423.0	learning	LS2	PICTURE_720.jpg	i	n/a
157.312	7.163	7163.0	learning	LS2	PICTURE_23.jpg	c	n/a
164.475	7.146	7146.0	learning	LS3	PICTURE_297.jpg	i	n/a
171.621	8.000	8000.0	learning	LS3	PICTURE_235.jpg	c	n/a
179.621	6.783	6783.0	learning	LS3	PICTURE_746.jpg	c	n/a
186.404	6.026	6026.0	learning	LS3	PICTURE_23.jpg	c	n/a
192.430	6.705	6705.0	learning	LS3	PICTURE_297.jpg	c	n/a
199.135	7.384	7384.0	learning	LS3	PICTURE_746.jpg	i	n/a
206.519	8.705	8705.0	learning	LS3	PICTURE_720.jpg	i	n/a
215.224	8.588	8588.0	learning	LS3	PICTURE_23.jpg	i	n/a
223.812	7.677	7677.0	learning	LS3	PICTURE_720.jpg	c	n/a
231.489	8.203	8203.0	learning	LS3	PICTURE_235.jpg	i	n/a
239.692	7.220	7220.0	learning	LS4	PICTURE_23.jpg	c	n/a
246.912	9.030	9030.0	learning	LS4	PICTURE_297.jpg	i	n/a
255.942	6.206	6206.0	learning	LS4	PICTURE_746.jpg	c	n/a
262.148	6.421	6421.0	learning	LS4	PICTURE_235.jpg	c	n/a
268.569	6.955	6955.0	learning	LS4	PICTURE_720.jpg	c	n/a
275.524	6.050	6050.0	learning	LS4	PICTURE_297.jpg	c	n/a
281.574	6.595	6595.0	learning	LS4	PICTURE_23.jpg	i	n/a
288.169	7.612	7612.0	learning	LS4	PICTURE_720.jpg	i	n/a
295.781	6.875	6875.0	learning	LS4	PICTURE_235.jpg	i	n/a
302.656	6.457	6457.0	learning	LS4	PICTURE_746.jpg	i	n/a
309.113	8.681	8681.0	learning	LS1	PICTURE_576.jpg	c	n/a
317.794	6.656	6656.0	learning	LS1	PICTURE_581.jpg	i	n/a
324.450	9.894	9894.0	learning	LS1	PICTURE_52.jpg	c	n/a
334.344	8.495	8495.0	learning	LS1	PICTURE_605.jpg	c	n/a
342.839	8.059	8059.0	learning	LS1	PICTURE_581.jpg	c	n/a
350.898	8.742	8742.0	learning	LS1	PICTURE_594.jpg	c	n/a
359.640	10.070	10070.0	learning	LS1	PICTURE_605.jpg	i	n/a
369.710	9.959	9959.0	learning	LS1	PICTURE_594.jpg	i	n/a
379.669	10.169	10169.0	learning	LS1	PICTURE_52.jpg	i	n/a
389.838	8.953	8953.0	learning	LS1	PICTURE_576.jpg	i	n/a
398.791	7.972	7972.0	learning	LS2	PICTURE_576.jpg	i	n/a
406.763	8.185	8185.0	learning	LS2	PICTURE_594.jpg	c	n/a
414.948	6.162	6162.0	learning	LS2	PICTURE_581.jpg	c	n/a
421.110	7.015	7015.0	learning	LS2	PICTURE_605.jpg	c	n/a
428.125	7.389	7389.0	learning	LS2	PICTURE_576.jpg	c	n/a
435.514	7.127	7127.0	learning	LS2	PICTURE_52.jpg	c	n/a
442.641	7.822	7822.0	learning	LS2	PICTURE_581.jpg	i	n/a
450.463	8.043	8043.0	learning	LS2	PICTURE_594.jpg	i	n/a
