trial_index	trial_type	block_number	path_length
55	nogo	4	572.728784
56	go	4	505.941445
57	nogo	4	591.439532
58	go	4	471.313336
59	nogo	4	509.222011
60	go	4	610.765565
61	go	4	510.060190
62	go	4	483.839641
63	go	4	600.595360
64	nogo	4	516.210497
65	go	4	624.301591
66	go	4	624.516125
67	nogo	4	554.018340
68	go	4	783.681814
69	nogo	4	n/a
70	go	4	551.922917
71	go	4	599.331411
72	go	4	468.699487
73	go	4	499.855351
74	go	4	590.491257
75	go	4	643.575077
76	go	4	555.526928
77	go	4	526.536623
78	go	4	557.857096
79	nogo	4	587.847523
80	go	4	577.481523
81	go	4	501.488666
82	go	4	n/a
83	go	4	582.851900
84	go	4	595.897035
85	go	4	n/a
86	go	4	615.470274
87	nogo	4	538.634250
88	go	4	526.479366
89	go	4	648.797648
90	nogo	4	511.053522
91	go	4	562.645087
92	go	4	n/a
93	nogo	4	588.752333
94	go	4	504.645111
95	go	4	n/a
96	go	4	745.263593
97	go	4	n/a
98	go	4	606.033297
99	go	4	640.522347
100	go	4	495.051578
101	go	4	656.548480
102	go	4	974.893429
103	go	4	522.558013
104	go	4	540.772293
105	nogo	4	589.877151
106	go	4	551.523733
107	go	4	552.836778
108	nogo	4	426.896673
109	go	4	614.379381
110	go	4	494.187001
111	go	4	413.428161
112	go	4	568.005068
113	go	4	650.484722
114	go	4	565.836914
115	nogo	5	794.610340
116	go	5	580.630713
117	go	5	487.020299
118	go	5	592.867803
119	go	5	552.571396
120	go	5	541.502788
121	go	5	569.883138
122	go	5	512.434460
123	go	5	513.240007
124	nogo	5	396.743518
125	go	5	552.118068
126	go	5	578.549336
127	go	5	543.747904
128	go	5	605.849574
129	go	5	676.281752
130	nogo	5	n/a
131	go	5	506.552202
132	go	5	n/a
133	go	5	539.865784
134	nogo	5	604.483126
135	go	5	532.815165
136	go	5	552.035163
137	go	5	597.439205
138	nogo	5	527.563882
139	go	5	519.692927
140	go	5	623.053581
141	nogo	5	480.781748
142	go	5	564.738364
143	go	5	560.621905
144	go	5	558.623610
145	go	5	576.876766
146	nogo	5	591.741232
147	go	5	479.087281
148	go	5	559.963767
149	go	5	505.189612
150	go	5	596.659311
151	go	5	526.317688
152	go	5	477.546598
153	go	5	n/a
154	nogo	5	523.477740
155	go	5	470.647205
156	go	5	590.394218
157	nogo	5	468.472262
158	go	5	545.694902
159	nogo	5	n/a
160	go	5	592.650213
161	nogo	5	519.041281
162	go	5	527.220607
163	go	5	492.148167
