participant,session,version,phase,block,rep,trial,stimulus,stim_type,direction,side,response_key,correct,rt,onset_time
sub-001,1,A,learning-1,1,1,1,h17_p49_k_up_q3_left.jpg,k,up,q3,left,correct,1.1923,13.0608
sub-001,1,A,learning-1,1,1,2,h103_p16_k_down_q3_right.jpg,k,down,q3,right,incorrect,1.215,17.0141
sub-001,1,A,learning-1,1,1,3,h8_p7_k_up_q1_left.jpg,k,up,q1,left,correct,1.597,20.9841
sub-001,1,A,learning-1,1,1,4,h17_p33_i_up_left.jpg,i,up,left,right,correct,0.8513,25.3378
sub-001,1,A,learning-1,1,1,5,h105_p47_k_down_q3_right.jpg,k,down,q3,left,correct,0.8877,28.9575
sub-001,1,A,learning-1,1,1,6,h16_p12_i_up_right.jpg,i,up,right,right,correct,1.3946,32.6106
sub-001,1,A,learning-1,1,1,7,h4_p31_k_up_q4_left.jpg,k,up,q4,left,correct,1.232,36.7493
sub-001,1,A,learning-1,1,1,8,h16_p11_k_up_q4_left.jpg,k,up,q4,left,correct,0.6139,40.7194
sub-001,1,A,learning-1,1,1,9,h104_p35_i_down_left.jpg,i,down,left,left,incorrect,0.583,44.0703
sub-001,1,A,learning-1,1,1,10,h115_p39_i_down_right.jpg,i,down,right,,timeout,,47.4136
sub-001,1,A,learning-1,1,1,11,h4_p32_i_up_left.jpg,i,up,left,left,incorrect,0.9278,52.6775
