onset	duration	accuracy	trial_type	learning_stage	stimulus	response_port
241.483	n/a	to late	learning	LS1	h26_p20_k_up_q2_right.jpg	n/a
288.015	n/a	to late	learning	LS1	h76_p29_k_down_q1_left.jpg	n/a
334.713	n/a	to late	learning	LS1	h74_p16_k_up_q1_left.jpg	n/a
381.245	0.695	incorrect	learning	LS1	h84_p47_i_down_right.jpg	98
427.944	1.762	correct	learning	LS1	h80_p25_i_down_right.jpg	97
474.809	1.678	incorrect	learning	LS1	h74_p48_i_up_right.jpg	98
521.508	1.036	incorrect	learning	LS1	h76_p49_i_down_right.jpg	98
568.206	1.192	correct	learning	LS1	h26_p48_i_up_right.jpg	97
614.905	1.828	correct	learning	LS1	h84_p8_k_down_q3_right.jpg	98
661.77	1.92	incorrect	learning	LS1	h80_p30_k_down_q2_right.jpg	97
753.666	1.312	correct	learning	LS2	h80_p30_k_down_q2_right.jpg	98
800.365	1.485	correct	learning	LS2	h76_p11_i_down_right.jpg	97
847.063	1.402	incorrect	learning	LS2	h74_p16_k_up_q1_left.jpg	97
893.929	1.829	incorrect	learning	LS2	h26_p20_k_up_q2_right.jpg	97
940.461	0.98	correct	learning	LS2	h84_p8_k_down_q3_right.jpg	98
986.992	1.106	correct	learning	LS2	h76_p29_k_down_q1_left.jpg	98
1033.691	1.103	correct	learning	LS2	h26_p43_i_up_right.jpg	97
1080.39	1.691	incorrect	learning	LS2	h80_p16_i_down_right.jpg	98
1127.255	0.888	correct	learning	LS2	h84_p34_i_down_left.jpg	97
1173.953	1.364	correct	learning	LS2	h74_p12_i_up_right.jpg	97
1265.85	1.268	correct	learning	LS3	h74_p48_i_up_right.jpg	97
1312.381	1.281	correct	learning	LS3	h76_p29_k_down_q1_left.jpg	98
1358.913	1.87	correct	learning	LS3	h74_p16_k_up_q1_left.jpg	98
1405.612	1.244	correct	learning	LS3	h76_p49_i_down_right.jpg	97
1452.31	1.352	incorrect	learning	LS3	h80_p25_i_down_right.jpg	98
1498.842	1.398	correct	learning	LS3	h26_p20_k_up_q2_right.jpg	98
1545.374	1.284	correct	learning	LS3	h84_p47_i_down_right.jpg	97
1592.073	0.562	correct	learning	LS3	h80_p30_k_down_q2_right.jpg	98
1638.604	0.959	correct	learning	LS3	h84_p8_k_down_q3_right.jpg	98
1685.303	1.211	correct	learning	LS3	h26_p48_i_up_right.jpg	97
1777.032	1.244	correct	learning	LS4	h26_p43_i_up_right.jpg	97
1823.564	0.842	correct	learning	LS4	h76_p29_k_down_q1_left.jpg	98
1870.263	0.998	correct	learning	LS4	h80_p16_i_down_right.jpg	97
1916.795	0.996	correct	learning	LS4	h84_p34_i_down_left.jpg	97
1963.326	0.993	correct	learning	LS4	h76_p11_i_down_right.jpg	97
2010.025	1.006	correct	learning	LS4	h26_p20_k_up_q2_right.jpg	98
2056.557	0.748	correct	learning	LS4	h80_p30_k_down_q2_right.jpg	98
2103.255	0.888	correct	learning	LS4	h74_p16_k_up_q1_left.jpg	98
2149.787	0.918	correct	learning	LS4	h84_p8_k_down_q3_right.jpg	98
2196.486	0.914	correct	learning	LS4	h74_p12_i_up_right.jpg	97
2469.005	0.767	incorrect	learning	LS1	h57_p34_i_down_left.jpg	98
2515.871	2.041	incorrect	learning	LS1	h56_p49_i_up_left.jpg	98
2562.736	1.766	incorrect	learning	LS1	h69_p47_i_down_right.jpg	98
2609.601	1.33	correct	learning	LS1	h57_p36_k_down_q1_left.jpg	98
2656.634	1.453	correct	learning	LS1	h51_p17_i_up_left.jpg	97
2703.499	1.944	incorrect	learning	LS1	h75_p16_i_down_right.jpg	98
2750.198	1.557	correct	learning	LS1	h56_p13_k_up_q2_right.jpg	98
2796.729	0.948	correct	learning	LS1	h51_p24_k_up_q3_right.jpg	98
2843.261	1.52	incorrect	learning	LS1	h69_p34_k_down_q1_left.jpg	97
2889.96	0.654	correct	learning	LS1	h75_p37_k_down_q1_left.jpg	98
2981.856	0.813	correct	learning	LS2	h51_p24_k_up_q3_right.jpg	98
3028.721	1.4	correct	learning	LS2	h69_p20_i_down_left.jpg	97
3075.587	1.396	correct	learning	LS2	h57_p15_i_down_left.jpg	97
3122.118	0.866	correct	learning	LS2	h56_p13_k_up_q2_right.jpg	98
3168.65	0.816	correct	learning	LS2	h57_p36_k_down_q1_left.jpg	98
3215.349	1.212	correct	learning	LS2	h75_p13_i_down_left.jpg	97
3261.881	1.13	correct	learning	LS2	h69_p34_k_down_q1_left.jpg	98
3308.746	1.797	correct	learning	LS2	h51_p13_i_up_right.jpg	97
3355.445	1.106	correct	learning	LS2	h56_p2_i_up_left.jpg	97
3401.976	0.848	correct	learning	LS2	h75_p37_k_down_q1_left.jpg	98
3493.873	0.927	correct	learning	LS3	h69_p34_k_down_q1_left.jpg	98
3540.404	1.26	correct	learning	LS3	h56_p49_i_up_left.jpg	97
3587.103	0.905	correct	learning	LS3	h69_p47_i_down_right.jpg	97
3633.968	0.996	correct	learning	LS3	h57_p34_i_down_left.jpg	97
3680.5	0.77	correct	learning	LS3	h75_p16_i_down_right.jpg	97
3727.199	1.246	correct	learning	LS3	h51_p17_i_up_left.jpg	97
3773.897	0.875	correct	learning	LS3	h56_p13_k_up_q2_right.jpg	98
3820.429	1.144	correct	learning	LS3	h57_p36_k_down_q1_left.jpg	98
3867.128	0.821	correct	learning	LS3	h51_p24_k_up_q3_right.jpg	98
3913.659	0.691	correct	learning	LS3	h75_p37_k_down_q1_left.jpg	98
4005.389	0.835	correct	learning	LS4	h75_p37_k_down_q1_left.jpg	98
4051.921	0.832	correct	learning	LS4	h56_p13_k_up_q2_right.jpg	98
4098.452	1.053	correct	learning	LS4	h51_p13_i_up_right.jpg	97
4145.151	0.81	correct	learning	LS4	h69_p34_k_down_q1_left.jpg	98
4191.85	1.222	correct	learning	LS4	h75_p13_i_down_left.jpg	97
4238.381	0.98	correct	learning	LS4	h57_p36_k_down_q1_left.jpg	98
4284.913	0.594	correct	learning	LS4	h51_p24_k_up_q3_right.jpg	98
4331.612	0.958	correct	learning	LS4	h57_p15_i_down_left.jpg	97
4378.144	0.875	correct	learning	LS4	h56_p2_i_up_left.jpg	97
4424.842	1.255	correct	learning	LS4	h69_p20_i_down_left.jpg	97
4697.195	1.043	incorrect	learning	LS1	h97_p33_i_down_right.jpg	98
4743.894	1.695	correct	learning	LS1	h60_p49_k_up_q4_left.jpg	98
4790.926	2.09	correct	learning	LS1	h50_p45_k_up_q3_right.jpg	98
4837.624	1.942	correct	learning	LS1	h101_p49_k_down_q2_right.jpg	98
4884.323	1.556	incorrect	learning	LS1	h20_p12_i_up_right.jpg	98
4931.022	1.824	incorrect	learning	LS1	h101_p21_i_down_left.jpg	98
4977.553	1.549	correct	learning	LS1	h20_p53_k_up_q3_right.jpg	98
5024.252	1.722	correct	learning	LS1	h97_p23_k_down_q2_right.jpg	98
5070.951	1.112	correct	learning	LS1	h50_p21_i_up_right.jpg	97
5117.983	1.442	correct	learning	LS1	h60_p35_i_up_right.jpg	97
5209.879	1.058	correct	learning	LS2	h50_p37_i_up_right.jpg	97
5256.577	0.799	correct	learning	LS2	h97_p23_k_down_q2_right.jpg	98
5303.276	0.828	correct	learning	LS2	h60_p49_k_up_q4_left.jpg	98
5350.141	1.623	correct	learning	LS2	h101_p49_k_down_q2_right.jpg	98
5397.007	1.155	correct	learning	LS2	h20_p43_i_up_right.jpg	97
5443.705	1.088	correct	learning	LS2	h101_p37_i_down_left.jpg	97
5490.404	1.453	correct	learning	LS2	h60_p48_i_up_right.jpg	97
5537.103	0.81	correct	learning	LS2	h50_p45_k_up_q3_right.jpg	98
5583.801	1.126	correct	learning	LS2	h20_p53_k_up_q3_right.jpg	98
5630.666	0.882	correct	learning	LS2	h97_p35_i_down_left.jpg	97
5722.396	1.09	correct	learning	LS3	h60_p49_k_up_q4_left.jpg	98
5768.928	0.783	correct	learning	LS3	h20_p53_k_up_q3_right.jpg	98
5815.626	0.86	correct	learning	LS3	h101_p21_i_down_left.jpg	97
5862.325	0.664	correct	learning	LS3	h50_p45_k_up_q3_right.jpg	98
5909.023	0.9	correct	learning	LS3	h60_p35_i_up_right.jpg	97
5955.555	0.786	correct	learning	LS3	h97_p23_k_down_q2_right.jpg	98
6002.421	0.813	correct	learning	LS3	h101_p49_k_down_q2_right.jpg	98
6049.286	1.241	correct	learning	LS3	h20_p12_i_up_right.jpg	97
6095.985	0.95	correct	learning	LS3	h50_p21_i_up_right.jpg	97
6142.85	1.088	correct	learning	LS3	h97_p33_i_down_right.jpg	97
6234.579	0.96	correct	learning	LS4	h50_p37_i_up_right.jpg	97
6281.278	0.765	correct	learning	LS4	h60_p49_k_up_q4_left.jpg	98
6327.81	0.73	correct	learning	LS4	h97_p23_k_down_q2_right.jpg	98
6374.508	0.95	correct	learning	LS4	h20_p43_i_up_right.jpg	97
6421.04	1.027	correct	learning	LS4	h101_p37_i_down_left.jpg	97
6467.572	0.801	correct	learning	LS4	h97_p35_i_down_left.jpg	97
6514.104	1.054	correct	learning	LS4	h60_p48_i_up_right.jpg	97
6560.802	0.922	correct	learning	LS4	h101_p49_k_down_q2_right.jpg	98
6607.501	0.695	correct	learning	LS4	h20_p53_k_up_q3_right.jpg	98
6654.199	1.027	correct	learning	LS4	h50_p45_k_up_q3_right.jpg	98
6926.552	1.805	correct	control	LS1	h51_p13_i_up_right.jpg	98
