onset	duration	accuracy	trial_type	learning_stage	stimulus	response_port
241.48	1.566	incorrect	learning	LS1	h29_p49_i_down_right.jpg	98
288.512	0.81	incorrect	learning	LS1	h108_p15_i_up_right.jpg	98
335.377	1.621	incorrect	learning	LS1	h35_p43_i_down_left.jpg	98
382.076	1.042	incorrect	learning	LS1	h89_p2_i_up_left.jpg	98
428.774	1.263	incorrect	learning	LS1	h35_p50_k_down_right.jpg	97
475.473	1.18	correct	learning	LS1	h29_p3_k_down_left.jpg	98
522.172	1.08	correct	learning	LS1	h22_p21_k_down_left.jpg	98
568.87	1.429	correct	learning	LS1	h89_p39_k_up_left.jpg	98
615.569	1.426	correct	learning	LS1	h22_p48_i_down_left.jpg	97
662.434	1.646	correct	learning	LS1	h108_p27_k_up_left.jpg	98
754.33	1.134	correct	learning	LS2	h108_p13_i_up_right.jpg	97
801.196	1.13	correct	learning	LS2	h89_p17_i_up_left.jpg	97
847.894	1.239	correct	learning	LS2	h29_p3_k_down_left.jpg	98
894.593	1.044	correct	learning	LS2	h108_p27_k_up_left.jpg	98
941.292	1.056	correct	learning	LS2	h22_p33_i_down_right.jpg	97
987.99	1.341	correct	learning	LS2	h35_p31_i_down_right.jpg	97
1035.022	1.416	correct	learning	LS2	h29_p10_i_down_right.jpg	97
1081.888	1.572	correct	learning	LS2	h89_p39_k_up_left.jpg	98
1128.586	1.489	incorrect	learning	LS2	h22_p21_k_down_left.jpg	97
1175.285	1.438	correct	learning	LS2	h35_p50_k_down_right.jpg	98
1267.181	1.454	correct	learning	LS3	h35_p43_i_down_left.jpg	97
1313.88	1.307	correct	learning	LS3	h29_p49_i_down_right.jpg	97
1360.578	0.92	correct	learning	LS3	h35_p50_k_down_right.jpg	98
1407.444	1.395	incorrect	learning	LS3	h22_p21_k_down_left.jpg	97
1453.976	1.249	incorrect	learning	LS3	h89_p39_k_up_left.jpg	97
1500.507	1.342	correct	learning	LS3	h108_p15_i_up_right.jpg	97
1547.206	1.531	correct	learning	LS3	h89_p2_i_up_left.jpg	97
1593.905	1.144	correct	learning	LS3	h22_p48_i_down_left.jpg	97
1640.603	1.285	correct	learning	LS3	h108_p27_k_up_left.jpg	98
1687.469	1.345	incorrect	learning	LS3	h29_p3_k_down_left.jpg	97
1779.198	1.505	correct	learning	LS4	h29_p3_k_down_left.jpg	98
1825.897	1.47	correct	learning	LS4	h89_p17_i_up_left.jpg	97
1872.762	1.402	correct	learning	LS4	h35_p31_i_down_right.jpg	97
1919.627	1.206	correct	learning	LS4	h89_p39_k_up_left.jpg	98
1966.326	1.139	correct	learning	LS4	h108_p13_i_up_right.jpg	97
2013.025	1.136	correct	learning	LS4	h29_p10_i_down_right.jpg	97
2059.89	1.531	correct	learning	LS4	h22_p33_i_down_right.jpg	97
2106.755	0.951	correct	learning	LS4	h108_p27_k_up_left.jpg	98
2153.621	0.996	correct	learning	LS4	h22_p21_k_down_left.jpg	98
2200.319	1.296	correct	learning	LS4	h35_p50_k_down_right.jpg	98
2472.672	2.38	correct	control	LS1	h98_p20_i_up_right.jpg	97
2518.704	1.516	correct	control	LS1	h35_p50_k_down_right.jpg	97
2564.735	1.053	incorrect	control	LS1	h120_p12_k_up_right.jpg	98
2610.767	2.187	correct	control	LS1	h33_p11_k_down_right.jpg	97
2656.798	1.659	correct	control	LS1	h98_p19_k_up_right.jpg	97
2702.83	1.067	correct	control	LS1	h18_p7_k_down_right.jpg	97
2748.861	0.587	correct	control	LS1	h35_p31_i_down_right.jpg	97
2794.893	0.395	correct	control	LS1	h18_p47_i_down_right.jpg	97
2840.924	0.57	correct	control	LS1	h120_p21_i_up_right.jpg	97
2886.956	0.873	correct	control	LS1	h33_p15_i_down_left.jpg	98
2978.185	1.02	correct	control	LS2	h35_p50_k_down_right.jpg	97
3024.216	0.908	incorrect	control	LS2	h120_p12_k_up_right.jpg	98
3070.248	1.45	correct	control	LS2	h98_p47_i_up_left.jpg	98
3116.279	1.785	correct	control	LS2	h18_p7_k_down_right.jpg	97
3162.311	1.178	correct	control	LS2	h98_p19_k_up_right.jpg	97
3208.342	1.065	correct	control	LS2	h33_p33_i_down_right.jpg	97
3254.374	0.664	correct	control	LS2	h33_p11_k_down_right.jpg	97
3300.405	0.664	correct	control	LS2	h120_p37_i_up_right.jpg	97
3346.437	0.711	correct	control	LS2	h35_p43_i_down_left.jpg	98
3392.468	0.758	correct	control	LS2	h18_p49_i_down_right.jpg	97
3483.697	1.128	correct	control	LS3	h98_p19_k_up_right.jpg	97
3529.729	0.696	correct	control	LS3	h18_p47_i_down_right.jpg	97
3575.76	0.967	correct	control	LS3	h35_p50_k_down_right.jpg	97
3621.792	0.423	correct	control	LS3	h33_p15_i_down_left.jpg	98
3667.823	0.758	correct	control	LS3	h33_p11_k_down_right.jpg	97
3713.855	1.78	correct	control	LS3	h120_p12_k_up_right.jpg	97
3759.886	0.789	correct	control	LS3	h120_p21_i_up_right.jpg	97
3805.918	0.469	correct	control	LS3	h35_p31_i_down_right.jpg	97
3851.949	0.5	correct	control	LS3	h98_p20_i_up_right.jpg	97
3897.98	0.532	correct	control	LS3	h18_p7_k_down_right.jpg	97
3989.21	0.614	correct	control	LS4	h98_p19_k_up_right.jpg	97
4035.408	0.741	correct	control	LS4	h35_p43_i_down_left.jpg	98
4081.439	1.22	incorrect	control	LS4	h120_p12_k_up_right.jpg	98
4127.471	0.98	correct	control	LS4	h33_p11_k_down_right.jpg	97
4173.502	0.93	correct	control	LS4	h18_p49_i_down_right.jpg	97
4219.534	0.61	correct	control	LS4	h18_p7_k_down_right.jpg	97
4265.565	0.706	correct	control	LS4	h98_p47_i_up_left.jpg	98
4311.597	0.864	correct	control	LS4	h120_p37_i_up_right.jpg	97
4357.628	0.784	correct	control	LS4	h33_p33_i_down_right.jpg	97
4403.66	0.624	correct	control	LS4	h35_p50_k_down_right.jpg	97
4675.345	0.784	incorrect	learning	LS1	h42_p5_k_down_left.jpg	97
4722.211	0.812	correct	learning	LS1	h25_p14_k_down_left.jpg	98
4768.909	0.601	incorrect	learning	LS1	h42_p34_i_down_left.jpg	98
4816.275	0.61	correct	learning	LS1	h83_p29_k_up_right.jpg	98
4862.974	0.879	correct	learning	LS1	h116_p28_k_up_right.jpg	98
4909.839	0.827	incorrect	learning	LS1	h53_p35_i_down_left.jpg	98
4956.705	1.526	correct	learning	LS1	h25_p31_i_down_right.jpg	97
5003.57	1.394	correct	learning	LS1	h83_p49_i_up_left.jpg	97
5050.269	1.07	correct	learning	LS1	h116_p21_i_up_right.jpg	97
5097.134	1.45	incorrect	learning	LS1	h53_p33_k_down_right.jpg	97
5189.03	1.689	incorrect	learning	LS2	h25_p14_k_down_left.jpg	97
5235.729	1.254	correct	learning	LS2	h42_p10_i_down_right.jpg	97
5282.427	1.092	correct	learning	LS2	h53_p33_k_down_right.jpg	98
5329.293	1.008	incorrect	learning	LS2	h83_p34_i_up_right.jpg	98
5376.158	1.532	correct	learning	LS2	h25_p12_i_down_left.jpg	97
5422.857	1.161	correct	learning	LS2	h116_p11_i_up_left.jpg	97
5469.555	1.333	incorrect	learning	LS2	h83_p29_k_up_right.jpg	97
5516.421	1.089	correct	learning	LS2	h53_p25_i_down_right.jpg	97
5562.953	1.135	correct	learning	LS2	h42_p5_k_down_left.jpg	98
5609.818	0.971	correct	learning	LS2	h116_p28_k_up_right.jpg	98
5701.714	0.923	correct	learning	LS3	h116_p28_k_up_right.jpg	98
5748.413	1.383	incorrect	learning	LS3	h83_p49_i_up_left.jpg	98
5795.278	1.491	correct	learning	LS3	h25_p14_k_down_left.jpg	98
5842.143	1.87	correct	learning	LS3	h53_p35_i_down_left.jpg	97
5888.842	0.781	correct	learning	LS3	h42_p5_k_down_left.jpg	98
5935.707	1.448	incorrect	learning	LS3	h83_p29_k_up_right.jpg	97
5982.406	2.1	correct	learning	LS3	h53_p33_k_down_right.jpg	98
6029.271	0.994	correct	learning	LS3	h42_p34_i_down_left.jpg	97
6076.137	1.437	correct	learning	LS3	h25_p31_i_down_right.jpg	97
6122.835	1.194	correct	learning	LS3	h116_p21_i_up_right.jpg	97
6214.565	1.29	correct	learning	LS4	h53_p25_i_down_right.jpg	97
6261.263	1.559	incorrect	learning	LS4	h25_p14_k_down_left.jpg	97
