trial_index	trial_type	block_number	block_type	is_practice	n_left_clicks	go_first_left_inside	go_first_left_rt	parse_failed_time	parse_failed_xy	parse_failed_buttons	mismatched_lengths	any_rb_nonzero	any_mb_nonzero	any_click	any_left	any_right	nogo_stop_time	nogo_stopped	nogo_outcome	nogo_parse_failed	rt_combined	accuracy
1	go	1	go_only	1	1	1	0.658643	0	0	0	0	0	0	1	1	0	0.491951	1	stopped_early	0	0.658643	1
2	go	1	go_only	1	1	1	0.559859	0	0	0	0	0	0	1	1	0	0.359751	1	stopped_early	0	0.559859	1
3	go	1	go_only	1	1	1	0.659203	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.659203	1
4	go	1	go_only	1	1	1	0.592866	0	0	0	0	0	0	1	1	0	0.276008	1	stopped_early	0	0.592866	1
5	go	1	go_only	1	1	1	0.543700	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.543700	1
6	go	1	go_only	1	1	1	0.493018	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.493018	1
7	go	1	go_only	1	1	1	0.544073	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.544073	1
8	go	1	go_only	1	1	1	0.510295	0	0	0	0	0	0	1	1	0	0.243659	1	stopped_early	0	0.510295	1
9	go	1	go_only	1	1	1	0.462403	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.462403	1
10	go	1	go_only	1	1	1	0.662173	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.662173	1
11	go	1	go_only	1	1	1	0.578128	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.578128	1
12	go	1	go_only	1	1	1	0.643872	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.643872	1
13	go	1	go_only	1	1	1	0.461658	0	0	0	0	0	0	1	1	0	0.261100	1	stopped_early	0	0.461658	1
14	go	1	go_only	1	1	1	0.495424	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.495424	1
15	go	1	go_only	1	1	1	0.576957	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.576957	1
16	go	1	go_only	1	1	1	0.596438	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.596438	1
17	go	1	go_only	1	1	1	0.427938	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.427938	1
18	go	1	go_only	1	1	1	0.409549	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.409549	1
19	go	2	go_nogo_prac	1	1	1	0.461128	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.461128	1
20	go	2	go_nogo_prac	1	1	1	0.627635	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.627635	1
21	go	2	go_nogo_prac	1	1	1	0.526040	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.526040	1
22	go	2	go_nogo_prac	1	1	1	0.544830	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.544830	1
23	nogo	2	go_nogo_prac	1	0	0	n/a	0	0	0	0	0	0	0	0	0	0.476648	1	stopped_early	0	0.476648	1
24	go	2	go_nogo_prac	1	1	1	0.444846	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.444846	1
25	go	2	go_nogo_prac	1	1	1	0.394456	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.394456	1
26	nogo	2	go_nogo_prac	1	0	0	n/a	0	0	0	0	0	0	0	0	0	0.411743	1	stopped_early	0	0.411743	1
27	nogo	2	go_nogo_prac	1	0	0	n/a	0	0	0	0	0	0	0	0	0	0.427186	1	stopped_near_deadline	0	0.427186	1
28	go	2	go_nogo_prac	1	2	0	0.427647	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	n/a	0
29	go	2	go_nogo_prac	1	0	0	n/a	0	0	0	0	0	0	0	0	0	0.260359	1	stopped_near_deadline	0	n/a	0
30	go	2	go_nogo_prac	1	1	1	0.527369	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.527369	1
31	go	2	go_nogo_prac	1	1	1	0.428640	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.428640	1
32	go	2	go_nogo_prac	1	1	1	0.492541	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.492541	1
33	go	2	go_nogo_prac	1	1	1	0.678053	0	0	0	0	0	0	1	1	0	0.244592	1	stopped_early	0	0.678053	1
34	go	2	go_nogo_prac	1	1	1	0.478080	0	0	0	0	0	0	1	1	0	0.244424	1	stopped_early	0	0.478080	1
35	nogo	2	go_nogo_prac	1	0	0	n/a	0	0	0	0	0	0	0	0	0	0.242766	1	stopped_early	0	0.242766	1
36	go	2	go_nogo_prac	1	1	1	0.411112	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.411112	1
37	go	3	go_only	0	1	1	0.443988	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.443988	1
38	go	3	go_only	0	1	1	0.476551	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.476551	1
39	go	3	go_only	0	1	1	0.510718	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.510718	1
40	go	3	go_only	0	1	1	0.393956	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.393956	1
41	go	3	go_only	0	1	1	0.462028	0	0	0	0	0	0	1	1	0	0.209889	1	stopped_early	0	0.462028	1
42	go	3	go_only	0	1	1	0.494621	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.494621	1
43	go	3	go_only	0	1	1	0.561068	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.561068	1
44	go	3	go_only	0	1	1	0.378140	0	0	0	0	0	0	1	1	0	0.227978	1	stopped_early	0	0.378140	1
45	go	3	go_only	0	1	1	0.360523	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.360523	1
46	go	3	go_only	0	1	1	0.511292	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.511292	1
47	go	3	go_only	0	1	1	0.493232	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.493232	1
48	go	3	go_only	0	1	1	0.495182	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.495182	1
49	go	3	go_only	0	1	1	0.377164	0	0	0	0	0	0	1	1	0	0.210063	1	stopped_early	0	0.377164	1
50	go	3	go_only	0	1	1	0.528043	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.528043	1
51	go	3	go_only	0	1	1	0.430183	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.430183	1
52	go	3	go_only	0	1	1	0.544185	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.544185	1
53	go	3	go_only	0	1	1	0.511977	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.511977	1
54	go	3	go_only	0	1	1	0.328540	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.328540	1
55	go	4	go_nogo	0	1	1	0.493755	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.493755	1
56	nogo	4	go_nogo	0	0	0	n/a	0	0	0	0	0	0	0	0	0	0.358857	1	stopped_early	0	0.358857	1
57	go	4	go_nogo	0	1	1	0.462754	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.462754	1
58	go	4	go_nogo	0	1	1	0.345141	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.345141	1
59	go	4	go_nogo	0	1	1	0.361632	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.361632	1
60	go	4	go_nogo	0	1	1	0.342851	0	0	0	0	0	0	1	1	0	0.192755	1	stopped_early	0	0.342851	1
61	nogo	4	go_nogo	0	0	0	n/a	0	0	0	0	0	0	0	0	0	0.411403	1	stopped_early	0	0.411403	1
62	go	4	go_nogo	0	1	1	0.409690	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.409690	1
63	go	4	go_nogo	0	1	1	0.544576	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.544576	1
64	nogo	4	go_nogo	0	0	0	n/a	0	0	0	0	0	0	0	0	0	0.360446	1	stopped_early	0	0.360446	1
65	go	4	go_nogo	0	1	1	0.461724	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.461724	1
66	go	4	go_nogo	0	1	1	0.459855	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.459855	1
67	go	4	go_nogo	0	1	1	0.410198	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.410198	1
68	go	4	go_nogo	0	1	1	0.379419	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.379419	1
69	go	4	go_nogo	0	1	1	0.393128	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.393128	1
70	go	4	go_nogo	0	1	1	0.443645	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.443645	1
71	go	4	go_nogo	0	1	1	0.609954	0	0	0	0	0	0	1	1	0	0.243568	1	stopped_early	0	0.609954	1
72	go	4	go_nogo	0	2	0	0.446362	0	0	0	0	0	0	1	1	0	0.246150	1	stopped_early	0	n/a	0
73	nogo	4	go_nogo	0	0	0	n/a	0	0	0	0	0	0	0	0	0	0.393604	1	stopped_early	0	0.393604	1
74	go	4	go_nogo	0	1	1	0.345031	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.345031	1
75	go	4	go_nogo	0	1	1	0.493562	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.493562	1
76	go	4	go_nogo	0	1	1	0.526763	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.526763	1
77	go	4	go_nogo	0	1	1	0.361400	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.361400	1
78	nogo	4	go_nogo	0	0	0	n/a	0	0	0	0	0	0	0	0	0	0.310853	1	stopped_early	0	0.310853	1
79	go	4	go_nogo	0	1	1	0.445362	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.445362	1
80	go	4	go_nogo	0	1	1	0.378750	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.378750	1
81	go	4	go_nogo	0	1	1	0.410174	0	0	0	0	0	0	1	1	0	0.159941	1	stopped_early	0	0.410174	1
82	go	4	go_nogo	0	1	1	0.377234	0	0	0	0	0	0	1	1	0	0.226875	1	stopped_early	0	0.377234	1
83	nogo	4	go_nogo	0	0	0	n/a	0	0	0	0	0	0	0	0	0	0.473177	1	stopped_early	0	0.473177	1
84	go	4	go_nogo	0	1	1	0.444954	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.444954	1
85	go	4	go_nogo	0	1	1	0.461905	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.461905	1
86	go	4	go_nogo	0	1	1	0.379196	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.379196	1
87	go	4	go_nogo	0	1	1	0.344646	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.344646	1
88	go	4	go_nogo	0	1	1	0.359256	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.359256	1
89	go	4	go_nogo	0	1	1	0.362172	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.362172	1
90	nogo	4	go_nogo	0	0	0	n/a	0	0	0	0	0	0	0	0	0	0.309665	1	stopped_early	0	0.309665	1
91	go	4	go_nogo	0	1	1	0.445118	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.445118	1
92	go	4	go_nogo	0	1	1	0.394960	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.394960	1
93	go	4	go_nogo	0	1	1	0.477229	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.477229	1
94	go	4	go_nogo	0	1	1	0.445583	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.445583	1
95	nogo	4	go_nogo	0	0	0	n/a	0	0	0	0	0	0	0	0	0	0.460872	1	stopped_early	0	0.460872	1
96	go	4	go_nogo	0	1	1	0.361516	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.361516	1
97	nogo	4	go_nogo	0	0	0	n/a	0	0	0	0	0	0	0	0	0	0.360646	1	stopped_early	0	0.360646	1
98	go	4	go_nogo	0	1	1	0.395755	0	0	0	0	0	0	1	1	0	0.228536	1	stopped_early	0	0.395755	1
99	go	4	go_nogo	0	1	1	0.577216	0	0	0	0	0	0	1	1	0	0.376808	1	stopped_early	0	0.577216	1
100	go	4	go_nogo	0	1	1	0.562054	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.562054	1
101	go	4	go_nogo	0	1	1	0.593688	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.593688	1
102	go	4	go_nogo	0	1	1	0.442586	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.442586	1
103	nogo	4	go_nogo	0	0	0	n/a	0	0	0	0	0	0	0	0	0	0.393516	1	stopped_early	0	0.393516	1
104	go	4	go_nogo	0	1	1	0.462057	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.462057	1
105	go	4	go_nogo	0	1	1	0.410844	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.410844	1
