trial_index	trial_type	block_number	response_time_ms
55	go	4	542.432
56	nogo	4	361.589
57	go	4	544.063
58	nogo	4	444.638
59	go	4	543.740
60	go	4	544.569
61	go	4	527.947
62	go	4	579.196
63	go	4	562.087
64	go	4	526.403
65	go	4	512.193
66	go	4	611.186
67	go	4	562.266
68	go	4	412.934
69	nogo	4	228.258
70	go	4	778.654
71	go	4	676.853
72	nogo	4	179.203
73	go	4	411.227
74	go	4	693.975
75	go	4	693.842
76	go	4	442.588
77	nogo	4	228.243
78	go	4	478.469
79	go	4	462.563
80	go	4	396.410
81	go	4	561.251
82	go	4	495.384
83	go	4	410.444
84	go	4	596.041
85	go	4	512.247
86	go	4	594.885
87	go	4	460.733
88	go	4	445.565
89	go	4	628.536
90	go	4	428.967
91	nogo	4	393.614
92	go	4	576.982
93	go	4	476.095
94	nogo	4	409.589
95	go	4	561.726
96	nogo	4	410.715
97	go	4	661.509
98	go	4	494.373
99	go	4	n/a
100	nogo	4	293.932
101	go	4	578.226
102	nogo	4	342.587
103	go	4	662.408
104	go	4	527.907
105	go	4	627.941
106	go	4	929.528
107	nogo	4	426.873
108	go	4	578.185
109	go	4	477.820
110	nogo	4	378.392
111	go	4	795.695
112	go	4	612.190
113	go	4	477.579
114	go	4	710.813
115	go	5	576.592
116	go	5	612.741
117	go	5	560.566
118	go	5	595.275
119	go	5	477.094
120	nogo	5	344.579
121	go	5	711.206
122	go	5	459.906
123	go	5	511.202
124	nogo	5	376.596
125	go	5	511.727
126	go	5	628.698
127	go	5	596.065
128	go	5	794.385
129	go	5	543.772
130	go	5	627.804
131	nogo	5	444.870
132	go	5	545.082
133	nogo	5	362.218
134	go	5	595.768
135	nogo	5	361.402
136	go	5	560.698
137	go	5	410.721
138	go	5	611.926
139	go	5	n/a
140	nogo	5	444.609
141	go	5	528.290
142	nogo	5	211.509
143	go	5	543.442
144	nogo	5	444.767
145	go	5	627.312
146	go	5	429.609
147	go	5	727.987
148	nogo	5	226.929
149	go	5	577.589
150	go	5	526.229
151	nogo	5	210.198
152	go	5	511.213
153	go	5	511.895
154	go	5	629.174
155	nogo	5	378.219
156	go	5	760.632
157	go	5	612.110
158	go	5	546.316
159	go	5	509.498
160	go	5	460.920
161	go	5	576.873
162	go	5	544.287
163	go	5	494.241
164	go	5	445.612
165	nogo	5	494.490
166	go	5	561.830
167	go	5	596.198
168	go	5	610.723
169	go	5	544.541
170	go	5	495.499
171	go	5	545.822
172	go	5	560.895
173	go	5	543.866
174	go	5	528.839
193	go	7	495.185
194	nogo	7	244.891
195	go	7	677.339
196	go	7	760.911
197	go	7	528.149
198	go	7	427.732
199	go	7	445.159
200	nogo	7	344.106
201	go	7	462.346
202	nogo	7	244.493
203	go	7	443.017
204	go	7	776.879
