onset	duration	trial_type	condition	block	trial	difficulty_level	expression	correct_answer	user_answer	response_time_ms	is_correct	is_timeout
0.0	2.37	FLOW_B	B	1	1	1	6 + 102	108	208.0	2370.0	0	0
6.424	2.41	FLOW_B	B	1	2	1	2 + 101	103	103.0	2410.0	1	0
12.848	1.774	FLOW_B	B	1	3	1	104 + 4	108	108.0	1774.0	1	0
18.635	1.92	FLOW_B	B	1	4	1	9 + 109	118	118.0	1920.3	1	0
24.564	1.761	FLOW_B	B	1	5	1	7 + 109	116	116.0	1760.8	1	0
30.34	1.862	FLOW_B	B	1	6	1	1 + 103	104	104.0	1862.5	1	0
36.219	2.144	FLOW_B	B	1	7	1	2 + 103	105	105.0	2144.4	1	0
42.369	2.126	FLOW_B	B	1	8	1	6 + 101	107	107.0	2125.7	1	0
48.498	2.609	FLOW_B	B	1	9	1	1 + 104	105	105.0	2609.2	1	0
55.117	2.189	FLOW_B	B	1	10	1	8 + 106	114	114.0	2189.3	1	0
61.316	1.36	FLOW_B	B	1	11	1	106 + 8	114	114.0	1360.2	1	0
66.69	1.604	FLOW_B	B	1	12	1	106 + 3	109	109.0	1603.6	1	0
72.303	1.708	FLOW_B	B	1	13	1	100 + 8	108	108.0	1708.1	1	0
78.021	1.363	FLOW_B	B	1	14	1	109 + 4	113	113.0	1363.0	1	0
83.431	1.51	FLOW_B	B	1	15	1	5 + 105	110	110.0	1510.3	1	0
88.991	1.704	FLOW_B	B	1	16	1	8 + 101	109	109.0	1703.6	1	0
94.701	1.226	FLOW_B	B	1	17	1	108 + 6	114	114.0	1226.2	1	0
99.939	3.814	FLOW_B	B	1	18	1	108 + 9	117	117.0	3814.0	1	0
107.798	2.312	FLOW_B	B	1	19	1	104 + 1	105	105.0	2312.0	1	0
114.163	1.68	FLOW_B	B	1	20	1	9 + 107	116	116.0	1680.4	1	0
119.884	2.016	FLOW_B	B	1	21	1	2 + 103	105	105.0	2016.4	1	0
125.905	2.88	FLOW_B	B	1	22	1	7 + 106	113	113.0	2880.0	1	0
132.798	2.151	FLOW_B	B	1	23	1	3 + 108	111	111.0	2151.1	1	0
138.968	1.401	FLOW_B	B	1	24	1	109 + 8	117	117.0	1400.7	1	0
144.417	1.696	FLOW_B	B	1	25	1	2 + 107	109	109.0	1695.8	1	0
150.149	1.825	FLOW_B	B	1	26	1	1 + 109	110	110.0	1825.4	1	0
156.026	1.731	FLOW_B	B	1	27	1	100 + 3	103	103.0	1730.7	1	0
161.803	1.704	FLOW_B	B	1	28	1	5 + 109	114	114.0	1704.3	1	0
167.548	2.109	FLOW_B	B	1	29	1	1 + 102	103	103.0	2108.7	1	0
210.97	18.02	FLOW_O	O	2	1	10	28 + 75 + 85 + 55 + 101 + 67	411	n/a	18019.5	0	1
233.04	14.602	FLOW_O	O	2	2	10	50 + 100 + 92 + 89 + 49 + 55	435	445.0	14601.5	0	0
251.696	16.145	FLOW_O	O	2	3	10	32 + 15 + 24 + 109 + 62 + 80	322	435.0	16145.1	0	0
271.852	18.022	FLOW_O	O	2	4	10	65 + 65 + 98 + 106 + 75 + 89	498	n/a	18021.9	0	1
293.879	16.71	FLOW_O	O	2	5	10	22 + 75 + 108 + 49 + 92 + 14	360	360.0	16710.1	1	0
314.638	16.867	FLOW_O	O	2	6	10	36 + 33 + 17 + 16 + 102 + 78	282	286.0	16867.0	0	0
335.511	17.512	FLOW_O	O	2	7	10	59 + 89 + 79 + 41 + 82 + 105	455	340.0	17512.1	0	0
357.025	17.911	FLOW_O	O	2	8	10	105 + 86 + 93 + 53 + 87 + 70	494	423.0	17911.4	0	0
378.989	1.989	FLOW_O	O	2	9	10	44 + 69 + 77 + 102 + 34 + 49	375	n/a	1989.2	0	1
421.037	11.35	FLOW_F	F	3	1	7	60 + 14 + 8 + 85 + 102	269	249.0	11350.4	0	0
436.424	15.095	FLOW_F	F	3	2	7	30 + 98 + 108 + 31 + 9	276	276.0	15094.8	1	0
455.534	7.775	FLOW_F	F	3	3	7	16 + 85 + 6 + 17 + 104	228	228.0	7774.7	1	0
467.327	7.236	FLOW_F	F	3	4	8	101 + 41 + 22 + 51 + 99	314	314.0	7235.8	1	0
478.581	17.534	FLOW_F	F	3	5	8	105 + 18 + 95 + 89 + 77	384	284.0	17534.3	0	0
500.166	12.617	FLOW_F	F	3	6	8	29 + 43 + 19 + 31 + 104	226	226.0	12617.4	1	0
516.796	18.022	FLOW_F	F	3	7	8	65 + 91 + 93 + 108 + 31	388	n/a	18021.7	0	1
538.871	17.465	FLOW_F	F	3	8	8	76 + 16 + 83 + 100 + 45	320	322.0	17464.6	0	0
