onset	duration	trial_type	condition	block	trial	difficulty_level	expression	correct_answer	user_answer	response_time_ms	is_correct	is_timeout
0.0	2.788	FLOW_B	B	1	1	1	104 + 1	105	105.0	2787.7	1	0
6.795	1.883	FLOW_B	B	1	2	1	6 + 106	112	112.0	1883.0	1	0
12.732	1.67	FLOW_B	B	1	3	1	107 + 7	114	114.0	1669.5	1	0
18.434	2.102	FLOW_B	B	1	4	1	106 + 5	111	111.0	2102.3	1	0
24.553	2.257	FLOW_B	B	1	5	1	1 + 104	105	105.0	2256.9	1	0
30.835	1.881	FLOW_B	B	1	6	1	4 + 107	111	111.0	1880.6	1	0
36.771	1.537	FLOW_B	B	1	7	1	9 + 103	112	112.0	1536.8	1	0
42.314	1.769	FLOW_B	B	1	8	1	102 + 9	111	111.0	1768.6	1	0
48.085	2.502	FLOW_B	B	1	9	1	9 + 107	116	116.0	2501.5	1	0
54.597	2.366	FLOW_B	B	1	10	1	101 + 5	106	106.0	2366.1	1	0
60.97	2.138	FLOW_B	B	1	11	1	108 + 1	109	109.0	2137.7	1	0
67.114	1.619	FLOW_B	B	1	12	1	106 + 4	110	110.0	1619.0	1	0
72.742	1.951	FLOW_B	B	1	13	1	7 + 103	110	110.0	1951.4	1	0
78.694	1.69	FLOW_B	B	1	14	1	104 + 1	105	105.0	1690.0	1	0
84.387	3.212	FLOW_B	B	1	15	1	9 + 109	118	118.0	3212.4	1	0
91.602	1.912	FLOW_B	B	1	16	1	104 + 2	106	106.0	1911.6	1	0
97.515	1.953	FLOW_B	B	1	17	1	104 + 5	109	109.0	1953.3	1	0
103.473	1.986	FLOW_B	B	1	18	1	5 + 100	105	105.0	1985.5	1	0
109.463	3.928	FLOW_B	B	1	19	1	108 + 6	114	114.0	3928.1	1	0
117.392	2.241	FLOW_B	B	1	20	1	6 + 106	112	112.0	2241.0	1	0
123.634	1.943	FLOW_B	B	1	21	1	107 + 6	113	113.0	1942.7	1	0
129.631	2.737	FLOW_B	B	1	22	1	101 + 6	107	107.0	2737.3	1	0
136.374	1.994	FLOW_B	B	1	23	1	104 + 2	106	106.0	1993.9	1	0
142.368	1.82	FLOW_B	B	1	24	1	6 + 100	106	106.0	1819.6	1	0
148.191	1.508	FLOW_B	B	1	25	1	5 + 107	112	112.0	1508.4	1	0
153.703	2.003	FLOW_B	B	1	26	1	1 + 107	108	108.0	2003.2	1	0
159.76	1.689	FLOW_B	B	1	27	1	2 + 106	108	108.0	1689.4	1	0
165.449	1.831	FLOW_B	B	1	28	1	4 + 102	106	106.0	1831.0	1	0
206.281	16.805	FLOW_F	F	2	1	6	109 + 64 + 91 + 53	317	237.0	16805.4	0	0
227.087	11.274	FLOW_F	F	2	2	6	106 + 48 + 40 + 89	283	283.0	11273.8	1	0
242.362	9.841	FLOW_F	F	2	3	6	99 + 105 + 71 + 27	302	302.0	9841.3	1	0
256.255	7.447	FLOW_F	F	2	4	7	40 + 1 + 30 + 69 + 100	240	240.0	7446.6	1	0
267.707	14.994	FLOW_F	F	2	5	7	27 + 104 + 1 + 56 + 69	257	257.0	14994.4	1	0
286.713	13.972	FLOW_F	F	2	6	8	27 + 34 + 101 + 39 + 53	254	254.0	13972.1	1	0
304.69	18.008	FLOW_F	F	2	7	8	53 + 90 + 32 + 42 + 104	321	n/a	18008.0	0	1
326.708	17.88	FLOW_F	F	2	8	8	43 + 53 + 79 + 84 + 103	362	362.0	17880.4	1	0
348.602	18.008	FLOW_F	F	2	9	8	97 + 20 + 21 + 108 + 66	312	n/a	18008.1	0	1
370.617	5.674	FLOW_F	F	2	10	8	100 + 92 + 25 + 54 + 92	363	n/a	5673.7	0	1
412.725	16.456	FLOW_O	O	3	1	9	6 + 105 + 17 + 43 + 33 + 52	256	256.0	16456.5	1	0
433.228	16.758	FLOW_O	O	3	2	9	24 + 1 + 109 + 46 + 17 + 11	208	208.0	16758.3	1	0
454.041	18.012	FLOW_O	O	3	3	10	108 + 88 + 15 + 69 + 34 + 55	369	n/a	18012.1	0	1
476.059	18.008	FLOW_O	O	3	4	10	53 + 109 + 44 + 89 + 82 + 99	476	n/a	18008.2	0	1
498.111	15.995	FLOW_O	O	3	5	9	88 + 18 + 12 + 105 + 1 + 48	272	272.0	15995.1	1	0
518.151	14.647	FLOW_O	O	3	6	9	94 + 13 + 3 + 87 + 103 + 13	313	315.0	14646.7	0	0
536.845	13.592	FLOW_O	O	3	7	9	9 + 20 + 102 + 44 + 21 + 80	276	276.0	13591.9	1	0
554.472	14.711	FLOW_O	O	3	8	9	34 + 50 + 3 + 45 + 13 + 109	254	254.0	14711.2	1	0
573.186	9.549	FLOW_O	O	3	9	10	29 + 82 + 102 + 43 + 46 + 97	399	n/a	9549.2	0	1
614.998	3.438	FLOW_B	B	4	1	1	106 + 1	107	117.0	3438.3	0	0
622.483	2.184	FLOW_B	B	4	2	1	4 + 100	104	104.0	2183.6	1	0
628.716	1.486	FLOW_B	B	4	3	1	107 + 6	113	113.0	1485.7	1	0
634.253	1.928	FLOW_B	B	4	4	1	104 + 1	105	105.0	1927.8	1	0
