onset	duration	accuracy_binary	trial_type	learning_stage	stimulus	coherence
0.000	10.554	0	learning	LS1	PICTURE_68.jpg	i
10.554	10.786	1	learning	LS1	PICTURE_71.jpg	i
21.340	10.866	0	learning	LS1	PICTURE_74.jpg	i
32.206	9.813	0	learning	LS1	PICTURE_72.jpg	c
42.019	10.672	1	learning	LS1	PICTURE_74.jpg	c
52.691	10.892	0	learning	LS1	PICTURE_67.jpg	c
63.583	9.512	1	learning	LS1	PICTURE_68.jpg	c
73.095	9.410	1	learning	LS1	PICTURE_67.jpg	i
82.505	9.790	1	learning	LS1	PICTURE_71.jpg	c
92.295	10.815	1	learning	LS1	PICTURE_72.jpg	i
103.110	11.622	1	learning	LS2	PICTURE_67.jpg	i
114.732	8.813	1	learning	LS2	PICTURE_74.jpg	c
123.545	11.922	1	learning	LS2	PICTURE_72.jpg	i
135.467	14.394	0	learning	LS2	PICTURE_68.jpg	i
149.861	11.108	0	learning	LS2	PICTURE_72.jpg	c
160.969	10.222	1	learning	LS2	PICTURE_74.jpg	i
171.191	9.336	1	learning	LS2	PICTURE_71.jpg	i
180.527	8.296	1	learning	LS2	PICTURE_68.jpg	c
188.823	9.495	1	learning	LS2	PICTURE_71.jpg	c
198.318	11.168	1	learning	LS2	PICTURE_67.jpg	c
209.486	8.148	1	learning	LS3	PICTURE_71.jpg	c
217.634	8.062	1	learning	LS3	PICTURE_67.jpg	i
225.696	7.981	1	learning	LS3	PICTURE_72.jpg	i
233.677	13.819	0	learning	LS3	PICTURE_67.jpg	c
247.496	18.211	0	learning	LS3	PICTURE_72.jpg	c
265.707	6.936	1	learning	LS3	PICTURE_68.jpg	c
272.643	7.635	1	learning	LS3	PICTURE_74.jpg	i
280.278	8.334	1	learning	LS3	PICTURE_71.jpg	i
288.612	8.393	1	learning	LS3	PICTURE_68.jpg	i
297.005	7.173	1	learning	LS3	PICTURE_74.jpg	c
304.178	11.005	1	learning	LS4	PICTURE_68.jpg	i
315.183	8.666	1	learning	LS4	PICTURE_72.jpg	i
323.849	8.738	0	learning	LS4	PICTURE_74.jpg	i
332.587	13.769	1	learning	LS4	PICTURE_72.jpg	c
346.356	7.444	1	learning	LS4	PICTURE_67.jpg	c
353.800	7.358	1	learning	LS4	PICTURE_71.jpg	i
361.158	6.791	1	learning	LS4	PICTURE_74.jpg	c
367.949	7.344	1	learning	LS4	PICTURE_68.jpg	c
375.293	8.382	1	learning	LS4	PICTURE_67.jpg	i
383.675	10.374	1	learning	LS4	PICTURE_71.jpg	c
394.049	9.188	1	learning	LS1	PICTURE_100.jpg	i
403.237	14.225	0	learning	LS1	PICTURE_32.jpg	i
417.462	9.506	0	learning	LS1	PICTURE_97.jpg	i
426.968	11.346	1	learning	LS1	PICTURE_267.jpg	c
438.314	11.586	1	learning	LS1	PICTURE_100.jpg	c
449.900	8.128	1	learning	LS1	PICTURE_32.jpg	c
458.028	8.987	1	learning	LS1	PICTURE_77.jpg	i
467.015	9.207	1	learning	LS1	PICTURE_267.jpg	i
476.222	9.426	1	learning	LS1	PICTURE_97.jpg	c
485.648	10.445	0	learning	LS1	PICTURE_77.jpg	c
496.093	10.454	1	learning	LS2	PICTURE_100.jpg	i
506.547	9.727	1	learning	LS2	PICTURE_97.jpg	i
516.274	8.521	1	learning	LS2	PICTURE_267.jpg	c
524.795	8.754	1	learning	LS2	PICTURE_32.jpg	i
533.549	8.827	1	learning	LS2	PICTURE_97.jpg	c
542.376	10.499	1	learning	LS2	PICTURE_100.jpg	c
552.875	10.093	1	learning	LS2	PICTURE_77.jpg	i
562.968	8.567	1	learning	LS2	PICTURE_32.jpg	c
571.535	9.127	1	learning	LS2	PICTURE_267.jpg	i
580.662	9.686	1	learning	LS2	PICTURE_77.jpg	c
590.348	9.066	1	learning	LS3	PICTURE_77.jpg	c
599.414	9.459	1	learning	LS3	PICTURE_267.jpg	c
608.873	7.460	1	learning	LS3	PICTURE_77.jpg	i
616.333	8.339	1	learning	LS3	PICTURE_97.jpg	c
624.672	6.980	0	learning	LS3	PICTURE_32.jpg	c
631.652	8.340	1	learning	LS3	PICTURE_267.jpg	i
639.992	8.579	1	learning	LS3	PICTURE_97.jpg	i
648.571	9.771	1	learning	LS3	PICTURE_100.jpg	c
658.342	9.025	1	learning	LS3	PICTURE_32.jpg	i
667.367	9.084	1	learning	LS3	PICTURE_100.jpg	i
676.451	8.757	1	learning	LS4	PICTURE_32.jpg	c
685.208	6.584	1	learning	LS4	PICTURE_97.jpg	i
691.792	8.249	1	learning	LS4	PICTURE_77.jpg	c
700.041	8.795	1	learning	LS4	PICTURE_267.jpg	i
708.836	8.869	1	learning	LS4	PICTURE_100.jpg	c
717.705	9.261	1	learning	LS4	PICTURE_267.jpg	c
726.966	9.493	1	learning	LS4	PICTURE_97.jpg	c
736.459	9.087	1	learning	LS4	PICTURE_77.jpg	i
745.546	10.439	1	learning	LS4	PICTURE_32.jpg	i
755.985	9.232	1	learning	LS4	PICTURE_100.jpg	i
765.217	9.646	0	learning	LS1	PICTURE_224.jpg	i
774.863	11.006	0	learning	LS1	PICTURE_42.jpg	c
785.869	8.366	1	learning	LS1	PICTURE_224.jpg	c
794.235	6.846	0	learning	LS1	PICTURE_414.jpg	i
801.081	9.805	0	learning	LS1	PICTURE_566.jpg	i
810.886	8.605	1	learning	LS1	PICTURE_203.jpg	c
819.491	10.584	1	learning	LS1	PICTURE_566.jpg	c
830.075	10.324	1	learning	LS1	PICTURE_42.jpg	i
840.399	9.264	1	learning	LS1	PICTURE_203.jpg	i
849.663	9.963	1	learning	LS1	PICTURE_414.jpg	c
859.626	6.924	1	learning	LS2	PICTURE_414.jpg	c
866.550	12.908	1	learning	LS2	PICTURE_224.jpg	c
879.458	8.342	1	learning	LS2	PICTURE_203.jpg	i
887.800	10.333	1	learning	LS2	PICTURE_42.jpg	c
898.133	8.808	1	learning	LS2	PICTURE_414.jpg	i
906.941	7.601	1	learning	LS2	PICTURE_203.jpg	c
914.542	11.033	1	learning	LS2	PICTURE_224.jpg	i
925.575	8.707	1	learning	LS2	PICTURE_566.jpg	i
934.282	8.139	1	learning	LS2	PICTURE_42.jpg	i
942.421	7.739	1	learning	LS2	PICTURE_566.jpg	c
950.160	14.476	1	learning	LS3	PICTURE_566.jpg	i
964.636	12.317	1	learning	LS3	PICTURE_414.jpg	i
976.953	9.677	1	learning	LS3	PICTURE_224.jpg	i
986.630	9.597	1	learning	LS3	PICTURE_42.jpg	i
996.227	8.237	1	learning	LS3	PICTURE_224.jpg	c
1004.464	7.838	1	learning	LS3	PICTURE_203.jpg	c
1012.302	n/a	n/a	learning	LS3	PICTURE_566.jpg	c
1037.302	17.267	0	learning	LS3	PICTURE_42.jpg	c
1054.569	8.377	1	learning	LS3	PICTURE_203.jpg	i
1062.946	11.955	1	learning	LS3	PICTURE_414.jpg	c
1074.901	10.349	1	learning	LS4	PICTURE_566.jpg	i
1085.250	6.729	1	learning	LS4	PICTURE_203.jpg	c
1091.979	10.794	1	learning	LS4	PICTURE_224.jpg	i
1102.773	7.183	1	learning	LS4	PICTURE_203.jpg	i
1109.956	8.516	1	learning	LS4	PICTURE_42.jpg	c
1118.472	9.240	1	learning	LS4	PICTURE_414.jpg	i
1127.712	7.874	1	learning	LS4	PICTURE_566.jpg	c
1135.586	8.267	1	learning	LS4	PICTURE_224.jpg	c
1143.853	8.179	1	learning	LS4	PICTURE_414.jpg	c
1152.032	7.773	1	learning	LS4	PICTURE_42.jpg	i
1159.805	10.410	1	control	LS1	PICTURE_116.jpg	c
1170.215	9.362	1	control	LS1	PICTURE_135.jpg	i
1179.577	11.834	1	control	LS1	PICTURE_491.jpg	i
1191.411	9.508	1	control	LS1	PICTURE_540.jpg	c
1200.919	9.749	1	control	LS1	PICTURE_263.jpg	c
1210.668	9.029	1	control	LS1	PICTURE_135.jpg	c
1219.697	7.990	1	control	LS1	PICTURE_263.jpg	i
1227.687	7.890	1	control	LS1	PICTURE_491.jpg	c
1235.577	8.269	1	control	LS1	PICTURE_116.jpg	i
1243.846	16.965	1	control	LS1	PICTURE_540.jpg	i
1260.811	7.842	1	control	LS2	PICTURE_540.jpg	c
1268.653	7.908	1	control	LS2	PICTURE_263.jpg	c
1276.561	8.134	1	control	LS2	PICTURE_135.jpg	i
1284.695	8.846	1	control	LS2	PICTURE_491.jpg	i
1293.541	8.439	1	control	LS2	PICTURE_540.jpg	i
1301.980	7.233	1	control	LS2	PICTURE_135.jpg	c
1309.213	8.585	1	control	LS2	PICTURE_491.jpg	c
1317.798	7.698	1	control	LS2	PICTURE_116.jpg	c
1325.496	7.611	1	control	LS2	PICTURE_263.jpg	i
1333.107	7.204	1	control	LS2	PICTURE_116.jpg	i
1340.311	7.695	1	control	LS3	PICTURE_621.jpg	i
1348.006	9.208	1	control	LS3	PICTURE_111.jpg	c
1357.214	8.801	1	control	LS3	PICTURE_234.jpg	i
1366.015	10.793	1	control	LS3	PICTURE_151.jpg	c
1376.808	9.746	1	control	LS3	PICTURE_119.jpg	c
1386.554	7.740	1	control	LS3	PICTURE_151.jpg	i
1394.294	8.139	1	control	LS3	PICTURE_621.jpg	c
1402.433	8.378	1	control	LS3	PICTURE_111.jpg	i
1410.811	10.691	1	control	LS3	PICTURE_234.jpg	c
1421.502	10.444	1	control	LS3	PICTURE_119.jpg	i
1431.946	7.551	1	control	LS4	PICTURE_111.jpg	i
1439.497	6.012	1	control	LS4	PICTURE_119.jpg	i
1445.509	7.671	1	control	LS4	PICTURE_151.jpg	i
1453.180	8.217	1	control	LS4	PICTURE_119.jpg	c
1461.397	7.803	1	control	LS4	PICTURE_621.jpg	c
1469.200	6.430	1	control	LS4	PICTURE_151.jpg	c
1475.630	7.783	1	control	LS4	PICTURE_234.jpg	i
1483.413	5.936	1	control	LS4	PICTURE_621.jpg	i
1489.349	7.608	1	control	LS4	PICTURE_234.jpg	c
1496.957	7.841	1	control	LS4	PICTURE_111.jpg	c
1504.798	11.120	0	learning	LS1	PICTURE_26.jpg	c
1515.918	8.634	0	learning	LS1	PICTURE_654.jpg	i
1524.552	11.906	1	learning	LS1	PICTURE_38.jpg	i
1536.458	12.139	1	learning	LS1	PICTURE_212.jpg	i
1548.597	9.333	0	learning	LS1	PICTURE_659.jpg	i
1557.930	10.526	1	learning	LS1	PICTURE_38.jpg	c
1568.456	12.205	0	learning	LS1	PICTURE_659.jpg	c
1580.661	14.204	1	learning	LS1	PICTURE_212.jpg	c
1594.865	11.225	0	learning	LS1	PICTURE_654.jpg	c
1606.090	10.165	1	learning	LS1	PICTURE_26.jpg	i
1616.255	10.797	1	learning	LS2	PICTURE_212.jpg	c
1627.052	10.856	1	learning	LS2	PICTURE_659.jpg	i
1637.908	10.282	0	learning	LS2	PICTURE_26.jpg	i
1648.190	16.905	1	learning	LS2	PICTURE_654.jpg	c
1665.095	14.260	1	learning	LS2	PICTURE_26.jpg	c
1679.355	7.776	1	learning	LS2	PICTURE_38.jpg	c
1687.131	12.167	1	learning	LS2	PICTURE_654.jpg	i
1699.298	7.762	1	learning	LS2	PICTURE_659.jpg	c
1707.060	8.475	1	learning	LS2	PICTURE_38.jpg	i
1715.535	20.863	1	learning	LS2	PICTURE_212.jpg	i
1736.398	8.567	1	learning	LS3	PICTURE_38.jpg	i
1744.965	6.568	1	learning	LS3	PICTURE_659.jpg	c
1751.533	8.566	1	learning	LS3	PICTURE_26.jpg	c
1760.099	8.006	1	learning	LS3	PICTURE_654.jpg	i
1768.105	8.565	1	learning	LS3	PICTURE_26.jpg	i
1776.670	7.845	1	learning	LS3	PICTURE_212.jpg	i
1784.515	8.725	1	learning	LS3	PICTURE_659.jpg	i
1793.240	8.326	1	learning	LS3	PICTURE_38.jpg	c
1801.566	9.677	1	learning	LS3	PICTURE_212.jpg	c
1811.243	8.958	1	learning	LS3	PICTURE_654.jpg	c
1820.201	8.645	1	learning	LS4	PICTURE_26.jpg	i
1828.846	7.905	1	learning	LS4	PICTURE_654.jpg	c
1836.751	7.165	1	learning	LS4	PICTURE_659.jpg	c
1843.916	7.704	1	learning	LS4	PICTURE_38.jpg	i
1851.620	9.202	1	learning	LS4	PICTURE_659.jpg	i
1860.822	6.389	1	learning	LS4	PICTURE_654.jpg	i
1867.211	7.735	1	learning	LS4	PICTURE_212.jpg	c
1874.946	8.607	1	learning	LS4	PICTURE_38.jpg	c
1883.553	8.680	1	learning	LS4	PICTURE_212.jpg	i
1892.233	9.233	1	learning	LS4	PICTURE_26.jpg	c
1901.466	8.358	0	learning	LS1	PICTURE_165.jpg	c
1909.824	7.471	0	learning	LS1	PICTURE_453.jpg	i
1917.295	11.069	1	learning	LS1	PICTURE_165.jpg	i
1928.364	8.103	1	learning	LS1	PICTURE_358.jpg	i
1936.467	12.494	0	learning	LS1	PICTURE_202.jpg	i
1948.961	16.725	1	learning	LS1	PICTURE_453.jpg	c
1965.686	7.363	1	learning	LS1	PICTURE_148.jpg	i
1973.049	10.314	1	learning	LS1	PICTURE_358.jpg	c
1983.363	12.633	1	learning	LS1	PICTURE_202.jpg	c
1995.996	14.306	1	learning	LS1	PICTURE_148.jpg	c
2010.302	9.821	1	learning	LS2	PICTURE_148.jpg	i
2020.123	15.798	1	learning	LS2	PICTURE_165.jpg	i
2035.921	12.339	1	learning	LS2	PICTURE_453.jpg	c
2048.260	16.245	1	learning	LS2	PICTURE_148.jpg	c
2064.505	10.074	1	learning	LS2	PICTURE_165.jpg	c
2074.579	8.221	1	learning	LS2	PICTURE_202.jpg	i
