trial_index	trial_type	block_number	mean_velocity
55	go	4	1329.155325
56	go	4	1187.105852
57	nogo	4	1177.150454
58	go	4	1168.295764
59	go	4	1343.202233
60	go	4	1078.748655
61	nogo	4	1001.206684
62	go	4	1236.730275
63	go	4	1122.807498
64	go	4	819.756121
65	go	4	1101.643456
66	go	4	1015.014126
67	go	4	1293.163700
68	go	4	906.747786
69	nogo	4	1260.264050
70	go	4	1278.010125
71	nogo	4	1076.856432
72	go	4	1194.486187
73	nogo	4	880.962859
74	go	4	1046.709301
75	go	4	1019.723782
76	go	4	958.756408
77	go	4	1127.123686
78	go	4	1042.287501
79	go	4	953.232508
80	go	4	1087.045080
81	go	4	1017.727444
82	go	4	1032.039128
83	go	4	1116.303604
84	go	4	974.960339
85	go	4	1045.741069
86	go	4	1126.259407
87	go	4	1237.174084
88	nogo	4	882.928107
89	go	4	1228.081176
90	go	4	988.223793
91	go	4	990.813442
92	go	4	903.124864
93	nogo	4	938.630380
94	go	4	1109.095830
95	nogo	4	919.851029
96	go	4	1232.091497
97	nogo	4	942.455368
98	go	4	916.299202
99	go	4	1115.724387
100	go	4	943.480296
101	go	4	1022.528149
102	go	4	1196.341045
103	go	4	893.214653
104	nogo	4	1034.192230
105	go	4	956.420837
106	go	4	891.451291
107	go	4	777.326805
108	go	4	740.556036
109	nogo	4	786.050111
110	go	4	1037.538322
111	go	4	1029.044590
112	nogo	4	1014.981690
113	go	4	1103.300869
114	go	4	1140.009364
115	go	5	1163.180781
116	go	5	1205.532488
117	go	5	1095.744325
118	nogo	5	n/a
119	go	5	1255.792143
120	go	5	1124.817138
121	nogo	5	1012.717695
122	go	5	1089.724746
123	go	5	969.513884
124	nogo	5	948.167897
125	go	5	983.000335
126	go	5	916.314799
127	nogo	5	823.914407
128	go	5	905.381693
129	go	5	964.826625
130	go	5	936.473633
131	go	5	971.494921
132	go	5	903.716250
133	nogo	5	724.992180
134	go	5	724.623272
135	go	5	1110.217315
136	go	5	931.844249
137	go	5	948.524170
138	nogo	5	944.986884
139	go	5	890.002561
140	go	5	972.482589
141	go	5	1063.093396
142	go	5	1320.650855
143	nogo	5	n/a
144	go	5	1071.204220
145	go	5	1144.463015
146	go	5	880.165172
147	go	5	1337.982366
148	go	5	1119.207711
149	nogo	5	n/a
150	go	5	1157.435032
151	nogo	5	904.368502
152	go	5	989.640904
153	go	5	1121.883519
154	go	5	1026.708889
155	go	5	412.214503
156	go	5	1109.472145
157	go	5	941.374639
158	go	5	971.012543
159	go	5	1084.699402
160	go	5	1203.071177
161	nogo	5	912.388128
162	go	5	1118.813641
163	nogo	5	1040.581139
164	go	5	1222.668598
165	go	5	939.165830
166	go	5	1028.240269
167	go	5	1176.723946
168	go	5	1154.307056
169	go	5	1018.871283
170	go	5	1153.046332
171	go	5	1109.772810
172	go	5	1103.430784
173	go	5	1083.552546
174	nogo	5	1003.647178
193	go	7	955.955636
194	nogo	7	941.792052
195	go	7	825.457237
196	go	7	n/a
197	go	7	1079.384650
198	nogo	7	962.387696
199	go	7	705.798961
200	nogo	7	682.436700
201	go	7	980.104096
202	go	7	n/a
203	go	7	852.702481
204	go	7	911.056559
205	go	7	1023.048339
206	nogo	7	806.707567
207	go	7	1125.658881
208	go	7	1118.705975
