trial_index	trial_type	block_number	mean_acceleration
55	go	4	12350.562890
56	go	4	13874.257549
57	go	4	12832.838521
58	go	4	9079.352443
59	go	4	16912.634988
60	nogo	4	11065.562761
61	go	4	12841.459462
62	go	4	13136.611651
63	go	4	19108.713835
64	go	4	11923.865193
65	nogo	4	13566.417685
66	go	4	13175.643709
67	go	4	14000.979414
68	go	4	14699.859507
69	go	4	10925.704079
70	nogo	4	12277.978087
71	go	4	15379.605285
72	nogo	4	14782.284535
73	go	4	13637.761391
74	go	4	14718.277797
75	go	4	11465.164941
76	go	4	14522.874464
77	nogo	4	8243.120834
78	go	4	14707.187281
79	go	4	19310.998494
80	go	4	16166.052979
81	go	4	25119.436571
82	go	4	21477.147067
83	go	4	15441.847339
84	go	4	32787.753668
85	go	4	26516.614994
86	go	4	19735.905351
87	go	4	14588.550015
88	go	4	16611.310286
89	nogo	4	13770.097614
90	go	4	14596.627142
91	go	4	15575.154057
92	go	4	15304.893185
93	nogo	4	15078.831597
94	go	4	19089.510742
95	nogo	4	21342.067972
96	go	4	13317.318690
97	go	4	15120.705592
98	go	4	12400.188296
99	nogo	4	12844.039675
100	go	4	11513.382906
101	go	4	15106.629602
102	nogo	4	18268.779007
103	go	4	12735.113353
104	go	4	17908.450836
105	go	4	19838.507170
106	go	4	20441.111011
107	nogo	4	36741.917355
108	go	4	17376.226980
109	go	4	13871.204821
110	nogo	4	8794.693860
111	go	4	15522.970886
112	go	4	15565.645150
113	go	4	11701.051030
114	go	4	14988.977876
115	go	5	n/a
116	go	5	16010.005993
117	go	5	15263.239268
118	go	5	12386.572981
119	go	5	15064.041995
120	nogo	5	8943.825282
121	go	5	17010.553084
122	nogo	5	13390.591211
123	go	5	13728.606317
124	go	5	14786.253318
125	nogo	5	12533.805037
126	go	5	14560.956236
127	nogo	5	9596.704576
128	go	5	14198.986966
129	go	5	15086.375727
130	go	5	12492.514300
131	go	5	18226.701094
132	go	5	15387.868464
133	go	5	13228.386778
134	go	5	15855.391066
135	go	5	12519.012678
136	nogo	5	13456.076790
137	go	5	16484.302643
138	go	5	17826.734156
139	go	5	28037.196281
140	go	5	21019.251530
141	go	5	19211.202841
142	go	5	24497.562502
143	go	5	19450.399509
144	go	5	19791.317671
145	nogo	5	7411.455538
146	go	5	17102.254138
147	go	5	11415.472245
148	nogo	5	9677.031219
149	go	5	10188.103084
150	go	5	13458.192565
151	go	5	14754.865403
152	go	5	16742.094990
153	go	5	16306.184133
154	nogo	5	10504.481480
155	go	5	17167.383380
156	go	5	15287.907383
157	go	5	13292.956375
158	nogo	5	10081.267031
159	go	5	14244.168019
160	go	5	17563.578842
161	go	5	32041.972682
162	go	5	13355.007419
163	go	5	15997.969453
164	go	5	19417.766730
165	go	5	16619.074961
166	go	5	19171.844194
167	nogo	5	19114.631837
168	go	5	n/a
169	go	5	18561.209517
170	nogo	5	17147.689468
171	go	5	14556.502225
172	go	5	15137.255800
173	nogo	5	14742.201475
174	go	5	18347.451471
193	go	7	32319.395507
194	go	7	19909.886816
195	go	7	13177.521142
196	nogo	7	12549.254870
197	go	7	15735.948036
198	go	7	26270.503322
199	nogo	7	13832.634115
200	go	7	16621.191425
201	go	7	26314.821987
202	go	7	14225.602614
203	go	7	13494.089433
204	go	7	16959.414625
205	go	7	19887.801072
206	nogo	7	14780.936127
207	go	7	16096.678112
208	go	7	26460.417774
209	go	7	33676.537351
210	go	7	29707.143307
211	nogo	7	12514.527097
212	go	7	14727.884118
213	go	7	23743.580694
214	go	7	23115.983413
215	nogo	7	23930.479576
216	go	7	14131.221183
217	go	7	13972.970857
218	go	7	15070.022413
219	go	7	15561.013843
220	nogo	7	23580.692165
221	go	7	8132.012828
222	go	7	15045.943181
223	go	7	12314.777893
224	go	7	18311.066677
225	go	7	15063.793661
226	go	7	23680.819937
227	go	7	21250.216331
228	go	7	16212.024002
229	nogo	7	17292.912173
230	go	7	23635.397695
231	go	7	17087.698433
232	go	7	17110.296779
233	go	7	17651.825386
234	nogo	7	19231.103041
235	go	7	16384.165062
236	nogo	7	15498.616720
237	go	7	n/a
238	go	7	21529.016750
239	go	7	39644.723206
240	go	7	25445.887703
241	nogo	7	15995.939445
242	go	7	28077.456139
243	go	7	15269.617839
244	go	7	29680.518071
245	go	7	29900.265543
246	go	7	22922.788156
247	go	7	28898.322571
248	go	7	23309.593575
249	nogo	7	19457.123306
250	go	7	12151.664399
251	nogo	7	12450.748772
252	go	7	n/a
253	go	8	17671.804192
254	go	8	19686.180624
255	go	8	20275.430740
256	nogo	8	12096.955565
257	go	8	14063.753681
258	go	8	15390.186711
259	go	8	28520.295337
260	go	8	17452.764496
261	nogo	8	13911.531863
