trial_index	trial_type	block_number	path_length
55	nogo	4	647.678352
56	go	4	606.300830
57	go	4	623.554354
58	go	4	572.421028
59	go	4	608.420148
60	go	4	603.650197
61	go	4	575.593885
62	go	4	478.032454
63	go	4	613.828590
64	go	4	550.232286
65	go	4	535.908154
66	nogo	4	681.392171
67	go	4	600.326079
68	go	4	555.041187
69	nogo	4	455.529036
70	go	4	566.297440
71	go	4	737.756603
72	go	4	589.315935
73	nogo	4	768.918392
74	go	4	805.397344
75	nogo	4	435.905502
76	go	4	630.821230
77	go	4	497.300687
78	go	4	611.595269
79	nogo	4	458.359647
80	go	4	600.496373
81	go	4	606.300587
82	nogo	4	n/a
83	go	4	651.861533
84	go	4	599.826092
85	nogo	4	498.307579
86	go	4	542.413432
87	nogo	4	454.385024
88	go	4	492.066292
89	go	4	609.220411
90	go	4	n/a
91	go	4	590.973452
92	go	4	624.880814
93	go	4	627.104750
94	nogo	4	505.432930
95	go	4	593.326641
96	go	4	608.051489
97	go	4	547.260088
98	go	4	607.636364
99	go	4	618.863018
100	go	4	594.165155
101	go	4	583.422127
102	go	4	551.753338
103	go	4	593.903090
104	go	4	556.854634
105	nogo	4	497.857950
106	go	4	609.630119
107	go	4	600.071347
108	go	4	563.786794
109	go	4	626.056997
110	go	4	634.275971
111	go	4	577.594173
112	go	4	587.274836
113	nogo	4	570.847546
114	go	4	573.196589
115	nogo	5	547.165092
116	go	5	731.743801
117	go	5	611.827057
118	go	5	579.038781
119	go	5	559.281688
120	go	5	624.536082
121	go	5	552.467936
122	go	5	555.338739
123	go	5	564.540698
124	go	5	569.174306
125	go	5	591.184535
126	nogo	5	576.573419
127	go	5	597.826710
128	nogo	5	470.642473
129	go	5	595.045191
130	nogo	5	613.032355
131	go	5	769.326593
132	go	5	553.677433
133	go	5	614.080833
134	go	5	607.468753
135	nogo	5	461.937391
136	go	5	603.977419
137	go	5	572.467059
138	go	5	n/a
139	go	5	559.498244
140	go	5	572.404180
141	go	5	594.154651
142	go	5	560.655780
143	go	5	580.949839
144	go	5	526.162970
145	go	5	535.465640
146	go	5	592.303119
147	go	5	562.808202
148	nogo	5	519.956887
149	go	5	573.718001
150	go	5	637.327349
151	go	5	551.497077
152	go	5	571.806698
153	nogo	5	493.638868
154	go	5	621.523882
155	go	5	641.786794
156	go	5	590.538624
157	go	5	623.408722
158	go	5	630.377393
159	nogo	5	519.864493
160	go	5	639.378674
161	go	5	615.603717
162	nogo	5	568.051998
163	go	5	582.361894
164	nogo	5	568.022553
165	go	5	611.371744
166	go	5	584.071747
167	nogo	5	482.891058
168	go	5	604.650242
169	go	5	539.700985
170	go	5	762.034697
171	go	5	557.028375
172	go	5	608.698264
173	nogo	5	481.399010
174	go	5	583.564219
193	go	7	588.270578
194	nogo	7	575.373100
195	go	7	582.964680
196	go	7	616.109682
197	go	7	644.218430
198	nogo	7	502.496963
199	go	7	590.117986
200	go	7	576.066165
201	nogo	7	487.693964
202	go	7	627.931829
203	go	7	545.913176
204	go	7	613.992028
205	go	7	567.212483
206	go	7	564.725345
207	go	7	625.501926
208	go	7	584.475821
209	nogo	7	534.776086
210	go	7	655.976082
211	nogo	7	594.583803
212	go	7	544.332010
213	go	7	562.800490
214	go	7	566.623333
215	go	7	513.016808
216	nogo	7	582.682174
217	go	7	606.307198
218	go	7	615.341604
219	go	7	589.609766
220	go	7	n/a
221	go	7	542.211317
222	go	7	610.561727
223	go	7	638.716118
224	go	7	601.895243
225	go	7	581.616815
226	go	7	630.112474
227	go	7	565.330653
228	go	7	562.380547
229	go	7	594.366886
230	go	7	582.830863
231	go	7	622.950570
232	nogo	7	569.497533
233	go	7	961.414305
234	go	7	614.641053
235	go	7	583.252301
236	go	7	606.751493
237	go	7	547.123802
238	nogo	7	n/a
239	go	7	543.450835
240	nogo	7	529.876175
241	go	7	580.753309
242	nogo	7	475.514053
243	go	7	542.601647
244	go	7	576.774817
245	go	7	533.081092
246	go	7	554.870837
247	nogo	7	559.366686
248	go	7	609.095079
249	nogo	7	560.437179
250	go	7	615.760571
251	go	7	593.975412
252	go	7	548.038823
253	go	8	595.442084
254	go	8	568.247832
255	go	8	603.684326
256	nogo	8	600.199509
257	go	8	536.610587
258	go	8	490.917655
259	go	8	555.462456
260	nogo	8	530.052118
261	go	8	647.840788
262	go	8	619.535954
263	go	8	594.948756
264	go	8	623.198371
265	nogo	8	731.976060
266	go	8	553.063316
267	nogo	8	552.076351
268	go	8	583.468094
269	go	8	590.059943
270	go	8	597.913680
271	go	8	585.216228
272	go	8	602.335954
273	nogo	8	566.585215
274	go	8	608.377801
275	go	8	525.597023
276	nogo	8	448.644521
277	go	8	570.552465
278	go	8	589.349961
279	go	8	587.453360
280	go	8	586.244567
281	nogo	8	583.375935
282	go	8	602.920415
283	go	8	629.358390
284	go	8	522.449591
285	go	8	n/a
286	go	8	606.698581
287	nogo	8	555.387388
288	go	8	578.512730
289	go	8	559.951870
290	go	8	555.961491
291	go	8	561.330845
292	go	8	521.880688
293	go	8	584.716443
294	nogo	8	488.820054
295	go	8	608.127354
296	nogo	8	519.873083
297	go	8	533.294139
298	go	8	627.891113
299	go	8	509.126904
300	nogo	8	599.457563
301	go	8	606.346002
302	go	8	577.631076
303	go	8	588.863288
304	nogo	8	569.602424
305	go	8	622.284979
306	go	8	581.248899
307	go	8	630.599843
308	go	8	605.315837
309	go	8	587.212307
310	go	8	637.808880
311	go	8	589.515293
312	go	8	623.867838
331	go	10	593.655753
332	nogo	10	408.926032
333	go	10	570.444806
334	go	10	568.896185
335	go	10	624.928281
336	go	10	634.975525
337	go	10	644.864940
338	go	10	607.354990
339	go	10	607.019395
340	go	10	624.814699
341	go	10	615.085195
342	go	10	553.100942
343	nogo	10	513.897993
344	go	10	581.302071
345	go	10	543.175041
346	go	10	588.390481
347	go	10	604.622771
348	nogo	10	459.531592
349	go	10	570.510843
350	nogo	10	418.576101
351	go	10	599.422625
352	nogo	10	431.513129
353	go	10	538.512991
354	nogo	10	481.952321
355	go	10	564.059878
356	nogo	10	488.946780
357	go	10	637.653191
358	go	10	612.658621
359	go	10	581.660692
360	go	10	572.776165
361	go	10	510.949482
362	go	10	584.065048
363	go	10	676.315226
364	nogo	10	545.190108
365	go	10	585.833808
366	nogo	10	521.114362
367	go	10	562.564539
368	go	10	604.311217
369	go	10	575.809917
370	go	10	590.198462
