trial_index	trial_type	block_number	mean_velocity
55	nogo	4	853.896489
56	go	4	1227.029067
57	go	4	1220.416490
58	go	4	1158.333631
59	go	4	1419.123593
60	go	4	1311.815632
61	go	4	1056.115027
62	go	4	1162.438129
63	go	4	1490.012648
64	go	4	1287.904070
65	go	4	1207.574760
66	nogo	4	1214.980288
67	go	4	1468.656756
68	go	4	1160.578446
69	nogo	4	768.348937
70	go	4	1508.421789
71	go	4	1491.863432
72	go	4	1115.278054
73	nogo	4	1562.257049
74	go	4	1631.760525
75	nogo	4	915.476294
76	go	4	1369.478482
77	go	4	1255.446813
78	go	4	1324.943840
79	nogo	4	994.558192
80	go	4	1671.539463
81	go	4	1311.110123
82	nogo	4	n/a
83	go	4	1412.210794
84	go	4	1175.593430
85	nogo	4	944.876733
86	go	4	1324.454609
87	nogo	4	686.901018
88	go	4	961.807493
89	go	4	1055.701116
90	go	4	n/a
91	go	4	1281.951977
92	go	4	1182.688076
93	go	4	1185.784964
94	nogo	4	1095.849183
95	go	4	1160.341155
96	go	4	1053.792212
97	go	4	1069.997545
98	go	4	972.724000
99	go	4	1069.065366
100	go	4	1062.885007
101	go	4	1227.293362
102	go	4	813.410493
103	go	4	1056.726450
104	go	4	1252.580626
105	nogo	4	1008.421201
106	go	4	1369.007478
107	go	4	886.453684
108	go	4	1221.955739
109	go	4	1263.228893
110	go	4	1201.993705
111	go	4	998.971570
112	go	4	1225.842349
113	nogo	4	1195.488987
114	go	4	1342.044473
115	nogo	5	1145.615735
116	go	5	1265.313013
117	go	5	1195.965596
118	go	5	1355.918554
119	go	5	968.967572
120	go	5	968.435002
121	go	5	927.416175
122	go	5	934.632998
123	go	5	1008.602605
124	go	5	930.558904
125	go	5	1024.451331
126	nogo	5	1131.526311
127	go	5	1167.890330
128	nogo	5	750.688572
129	go	5	998.535856
130	nogo	5	1242.460970
131	go	5	1419.048145
132	go	5	960.507153
133	go	5	1283.285985
134	go	5	1151.605427
135	nogo	5	874.524656
136	go	5	1670.658840
137	go	5	1196.189647
138	go	5	n/a
139	go	5	1212.949100
140	go	5	1118.858015
141	go	5	1286.431338
142	go	5	807.659323
143	go	5	1360.863662
144	go	5	968.415452
145	go	5	736.356204
146	go	5	1084.635592
147	go	5	1225.115107
148	nogo	5	1016.980060
149	go	5	1022.265518
150	go	5	1486.333915
151	go	5	1043.873739
152	go	5	1196.101187
153	nogo	5	908.458262
154	go	5	1213.449545
155	go	5	1109.140599
156	go	5	991.812454
157	go	5	1079.062316
158	go	5	1195.710978
159	nogo	5	829.711301
160	go	5	1435.974112
161	go	5	1129.819468
162	nogo	5	1230.672301
163	go	5	1038.192980
164	nogo	5	1113.925879
165	go	5	973.202960
166	go	5	1040.505330
167	nogo	5	790.801992
168	go	5	938.277375
169	go	5	819.353817
170	go	5	1393.366592
171	go	5	800.607877
172	go	5	1023.028998
173	nogo	5	941.366125
174	go	5	1104.196315
193	go	7	1431.529482
194	nogo	7	1203.668117
195	go	7	1179.775441
196	go	7	1379.603511
197	go	7	1266.190650
198	nogo	7	760.078878
199	go	7	1159.061085
200	go	7	1207.925185
201	nogo	7	922.981062
202	go	7	1829.271489
203	go	7	1667.516875
204	go	7	1167.865160
205	go	7	1188.644759
206	go	7	1429.043699
207	go	7	1262.221212
208	go	7	931.557453
209	nogo	7	982.563832
210	go	7	1239.217999
211	nogo	7	1062.911948
212	go	7	890.703260
213	go	7	1064.494121
214	go	7	952.947318
215	go	7	1002.990904
216	nogo	7	1179.747834
217	go	7	1113.298996
218	go	7	1032.478861
219	go	7	1083.623960
220	go	7	n/a
221	go	7	1324.229790
222	go	7	1607.905850
223	go	7	1044.245185
224	go	7	1069.092146
225	go	7	1137.896765
226	go	7	1274.843320
227	go	7	1182.636772
228	go	7	1223.381018
229	go	7	1385.852433
230	go	7	952.800401
231	go	7	1576.301500
232	nogo	7	1117.929694
233	go	7	1878.874593
234	go	7	1625.114923
235	go	7	1104.958210
236	go	7	994.174395
237	go	7	1034.669473
238	nogo	7	n/a
239	go	7	1028.256695
240	nogo	7	1004.031609
241	go	7	1470.792515
242	nogo	7	901.303207
243	go	7	970.286968
244	go	7	1207.710625
245	go	7	1157.335702
246	go	7	1349.366165
247	nogo	7	1170.858101
248	go	7	1611.230931
249	nogo	7	1063.119741
250	go	7	1205.679099
251	go	7	1292.370482
252	go	7	1279.768741
253	go	8	1125.859266
254	go	8	1147.007529
255	go	8	1530.139295
256	nogo	8	1258.000602
257	go	8	1053.330296
258	go	8	1300.141040
259	go	8	1165.603365
260	nogo	8	1039.251651
261	go	8	1356.893767
262	go	8	1793.649759
263	go	8	921.459426
264	go	8	1399.213526
265	nogo	8	1343.324040
266	go	8	1120.211272
267	nogo	8	667.487229
268	go	8	1267.637295
269	go	8	1085.022842
270	go	8	1064.551169
