trial_index	trial_type	block_number	response_time_ms
55	nogo	4	625.202
56	go	4	494.121
57	go	4	527.774
58	go	4	511.064
59	go	4	428.730
60	go	4	477.889
61	go	4	545.011
62	go	4	428.302
63	go	4	428.965
64	go	4	427.231
65	go	4	443.789
66	nogo	4	411.238
67	go	4	425.836
68	go	4	495.382
69	nogo	4	459.675
70	go	4	391.963
71	go	4	511.495
72	go	4	528.403
73	nogo	4	358.691
74	go	4	493.576
75	nogo	4	326.326
76	go	4	460.629
77	go	4	396.115
78	go	4	461.601
79	nogo	4	310.972
80	go	4	376.933
81	go	4	462.433
82	nogo	4	n/a
83	go	4	478.811
84	go	4	510.233
85	nogo	4	394.011
86	go	4	426.391
87	nogo	4	528.159
88	go	4	511.606
89	go	4	594.024
90	go	4	n/a
91	go	4	460.995
92	go	4	545.293
93	go	4	545.347
94	nogo	4	311.283
95	go	4	528.317
96	go	4	577.013
97	go	4	528.045
98	go	4	624.675
99	go	4	595.852
100	go	4	559.012
101	go	4	492.149
102	go	4	694.874
103	go	4	562.022
104	go	4	444.566
105	nogo	4	360.226
106	go	4	462.210
107	go	4	676.935
108	go	4	478.226
109	go	4	495.601
110	go	4	544.452
111	go	4	595.297
112	go	4	479.079
113	nogo	4	344.294
114	go	4	443.986
115	nogo	5	327.975
116	go	5	595.180
117	go	5	511.576
118	go	5	444.283
119	go	5	594.007
120	go	5	661.885
121	go	5	595.707
122	go	5	611.255
123	go	5	559.726
124	go	5	611.648
125	go	5	593.991
126	nogo	5	359.641
127	go	5	528.620
128	nogo	5	477.036
129	go	5	595.918
130	nogo	5	343.402
131	go	5	542.143
132	go	5	576.443
133	go	5	495.286
134	go	5	544.625
135	nogo	5	378.255
136	go	5	378.432
137	go	5	478.576
138	go	5	n/a
139	go	5	461.271
140	go	5	511.597
141	go	5	461.863
142	go	5	694.174
143	go	5	444.091
144	go	5	560.444
145	go	5	744.101
146	go	5	546.085
147	go	5	476.315
148	nogo	5	377.742
149	go	5	578.344
150	go	5	428.792
151	go	5	528.318
152	go	5	478.059
153	nogo	5	410.234
154	go	5	512.196
155	go	5	595.548
156	go	5	612.270
157	go	5	594.591
158	go	5	544.386
159	nogo	5	492.929
160	go	5	462.061
161	go	5	561.904
162	nogo	5	328.173
163	go	5	578.322
164	nogo	5	360.176
165	go	5	628.206
166	go	5	578.172
167	nogo	5	460.838
168	go	5	644.426
169	go	5	658.691
170	go	5	546.902
171	go	5	695.757
172	go	5	611.954
173	nogo	5	378.015
174	go	5	544.903
193	go	7	427.966
194	nogo	7	328.044
195	go	7	494.132
196	go	7	446.585
197	go	7	508.785
198	nogo	7	511.180
199	go	7	526.069
200	go	7	494.006
201	nogo	7	378.400
202	go	7	343.269
203	go	7	344.300
204	go	7	542.855
205	go	7	477.193
206	go	7	412.250
207	go	7	495.557
208	go	7	643.969
209	nogo	7	394.352
210	go	7	529.347
211	nogo	7	409.664
212	go	7	628.502
213	go	7	545.821
214	go	7	594.601
215	go	7	527.722
216	nogo	7	343.938
217	go	7	561.494
218	go	7	595.985
219	go	7	560.917
220	go	7	n/a
221	go	7	426.583
222	go	7	379.725
223	go	7	629.007
224	go	7	562.997
225	go	7	528.096
226	go	7	494.267
227	go	7	478.026
228	go	7	459.694
229	go	7	428.882
230	go	7	628.411
231	go	7	411.842
232	nogo	7	375.875
233	go	7	511.697
234	go	7	378.214
235	go	7	544.970
236	go	7	610.307
237	go	7	528.791
238	nogo	7	n/a
239	go	7	545.410
240	nogo	7	377.873
241	go	7	411.689
242	nogo	7	377.812
243	go	7	559.218
244	go	7	494.343
245	go	7	477.581
246	go	7	428.249
247	nogo	7	327.824
248	go	7	395.061
249	nogo	7	393.954
250	go	7	528.066
251	go	7	476.682
252	go	7	428.233
253	go	8	528.878
254	go	8	512.492
255	go	8	411.706
256	nogo	8	327.187
257	go	8	509.442
258	go	8	394.859
259	go	8	476.545
260	nogo	8	360.034
261	go	8	494.407
262	go	8	362.789
263	go	8	662.642
264	go	8	445.392
265	nogo	8	411.311
266	go	8	510.777
267	nogo	8	677.636
268	go	8	477.380
269	go	8	543.823
270	go	8	561.658
271	go	8	542.741
272	go	8	544.908
273	nogo	8	428.475
274	go	8	594.961
275	go	8	476.154
276	nogo	8	510.324
277	go	8	609.773
278	go	8	379.290
279	go	8	377.629
280	go	8	492.885
281	nogo	8	510.310
282	go	8	409.329
283	go	8	378.585
284	go	8	395.327
285	go	8	n/a
286	go	8	362.260
287	nogo	8	410.370
288	go	8	542.576
289	go	8	612.289
290	go	8	396.058
291	go	8	543.389
292	go	8	512.740
