trial_index	trial_type	block_number	block_type	is_practice	kin_parse_failed	kin_n_samples	duration	path_length	max_velocity	mean_velocity	max_acceleration	mean_acceleration
1	go	1	go_only	1	0	47	0.757755	618.726388	3418.079203	816.525858	86607.946830	17663.008172
2	go	1	go_only	1	0	45	0.723557	549.240808	2558.470585	759.084892	75121.102800	16580.494404
3	go	1	go_only	1	0	32	0.508922	566.332627	3573.123295	1112.808522	214703.871912	22961.904283
4	go	1	go_only	1	0	41	0.660598	599.003715	2879.264054	906.760219	56641.128333	12890.442650
5	go	1	go_only	1	0	42	0.676147	580.644342	2729.521701	858.754593	84164.557775	21481.210677
6	go	1	go_only	1	0	42	0.674748	577.001242	3374.457183	855.135526	129784.044295	15824.241369
7	go	1	go_only	1	0	48	0.776512	620.563172	4415.193538	799.167215	108973.402152	16467.734798
8	go	1	go_only	1	0	39	0.625621	617.022439	2812.378701	986.256275	121165.328020	17927.674485
9	go	1	go_only	1	0	32	0.511353	609.817247	4682.783628	1192.557477	120048.378322	20385.616985
10	go	1	go_only	1	0	45	0.727609	586.452014	2668.220191	805.998846	67906.693498	13630.579215
11	go	1	go_only	1	0	33	0.526107	516.766731	3512.099072	982.246632	173605.464251	18987.693043
12	go	1	go_only	1	0	33	0.526206	550.962662	2831.449011	1047.047272	92484.996862	16821.363630
13	go	1	go_only	1	0	36	0.574079	551.088636	2302.813791	959.953448	90859.510506	12496.724504
14	go	1	go_only	1	0	40	0.643832	616.071666	2521.570531	956.882940	111638.099003	16278.484823
15	go	1	go_only	1	0	39	0.626951	594.804435	3050.249776	948.725554	95316.671589	22660.383923
16	go	1	go_only	1	0	33	0.527528	579.623581	2990.830051	1098.754362	68732.201207	15073.306213
17	go	1	go_only	1	0	41	0.663098	583.768302	3719.419132	880.365579	137971.382735	22375.620686
18	go	1	go_only	1	0	40	0.644352	569.355414	3464.628553	883.609428	74452.233764	15037.020807
19	nogo	2	go_nogo_prac	1	0	33	0.524677	550.736995	3490.909092	1049.667843	89285.756664	20376.031586
20	go	2	go_nogo_prac	1	0	42	0.679041	552.512238	4041.116853	813.665624	104408.844179	17614.167928
21	nogo	2	go_nogo_prac	1	0	33	0.528112	210.497113	1644.905662	398.584527	77869.893278	9330.481492
22	go	2	go_nogo_prac	1	0	36	0.579413	575.063051	3168.216341	992.493346	125335.583999	21901.791779
23	go	2	go_nogo_prac	1	0	50	0.811689	590.350029	3012.307812	727.310709	119020.354664	15643.800075
24	nogo	2	go_nogo_prac	1	0	31	0.493347	237.412523	1318.677230	481.228659	38605.172342	8783.474969
25	go	2	go_nogo_prac	1	0	46	0.744971	575.577462	1740.175189	772.617584	97914.363520	11716.336962
26	go	2	go_nogo_prac	1	0	42	0.679157	621.113253	2733.230703	914.536001	84738.446757	15542.540105
27	go	2	go_nogo_prac	1	0	40	0.644938	590.404543	1686.202475	915.443735	43452.103808	11857.428482
28	go	2	go_nogo_prac	1	0	37	0.595534	594.486446	2359.964253	998.241655	100471.004947	14622.832465
29	go	2	go_nogo_prac	1	0	36	0.579152	592.843464	2554.041553	1023.641067	58909.857322	14697.101242
30	go	2	go_nogo_prac	1	0	39	0.628408	560.029813	2690.883954	891.188655	109317.219513	14835.216209
31	go	2	go_nogo_prac	1	0	38	0.613713	611.131502	3419.192005	995.794127	135177.903043	14952.169841
32	nogo	2	go_nogo_prac	1	0	36	0.575367	545.347903	2586.693469	947.826175	54084.451042	13205.112646
33	go	2	go_nogo_prac	1	0	49	0.794733	569.932816	3530.796677	717.137654	85318.762262	14902.152270
34	go	2	go_nogo_prac	1	0	46	0.745227	532.117771	2744.150700	714.033997	63385.701096	13677.898984
35	go	2	go_nogo_prac	1	0	45	0.728502	587.756539	2544.458859	806.801212	147875.322333	10193.694181
36	go	2	go_nogo_prac	1	0	42	0.677067	582.270884	2859.526739	859.990179	83922.906187	15658.037042
37	go	3	go_only	0	0	46	0.745115	674.530466	3464.357316	905.270403	80679.498801	13753.219840
38	go	3	go_only	0	0	33	0.526113	591.376184	2845.787983	1124.046992	67252.518637	16958.598314
39	go	3	go_only	0	0	30	0.475030	596.585081	3754.621815	1255.888478	149180.674899	21072.529281
40	go	3	go_only	0	0	39	0.626466	548.362939	3607.310135	875.327953	100146.532947	15405.020155
41	go	3	go_only	0	0	33	0.527136	635.627169	3481.668027	1205.813169	134011.324951	15688.677153
42	go	3	go_only	0	0	32	0.510984	583.678219	4256.928403	1142.262306	149121.098471	21750.995092
