trial_index	trial_type	block_number	response_time_ms
55	go	4	510.164
56	go	4	596.234
57	go	4	626.492
58	go	4	561.829
59	go	4	712.335
60	nogo	4	361.149
61	go	4	543.678
62	go	4	493.669
63	nogo	4	443.759
64	go	4	643.357
65	nogo	4	376.753
66	go	4	577.760
67	go	4	596.042
68	go	4	612.084
69	go	4	579.680
70	go	4	628.260
71	nogo	4	344.185
72	go	4	510.584
73	go	4	594.483
74	go	4	628.220
75	go	4	578.145
76	go	4	708.980
77	go	4	492.963
78	go	4	545.801
79	go	4	542.782
80	go	4	610.347
81	go	4	511.200
82	go	4	613.695
83	nogo	4	445.975
84	go	4	543.761
85	go	4	908.523
86	nogo	4	425.417
87	go	4	794.461
88	nogo	4	510.061
89	go	4	727.503
90	go	4	641.320
91	go	4	611.643
92	go	4	712.992
93	nogo	4	394.846
94	go	4	628.026
95	go	4	728.218
96	go	4	727.776
97	go	4	510.250
98	nogo	4	460.936
99	go	4	644.541
100	go	4	643.394
101	go	4	744.712
102	go	4	644.951
103	go	4	560.147
104	go	4	545.012
105	go	4	644.277
106	go	4	676.754
107	go	4	660.475
108	go	4	812.174
109	go	4	578.887
110	nogo	4	391.316
111	go	4	643.417
112	nogo	4	511.329
113	go	4	627.324
114	nogo	4	444.847
115	go	5	694.063
116	go	5	558.481
117	go	5	595.197
118	go	5	609.967
119	nogo	5	442.930
120	go	5	694.528
121	go	5	611.740
122	go	5	644.071
123	go	5	794.774
124	go	5	560.624
125	go	5	544.915
126	go	5	558.958
127	go	5	793.152
128	go	5	560.129
129	go	5	610.855
130	go	5	511.511
131	go	5	n/a
132	go	5	611.535
133	nogo	5	459.657
134	go	5	560.440
135	nogo	5	343.518
136	go	5	808.120
137	go	5	827.240
138	go	5	544.094
139	go	5	607.107
140	nogo	5	444.160
141	go	5	593.592
142	nogo	5	394.104
143	go	5	593.846
144	go	5	477.940
145	nogo	5	625.653
146	go	5	711.945
147	go	5	628.493
148	go	5	691.864
149	nogo	5	458.994
150	go	5	609.210
151	go	5	576.842
152	go	5	677.553
153	go	5	593.859
154	go	5	676.858
155	go	5	628.190
156	nogo	5	492.986
157	go	5	527.220
158	go	5	678.973
159	nogo	5	394.204
160	go	5	694.912
161	nogo	5	410.258
162	go	5	743.461
163	go	5	628.947
164	go	5	944.843
165	nogo	5	593.847
166	go	5	610.468
167	go	5	793.289
168	go	5	642.076
169	go	5	726.625
170	go	5	611.287
171	nogo	5	411.064
172	go	5	n/a
173	go	5	561.044
174	go	5	642.538
193	go	7	641.726
194	go	7	660.235
195	nogo	7	443.817
196	go	7	511.475
197	go	7	493.114
198	nogo	7	n/a
199	go	7	659.065
200	go	7	561.335
201	nogo	7	393.875
202	go	7	1475.586
203	go	7	828.066
204	go	7	811.387
205	go	7	610.956
206	go	7	596.227
207	go	7	642.567
208	go	7	576.404
209	go	7	611.864
210	go	7	610.948
211	go	7	627.581
212	nogo	7	609.151
213	go	7	543.312
214	go	7	575.868
215	go	7	660.034
216	go	7	594.541
217	nogo	7	394.985
218	go	7	461.068
219	go	7	661.454
220	go	7	543.872
221	go	7	526.361
222	nogo	7	528.081
223	go	7	559.474
224	go	7	496.342
225	go	7	627.742
226	go	7	728.176
227	go	7	827.767
228	go	7	645.174
229	go	7	610.418
230	go	7	594.438
231	go	7	659.988
232	nogo	7	n/a
233	go	7	624.434
234	nogo	7	n/a
235	go	7	727.187
236	go	7	610.733
237	go	7	529.364
238	go	7	712.226
239	go	7	627.985
240	go	7	660.537
241	nogo	7	443.513
242	go	7	527.702
243	nogo	7	409.779
244	go	7	460.711
