onset	duration	trial_type	condition	block	trial	difficulty_level	expression	correct_answer	user_answer	response_time_ms	is_correct	is_timeout
0.0	4.519	FLOW_B	B	1	1	1	105 + 4	109	109.0	4518.8	1	0
8.52	4.086	FLOW_B	B	1	2	1	7 + 108	115	115.0	4085.6	1	0
16.63	3.194	FLOW_B	B	1	3	1	4 + 106	110	110.0	3194.4	1	0
23.871	2.839	FLOW_B	B	1	4	1	6 + 106	112	112.0	2838.7	1	0
30.737	2.669	FLOW_B	B	1	5	1	104 + 1	105	105.0	2668.8	1	0
37.448	3.026	FLOW_B	B	1	6	1	1 + 109	110	110.0	3026.4	1	0
44.529	4.192	FLOW_B	B	1	7	1	8 + 104	112	112.0	4192.2	1	0
52.772	3.457	FLOW_B	B	1	8	1	100 + 5	105	105.0	3456.8	1	0
60.276	4.003	FLOW_B	B	1	9	1	6 + 101	107	107.0	4003.3	1	0
68.284	4.819	FLOW_B	B	1	10	1	8 + 104	112	112.0	4819.1	1	0
77.106	3.604	FLOW_B	B	1	11	1	8 + 103	111	111.0	3604.2	1	0
84.74	3.723	FLOW_B	B	1	12	1	3 + 102	105	105.0	3723.4	1	0
92.468	2.894	FLOW_B	B	1	13	1	106 + 3	109	109.0	2893.5	1	0
99.362	3.364	FLOW_B	B	1	14	1	8 + 102	110	110.0	3363.8	1	0
106.727	2.77	FLOW_B	B	1	15	1	3 + 101	104	104.0	2770.3	1	0
113.501	3.211	FLOW_B	B	1	16	1	103 + 3	106	106.0	3210.7	1	0
120.716	3.352	FLOW_B	B	1	17	1	108 + 8	116	116.0	3351.9	1	0
128.069	3.078	FLOW_B	B	1	18	1	7 + 105	112	112.0	3078.3	1	0
135.149	4.421	FLOW_B	B	1	19	1	107 + 8	115	115.0	4421.4	1	0
143.577	3.832	FLOW_B	B	1	20	1	3 + 109	112	112.0	3832.0	1	0
151.415	2.659	FLOW_B	B	1	21	1	4 + 104	108	108.0	2659.4	1	0
158.083	3.377	FLOW_B	B	1	22	1	109 + 8	117	117.0	3376.8	1	0
165.465	3.985	FLOW_B	B	1	23	1	4 + 107	111	111.0	3985.2	1	0
206.625	18.013	FLOW_F	F	2	1	7	101 + 28 + 48 + 5 + 42	224	n/a	18013.3	0	1
228.677	14.486	FLOW_F	F	2	2	7	55 + 96 + 47 + 5 + 105	308	266.0	14485.8	0	0
247.167	18.006	FLOW_F	F	2	3	6	67 + 58 + 44 + 105	274	n/a	18005.5	0	1
269.217	17.296	FLOW_F	F	2	4	6	76 + 54 + 75 + 101	306	296.0	17296.5	0	0
290.536	10.498	FLOW_F	F	2	5	5	108 + 40 + 91 + 9	248	248.0	10498.3	1	0
305.073	10.918	FLOW_F	F	2	6	5	45 + 103 + 48 + 4	200	200.0	10918.4	1	0
320.042	18.015	FLOW_F	F	2	7	6	37 + 42 + 74 + 107	260	n/a	18014.6	0	1
342.068	9.988	FLOW_F	F	2	8	6	25 + 79 + 64 + 106	274	274.0	9987.9	1	0
356.065	9.544	FLOW_F	F	2	9	6	106 + 24 + 71 + 62	263	263.0	9543.5	1	0
369.664	6.969	FLOW_F	F	2	10	7	108 + 9 + 77 + 32 + 99	325	n/a	6969.4	0	1
417.295	18.005	FLOW_O	O	3	1	10	78 + 44 + 102 + 88 + 70 + 91	473	n/a	18005.0	0	1
439.303	18.003	FLOW_O	O	3	2	10	44 + 72 + 99 + 103 + 98 + 97	513	n/a	18003.1	0	1
